wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
4.250000000000000000e+02,5.026306936610820397e-01,2.739178776146073725e-03,5.026306936610820397e-01,5.026381574359314319e-01,7.048471975763521795e-03,3.841194953623409356e-05
4.260000000000000000e+02,5.072541860194408336e-01,2.778984163580290340e-03,5.072541860194408336e-01,5.072617982730681652e-01,7.113307961167992556e-03,3.897014695901956010e-05
4.270000000000000000e+02,5.119212697395034706e-01,2.819388838045417713e-03,5.119212697395034706e-01,5.119290335243016354e-01,7.178755235328262291e-03,3.953674828132028405e-05
4.280000000000000000e+02,5.166324371586675790e-01,2.860402820854087997e-03,5.166324371586675790e-01,5.166403555944910631e-01,7.244820702371744005e-03,4.011189403363338274e-05
4.290000000000000000e+02,5.213881876950899885e-01,2.902036327302300912e-03,5.213881876950899885e-01,5.213962639709028846e-01,7.311511365720485718e-03,4.069572746671630374e-05
4.300000000000000000e+02,5.261890279740438769e-01,2.944299771043895446e-03,5.261890279740438769e-01,5.261972653496128638e-01,7.378834329863102025e-03,4.128839461293071943e-05
4.310000000000000000e+02,5.310354719569888582e-01,2.987203768578828959e-03,5.310354719569888582e-01,5.310438737646230312e-01,7.446796802164742067e-03,4.189004434918243506e-05
4.320000000000000000e+02,5.359280410734275080e-01,3.030759143858665055e-03,5.359280410734275080e-01,5.359366107197656159e-01,7.515406094716137360e-03,4.250082846150485911e-05
4.330000000000000000e+02,5.408672643556088344e-01,3.074976933012692377e-03,5.408672643556088344e-01,5.408760053234553666e-01,7.584669626222568205e-03,4.312090171133415439e-05
4.340000000000000000e+02,5.458536785761616272e-01,3.119868389198351098e-03,5.458536785761616272e-01,5.458625944263753027e-01,7.654594923933921366e-03,4.375042190352756934e-05
4.350000000000000000e+02,5.508878283887239657e-01,3.165444987579651200e-03,5.508878283887239657e-01,5.508969227621566267e-01,7.725189625616756678e-03,4.438954995617656435e-05
4.360000000000000000e+02,5.559702664716528187e-01,3.211718430437415436e-03,5.559702664716528187e-01,5.559795430911438352e-01,7.796461481569574338e-03,4.503844997226863841e-05
4.370000000000000000e+02,5.611015536748854560e-01,3.258700652415376289e-03,5.611015536748854560e-01,5.611110163473110868e-01,7.868418356682272546e-03,4.569728931325415313e-05
4.380000000000000000e+02,5.662822591700392705e-01,3.306403825906201795e-03,5.662822591700392705e-01,5.662919117884198661e-01,7.941068232541023675e-03,4.636623867457546097e-05
4.390000000000000000e+02,5.715129606038336085e-01,3.354840366581723736e-03,5.715129606038336085e-01,5.715228071494997675e-01,8.014419209579735567e-03,4.704547216321821977e-05
4.400000000000000000e+02,5.767942442549158777e-01,3.404022939071750520e-03,5.767942442549158777e-01,5.768042887997359980e-01,8.088479509279242891e-03,4.773516737734627267e-05
4.410000000000000000e+02,5.821267051941840798e-01,3.453964462796064831e-03,5.821267051941840798e-01,5.821369519028548600e-01,8.163257476415546054e-03,4.843550548808472559e-05
4.420000000000000000e+02,5.875109474486956973e-01,3.504678117954226901e-03,5.875109474486956973e-01,5.875214005810975859e-01,8.238761581358323288e-03,4.914667132351590846e-05
4.430000000000000000e+02,5.929475841692615212e-01,3.556177351678183746e-03,5.929475841692615212e-01,5.929582480828815561e-01,8.315000422421128801e-03,4.986885345495845620e-05
4.440000000000000000e+02,5.984372378018114613e-01,3.608475884352577590e-03,5.984372378018114613e-01,5.984481169542350543e-01,8.391982728264486130e-03,5.060224428559797669e-05
4.450000000000000000e+02,6.039805402626464703e-01,3.661587716108125057e-03,6.039805402626464703e-01,6.039916392141212453e-01,8.469717360353474361e-03,5.134704014154477990e-05
4.460000000000000000e+02,6.095781331176646223e-01,3.715527133493328957e-03,6.095781331176646223e-01,6.095894565337370841e-01,8.548213315471035398e-03,5.210344136539240742e-05
4.470000000000000000e+02,6.152306677656801392e-01,3.770308716330216491e-03,6.152306677656801392e-01,6.152422204199099465e-01,8.627479728288704047e-03,5.287165241235669869e-05
4.480000000000000000e+02,6.209388056259375066e-01,3.825947344759839282e-03,6.209388056259375066e-01,6.209505924026892387e-01,8.707525873996127888e-03,5.365188194907605853e-05
4.490000000000000000e+02,6.267032183299366954e-01,3.882458206483546930e-03,6.267032183299366954e-01,6.267152442272529989e-01,8.788361170991082147e-03,5.444434295515695847e-05
