case_id,band,state,energy_eV,centroid_nm,left_well_probability,central_barrier_probability,right_well_probability,outside_active_probability,localization_left_minus_right,node_count,character,normalization_check
Case_08,heavy_hole,2,1.519666976162,70.31014168504018,0.005322693046321075,0.02242241613304187,0.9447408636396112,0.027514027181025913,-0.9394181705932901,2,right_localized,0.9999999999999999
Case_08,heavy_hole,3,1.510612236149,63.526078366754696,0.9733029379234264,0.010193458606456202,0.005415962050450172,0.011087641419667258,0.9678869758729762,2,left_localized,1.0
Case_08,heavy_hole,4,1.456155266054,63.52971956725554,0.943698727261838,0.026838755138266043,0.0014815476351266686,0.027980969964769276,0.9422171796267114,4,left_localized,1.0
Case_08,heavy_hole,5,1.394243280207,69.5699881083887,0.09615662578853724,0.11449833967649081,0.6720522130083503,0.11729282152662168,-0.575895587219813,6,right_localized,0.9999999999999999
Case_08,heavy_hole,6,1.380828024784,64.27103504233288,0.795919989706058,0.03803609117182599,0.09423583297936605,0.07180808614274992,0.701684156726692,6,left_localized,1.0000000000000002
Case_09,electron,1,2.9619141612,63.57589023251718,0.9551371686742587,0.019710883394892062,0.005301040457675194,0.01985090747317406,0.9498361282165835,0,left_localized,1.0
Case_09,electron,2,3.071043065881,69.58814064252891,0.07840176851364922,0.09907556638350155,0.7252731367918297,0.09724952831101952,-0.6468713682781805,2,right_localized,1.0
Case_09,electron,3,3.139059371585,64.05705815113167,0.7877825779425489,0.037946329995322894,0.07888242624530545,0.09538866581682276,0.7089001516972435,4,left_localized,0.9999999999999998
Case_09,electron,4,3.339796774115,33.16037675980469,0.00015887014252983548,3.233817945246197e-05,7.895478622144144e-06,0.9998008961993956,0.00015097466390769134,4,delocalized_bonding_or_antibonding,1.0
Case_09,electron,5,3.346803481502,41.10288644150725,0.005389130437337106,0.0011548990461844868,0.0002895858234459777,0.9931663846930324,0.005099544613891129,4,delocalized_bonding_or_antibonding,0.9999999999999999
Case_09,electron,6,3.355229484504,43.39463455491108,0.03133538250675007,0.007385812610168474,0.0019867667303631966,0.9592920381527182,0.02934861577638687,6,delocalized_bonding_or_antibonding,1.0
Case_09,heavy_hole,1,1.472279717798,63.57513718640599,0.9946340528166341,0.002596999267658684,8.718774501530538e-05,0.0026817601706919264,0.9945468650716188,2,left_localized,0.9999999999999999
Case_09,heavy_hole,2,1.43959462642,67.75911958564318,0.36106994692212535,0.023445517602604965,0.5937948105240176,0.0216897249512521,-0.23272486360189226,2,delocalized_bonding_or_antibonding,0.9999999999999999
Case_09,heavy_hole,3,1.438156312155,66.00439491852308,0.6173492138880649,0.010363140272161273,0.35419865270464784,0.01808899313512602,0.263150561183417,2,left_localized,1.0
Case_09,heavy_hole,4,1.383748310897,63.531640893733126,0.9433508631176228,0.025939425133494745,0.001422613803244534,0.029287097945637882,0.9419282493143784,4,left_localized,1.0
Case_09,heavy_hole,5,1.31387937922,66.89562659746319,0.4314310183819,0.11137733113734062,0.36578088240867845,0.09141076807208093,0.06565013597322156,6,delocalized_bonding_or_antibonding,1.0
Case_09,heavy_hole,6,1.304923519475,66.83379874417875,0.4598246270348594,0.04627722777757088,0.3895903263463578,0.10430781884121193,0.07023430068850156,6,delocalized_bonding_or_antibonding,1.0
Case_10,electron,1,3.019462765736,63.54790734711506,0.9582385213650249,0.01804904221730732,0.0034848307113783347,0.02022760570628949,0.9547536906536466,0,left_localized,1.0
Case_10,electron,2,3.137474442589,69.6017041612262,0.09125784468243839,0.10537145019009045,0.7095177150774189,0.09385299005005232,-0.6182598703949805,2,right_localized,1.0
Case_10,electron,3,3.194531219327,64.22552020556901,0.7739536667667641,0.03659077919092207,0.09487342237681881,0.09458213166549498,0.6790802443899453,4,left_localized,1.0
Case_10,electron,4,3.367271738564,28.245131823917564,1.536979858531887e-07,2.594735431679095e-08,5.555086611739055e-09,0.9999998147995732,1.4814289924144966e-07,4,delocalized_bonding_or_antibonding,1.0000000000000002
Case_10,electron,5,3.381715699311,35.67842732984053,7.282063509470596e-05,1.324020885305184e-05,2.7732225635428848e-06,0.9999111659334886,7.004741253116308e-05,6,delocalized_bonding_or_antibonding,0.9999999999999999
Case_10,electron,6,3.393778331364,41.04273170813466,0.0029029677831732825,0.0005621951513931895,0.00011770142635124202,0.9964171356390822,0.0027852663568220404,6,delocalized_bonding_or_antibonding,0.9999999999999999
