k_per_nm,e1_raw_eV,e2_raw_eV,h1_raw_eV,h2_raw_eV
0.055571443923200001,2.9542234829160003,3.0925959571317501,1.4430679453956501,1.41734007925435
0.057423825387306997,2.9543393878849002,3.0926939848738,1.4430208242710498,1.417376081959
0.059276206851413001,2.9544590777681501,3.0927952170533,1.4429722397338001,1.41741276741315
0.061128588315519997,2.9545825511136998,3.0928996528050003,1.4429221998199,1.41745009654655
0.062980969779627,2.9547098064243498,3.0930072912367499,1.4428707128432001,1.4174880301766
0.064833351243733003,2.9548408421580001,3.0931181314292999,1.4428177873982999,1.4175265290605998
0.066685732707840006,2.9549756567277501,3.0932321724366503,1.4427634323621499,1.4175655539449501
0.068538114171946996,2.9551142485019,3.0933494132856501,1.4427076568967501,1.4176050656102501
0.070390495636052999,2.9552566158040996,3.0934698529764999,1.44265047045145,1.4176450249141501
0.072242877100160002,2.9554027569136001,3.0935934904825997,1.44259188276525,1.41768539282965
0.074095258564267005,2.9555526700652504,3.0937203247505503,1.4425319038695501,1.417726130481
0.075947640028372995,2.9557063534493997,3.0938503547002498,1.4424705440904502,1.4177671991762999
0.077800021492479998,2.9558638052125001,3.0939835792250499,1.44240781405145,1.4178085604363999
0.079652402956587001,2.9560250234567498,3.0941199971914499,1.4423437246763,1.4178501760216999
0.081504784420693005,2.9561900062405,3.0942596074397999,1.4422782871914501,1.4178920079552499
0.083357165884799994,2.95635875157845,3.0944024087836,1.44221151312915,1.41793401854335
0.085209547348906997,2.9565312574412501,3.0945484000099999,1.4421434143298,1.4179761703938001
0.087061928813013001,2.9567075217563001,3.09469757988,1.44207400294535,1.41801842643075
0.088914310277120004,2.9568875424076504,3.0948499471279503,1.4420032914418002,1.4180607499083999
0.090766691741227007,2.9570713172358003,3.0950055004619998,1.4419312926024501,1.41810310442095
0.092619073205332997,2.9572588440383498,3.0951642385642497,1.4418580195306001,1.4181454539114999
0.09447145466944,2.9574501205698001,3.0953261600905497,1.4417834856526499,1.41818776267855
0.096323836133547003,2.9576451445418002,3.0954912636706,1.4417077047212499,1.4182299953804001
0.098176217597653007,2.9578439136234,3.0956595479081499,1.4416306908181999,1.41827211703815
0.10002859906176,2.95804642544095,3.0958310113809997,1.4415524583574499,1.4183140930367499
0.10188098052587,2.9582526775786002,3.09600565264105,1.4414730220881,1.41835588912485
0.10373336198997,2.9584626675779502,3.0961834702141502,1.4413923970976499,1.4183974714128502
0.10558574345408001,2.95867639293885,3.0963644626006501,1.4413105988148001,1.4184388063701001
0.10743812491819001,2.9588938511189502,3.0965486282750998,1.4412276430124999,1.4184798608206
0.10929050638229,2.9591150395343497,3.0967359656864497,1.4411435458108,1.4185206019380998
0.1111428878464,2.9593399555593498,3.0969264732579997,1.44105832367985,1.4185609972395001
0.11299526931051,2.95956859345275,3.09712013859165,1.4409719933612,1.4186010136330001
0.11484765077461,2.95980094732775,3.09731694888595,1.4408845719391499,1.4186406183636999
