z_nm,e1_nm_minus_half,e2_nm_minus_half,h1_nm_minus_half,h2_nm_minus_half
14.5,0.37654191085706229,0.085443138242991601,0.37236597864693216,0.49261885572344288
14.550000000000001,0.37247866133021224,0.088821225213479585,0.36556160466109217,0.49435171050221288
14.6,0.3683187813660222,0.092129463863019567,0.35861212735814213,0.49530909200726292
14.65,0.36406335014315216,0.095365252618457561,0.35152030521214206,0.49548949842573292
14.699999999999999,0.35971347162867218,0.09852604688067354,0.34428895319849201,0.4948926467599829
14.75,0.3552702742917021,0.10160936102563953,0.33692094167650199,0.49351947327160289
14.800000000000001,0.35073491081061209,0.10461277035906952,0.32941919525014196,0.49137213201270291
14.85,0.34610855777404204,0.1075339130232295,0.32178669160709189,0.48845399144690288
14.9,0.34139241537562204,0.11037049185422948,0.31402646033685183,0.48476962916536281
14.949999999999999,0.33658770710262198,0.11312027618853947,0.3061415817281718,0.48032482470604282
15,0.33169567941856198,0.11578110361712945,0.29813518554639179,0.47512655048755276
15.050000000000001,0.32671760143983192,0.11835088168599944,0.29001044979113172,0.46918296087173278
15.1,0.32165476460646192,0.12082758954164943,0.28177059943488164,0.46250337937220271
15.15,0.31650848234707191,0.12320927952029943,0.27341890514282163,0.45509828402881264
15.199999999999999,0.3112800897381619,0.12549407867943943,0.26495868197466155,0.44697929097114258
15.25,0.30597094315774181,0.12768019027078942,0.2563932880687515,0.43815913619666258
15.300000000000001,0.30058241993345175,0.1297658951531894,0.24772612330915147,0.42865165559214252
15.35,0.29511591798524178,0.13174955314452938,0.23896062797607143,0.41847176322980245
15.4,0.28957285546275174,0.1336296043115994,0.23010028138033137,0.40763542797207236
15.449999999999999,0.28395467037736172,0.13540457019675936,0.22114860048233131,0.39615964842175233
15.5,0.27826282022916166,0.13707305498065936,0.21210913849600124,0.38406242625691228
15.550000000000001,0.27249878162882163,0.13863374657981936,0.2029854834784712,0.37136273799218217
15.6,0.26666404991456161,0.14008541767850932,0.19378125690583115,0.35808050521098211
15.65,0.26076013876415155,0.14142692669385934,0.18450011223562107,0.34423656331514202
15.699999999999999,0.25478857980229158,0.14265721867360934,0.17514573345670104,0.32985262884111194
15.75,0.2486573110723915,0.14379954042827933,0.16574489283221097,0.31499392538983184
15.800000000000001,0.24228921746424145,0.14488228955506932,0.15636101295649091,0.2997970426292218
15.85,0.2357176558831614,0.14591903185455932,0.14706660035225086,0.28441938150807167
15.9,0.22897526866600135,0.1469242206423893,0.1379253538025208,0.26900389837510164
15.949999999999999,0.22209378764239132,0.14791314492897931,0.12899240254972075,0.25367892572587147
16,0.21510388654927129,0.14890190092088931,0.12031464634441071,0.23855824945387141
16.050000000000001,0.20803507775238125,0.1499073881924593,0.11193117781634065,0.2237414077179613
16.100000000000001,0.20091564888789121,0.1509473318540393,0.10387376890189061,0.20931417726174123
16.149999999999999,0.19377263485050117,0.15204033210605927,0.096167404526482564,0.19534921439096115
16.199999999999999,0.18663182050617111,0.15320594272652927,0.088830848344039523,0.18190681970531108
16.25,0.17951776958595109,0.15446478030105928,0.081877227021988491,0.169035797972651
16.300000000000001,0.17245387540808102,0.15583866638235927,0.075314621279882449,0.15677438711734093
16.350000000000001,0.165462429366391,0.15735080527249928,0.069146653601617397,0.14515123307238087
16.399999999999999,0.15856470350300095,0.15902600077526924,0.063373064210687377,0.13418639013228079
16.449999999999999,0.15178104394395092,0.16089091608878925,0.057990268498073337,0.12389232936682074
16.5,0.14513097250960086,0.16297438202994924,0.052991890602700313,0.11427494055550066
16.550000000000001,0.13863329441369082,0.16530776003783923,0.048369269250663281,0.10533451593044063
16.600000000000001,0.1323062106330008,0.16792536794010923,0.044111933252928254,0.097066706735879568
16.649999999999999,0.12616743426398075,0.17086497834302919,0.040208045238358234,0.089463446201226524
16.699999999999999,0.12023431098673072,0.17416840179706919,0.036644813260468215,0.082513834967417488
16.75,0.11457622653843068,0.17783769578932918,0.033403740865293192,0.076193702485776449
16.800000000000001,0.10924274208115065,0.18185324622777915,0.030459321556818179,0.070461917667409418
16.850000000000001,0.10421874759547062,0.18622287153480915,0.027785406435136162,0.065274221182552383
16.899999999999999,0.099490009862036599,0.19095507952942911,0.025358248903193149,0.060590555007969352
16.949999999999999,0.095043132138163566,0.19605908399231908,0.023156293777195136,0.05637475310946833
17,0.090865516204194544,0.20154482260534906,0.021159985858592124,0.052594262177326309
17.050000000000001,0.086945326672144524,0.20742297630062903,0.019351596267605114,0.049219890258228288
17.100000000000001,0.083271457455479495,0.213704990056689,0.017715064995974104,0.04622558134270327
17.149999999999999,0.079833500305028476,0.22040309518224896,0.016235858280695098,0.04358821416749626
17.199999999999999,0.07662171532191546,0.22753033313099894,0.014900839532076089,0.041287423679272246
