model,gamma_meV,crossing_nm,direction,nearest_paper_node_nm,distance_from_nearest_paper_node_nm
demo21,1e-06,1419.0053880749804,positive_to_negative,1330.0,89.00538807498037
demo21,1e-06,1420.6016051047982,negative_to_positive,1330.0,90.60160510479818
demo21,1e-06,1421.9383214167422,positive_to_negative,1330.0,91.93832141674216
demo21,1e-06,1423.8282638348376,negative_to_positive,1330.0,93.82826383483757
demo21,1e-06,1424.806372934071,positive_to_negative,1330.0,94.80637293407108
demo21,1e-06,1425.0013063518202,negative_to_positive,1330.0,95.00130635182018
demo21,1e-06,1427.4795476901404,positive_to_negative,1330.0,97.47954769014041
demo21,1e-06,1428.1997472989335,negative_to_positive,1330.0,98.19974729893352
demo21,1e-06,1429.9898491636616,positive_to_negative,1330.0,99.98984916366157
demo21,1e-06,1431.5014918258053,negative_to_positive,1330.0,101.50149182580526
demo21,1e-06,1432.9477059217245,positive_to_negative,1330.0,102.94770592172449
demo21,1e-06,1434.9401672231463,negative_to_positive,1330.0,104.94016722314632
demo21,1e-06,1435.4813995480201,positive_to_negative,1330.0,105.48139954802014
demo21,1e-06,1436.2143924121103,negative_to_positive,1330.0,106.21439241211033
demo21,1e-06,1438.0695555573845,positive_to_negative,1330.0,108.06955555738455
demo21,1e-06,1439.768252071507,negative_to_positive,1330.0,109.76825207150705
demo21,1e-06,1440.6732303965316,positive_to_negative,1330.0,110.67323039653161
demo21,1e-06,1441.1087817339458,negative_to_positive,1330.0,111.10878173394576
demo21,1e-06,1443.141433410898,positive_to_negative,1330.0,113.14143341089789
demo21,1e-06,1444.7431397120333,negative_to_positive,1330.0,114.74313971203333
demo21,1e-06,1445.6764999766053,positive_to_negative,1330.0,115.67649997660533
demo21,1e-06,1446.1462998752406,negative_to_positive,1330.0,116.14629987524063
demo21,1e-06,1447.9702582300683,positive_to_negative,1330.0,117.97025823006834
demo21,1e-06,1449.9259378056925,negative_to_positive,1330.0,119.92593780569246
demo21,1e-06,1450.3741589419276,positive_to_negative,1330.0,120.37415894192759
demo21,1e-06,1451.4280851868123,negative_to_positive,1330.0,121.42808518681227
demo21,1e-06,1452.8117050553817,positive_to_negative,1330.0,122.81170505538171
demo21,1e-06,1453.105371268403,negative_to_positive,1330.0,123.1053712684029
demo21,1e-06,1457.1320500209738,positive_to_negative,1330.0,127.1320500209738
demo21,1e-06,1458.7704891187332,negative_to_positive,1330.0,128.77048911873317
demo21,1e-06,1459.3897967702524,positive_to_negative,1330.0,129.38979677025236
demo21,1e-06,1460.691172288285,negative_to_positive,1330.0,130.6911722882851
demo21,1e-06,1461.4475982471427,positive_to_negative,1330.0,131.44759824714265
demo21,1e-06,1462.3345309168683,negative_to_positive,1330.0,132.3345309168683
demo21,1e-06,1463.7273357829663,positive_to_negative,1330.0,133.7273357829663
demo21,1e-06,1464.2340000078502,negative_to_positive,1330.0,134.23400000785023
demo21,1e-06,1465.8357168644181,positive_to_negative,1330.0,135.83571686441815
demo21,1e-06,1466.1715292501483,negative_to_positive,1330.0,136.1715292501483
demo21,1e-06,1467.80787550277,positive_to_negative,1330.0,137.80787550277
demo21,1e-06,1468.1898595493935,negative_to_positive,1330.0,138.18985954939353
demo21,1e-06,1469.7413772598122,positive_to_negative,1330.0,139.74137725981223
demo21,1e-06,1470.3081976905298,negative_to_positive,1330.0,140.30819769052982
demo21,1e-06,1471.551600447507,positive_to_negative,1330.0,141.5516004475071
demo21,1e-06,1472.5158405260959,negative_to_positive,1330.0,142.51584052609587
demo21,1e-06,1473.2561685264338,positive_to_negative,1330.0,143.25616852643384
demo21,1e-06,1474.8141990264996,negative_to_positive,1330.0,144.81419902649964
demo21,1e-06,1477.0348893931655,positive_to_negative,1330.0,147.03488939316549
demo21,1e-06,1479.411168835836,negative_to_positive,1330.0,149.41116883583595
demo21,1e-06,1483.082607703156,positive_to_negative,1330.0,153.0826077031561
demo21,1e-06,1484.9831426399019,negative_to_positive,1330.0,154.98314263990187
demo21,1e-06,1487.9114741101407,positive_to_negative,1330.0,157.91147411014072
demo21,1e-06,1488.4947963499649,negative_to_positive,1330.0,158.49479634996487
demo21,1e-06,1491.2464200129502,positive_to_negative,1330.0,161.24642001295024
demo21,1e-06,1493.1208372681078,negative_to_positive,1330.0,163.12083726810783
demo21,1e-06,1497.0117788143584,positive_to_negative,1330.0,167.01177881435842
demo21,1e-06,1498.3308717700113,negative_to_positive,1330.0,168.3308717700113
demo21,1e-06,1500.162393107861,positive_to_negative,1330.0,170.1623931078609
demo21,1e-06,1501.9104971745783,negative_to_positive,1330.0,171.91049717457827
demo21,1e-06,1502.585527510842,positive_to_negative,1330.0,172.58552751084198
demo21,1e-06,1503.0159647986914,negative_to_positive,1330.0,173.01596479869136
demo21,1e-06,1529.48845836208,positive_to_negative,1330.0,199.4884583620801
demo21,1e-06,1530.5128835165362,negative_to_positive,1330.0,200.51288351653625
demo21,1e-06,1571.5863890644978,positive_to_negative,1330.0,241.58638906449778
demo21,1e-06,1572.4575643894887,negative_to_positive,1330.0,242.45756438948865
demo21,1e-06,1582.4347111891702,positive_to_negative,1330.0,252.43471118917023
demo21,1e-06,1583.5157843272236,negative_to_positive,1330.0,253.51578432722363
demo21,1e-06,1596.996377512525,positive_to_negative,1330.0,266.996377512525
demo21,1e-06,1597.0052466844022,negative_to_positive,1330.0,267.0052466844022
demo21,1e-06,1606.8466484398846,positive_to_negative,1330.0,276.8466484398846
demo21,1e-06,1607.0532361067799,negative_to_positive,1330.0,277.0532361067799
demo21,1e-06,1615.2724056488173,positive_to_negative,1330.0,285.2724056488173
demo21,1e-06,1616.9004328759481,negative_to_positive,1330.0,286.9004328759481
hybrid,1e-06,522.9824515227236,positive_to_negative,605.0,-82.01754847727636
