|kp8_i>     |kp8_j>     |<kp8_i|eps.d|kp8_j>|[e*nm]     |<kp8_i|eps.d|kp8_j>|^2[e^2*nm^2]     Re<kp8_i|eps.d|kp8_j>[e*nm]     Im<kp8_i|eps.d|kp8_j>[e*nm]
10          8           0.0465327                       0.00216529                            -0.01335                        0.0445766
10          9           2.36606e-11                     5.59822e-22                           2.34265e-11                     3.3196e-12
10          10          0                               0                                     0                               0
10          11          0.0197047                       0.000388275                           -0.018945                       0.00541864
10          12          0.00576101                      3.31893e-05                           -0.00559072                     0.00139035
10          13          0.0025988                       6.75378e-06                           0.00128527                      0.00225873
10          14          0.167643                        0.0281042                             -0.149759                       0.0753432
11          1           1.01936e-13                     1.0391e-26                            9.50162e-14                     -3.69172e-14
11          2           5.75523e-14                     3.31226e-27                           2.00673e-14                     -5.39404e-14
11          3           0.438863                        0.192601                              -0.296917                       -0.323174
11          4           0.261831                        0.0685554                             -0.236871                       -0.111569
11          5           8.31088e-14                     6.90707e-27                           -4.43499e-14                    7.02863e-14
11          6           2.15964e-14                     4.66403e-28                           -2.39067e-15                    2.14636e-14
11          7           0.121651                        0.014799                              0.0369975                       -0.115889
11          8           0.0302417                       0.000914562                           0.0270481                       0.0135263
11          9           0.00576101                      3.31893e-05                           0.00575799                      0.000186664
11          10          0.0197047                       0.000388275                           -0.018945                       -0.00541864
11          11          0                               0                                     0                               0
11          12          3.66892e-14                     1.3461e-27                            -2.765e-14                      -2.41159e-14
11          13          0.35882                         0.128752                              0.358749                        -0.00711751
11          14          1.24479                         1.5495                                1.22194                         -0.237415
12          1           6.11643e-15                     3.74107e-29                           5.07978e-15                     -3.40685e-15
12          2           9.08794e-14                     8.25906e-27                           -2.87e-14                       -8.62286e-14
12          3           0.261831                        0.0685554                             -0.248353                       -0.0829221
12          4           0.438863                        0.192601                              0.437928                        -0.0286272
12          5           1.6635e-14                      2.76722e-28                           7.49608e-15                     1.48503e-14
12          6           2.37924e-13                     5.66079e-26                           -2.34923e-13                    3.76709e-14
12          7           0.0302417                       0.000914562                           -0.00551008                     -0.0297355
12          8           0.121651                        0.014799                              -0.121602                       0.00347067
12          9           0.0197047                       0.000388275                           -0.0197046                      4.78955e-05
12          10          0.00576101                      3.31893e-05                           -0.00559072                     -0.00139035
12          11          3.66804e-14                     1.34545e-27                           -2.765e-14                      2.41025e-14
12          12          0                               0                                     0                               0
