wavelength_nm,simulated_abs_chi2_pm_per_V
727.92,1106.2
728.31,1108.8
731.03,1209.8
731.42,1209.8
731.80,1215.0
732.19,1220.2
732.58,1222.8
732.97,1228.0
733.36,1235.8
733.75,1240.9
734.14,1251.3
734.52,1261.7
734.91,1264.2
735.30,1269.4
735.69,1274.6
736.08,1277.2
736.47,1282.4
736.86,1285.0
738.41,1378.2
738.80,1378.2
739.19,1383.4
739.58,1391.2
739.96,1399.0
740.35,1406.7
740.74,1414.5
741.13,1422.3
741.52,1432.6
741.91,1437.8
742.29,1445.6
742.68,1453.4
743.07,1461.1
743.46,1466.3
743.85,1569.9
744.24,1569.9
744.63,1572.5
745.01,1580.3
745.40,1585.5
745.79,1593.3
746.18,1598.4
746.57,1608.8
746.96,1621.8
747.35,1629.5
747.73,1634.7
748.12,1642.5
748.51,1647.7
748.90,1667.2
749.29,1731.3
749.68,1785.0
750.07,1800.5
750.45,1805.7
750.84,1808.3
751.23,1808.3
751.62,1817.0
752.01,1865.3
752.40,1913.1
752.79,1961.1
753.17,2007.8
753.56,2010.4
753.95,2010.4
754.34,2018.9
754.73,2065.8
755.12,2112.5
755.50,2159.4
755.89,2204.7
756.28,2207.3
756.67,2207.3
757.06,2216.0
757.45,2259.8
757.84,2308.3
758.22,2356.8
758.61,2404.1
759.00,2406.7
759.39,2406.7
759.78,2409.3
760.17,2417.1
760.56,2411.9
760.94,2399.0
761.33,2365.3
761.72,2360.1
762.11,2357.5
762.50,2354.9
762.89,2340.8
763.28,2297.5
763.66,2255.1
764.05,2220.6
764.44,2168.4
764.83,2163.2
765.22,2160.6
765.61,2158.0
766.00,2143.9
766.38,2100.6
766.77,2058.2
767.16,2023.7
767.55,1971.5
767.94,1966.3
768.33,1963.7
768.72,1961.1
769.10,1953.4
769.49,1943.0
769.88,1930.1
770.27,1922.3
770.66,1816.1
771.05,1813.5
771.43,1808.3
771.82,1803.1
772.21,1797.9
772.60,1792.7
772.99,1785.0
773.38,1774.6
773.77,1764.2
774.15,1759.1
774.54,1753.9
774.93,1748.7
775.32,1743.5
775.71,1738.3
776.10,1735.8
777.26,1634.7
777.65,1632.1
778.04,1626.9
778.43,1621.8
778.82,1614.0
779.21,1611.4
779.59,1606.2
779.98,1598.4
780.37,1588.1
780.76,1582.9
781.15,1575.1
781.54,1572.5
781.93,1569.9
782.31,1567.4
782.70,1564.8
785.81,1479.3
786.20,1479.3
786.59,1476.7
786.98,1474.1
787.36,1468.9
787.75,1466.3
788.14,1461.1
788.53,1456.0
788.92,1448.2
789.31,1445.6
789.70,1437.8
790.08,1432.6
790.47,1427.5
790.86,1424.9
791.25,1419.7
791.64,1419.7
792.03,1417.1
792.42,1414.5
792.80,1414.5
797.08,1339.4
797.47,1342.0
797.86,1339.4
798.24,1336.8
798.63,1334.2
799.02,1331.6
799.41,1329.0
799.80,1326.4
800.19,1321.2
800.57,1318.7
800.96,1313.5
801.35,1308.3
801.74,1308.3
802.13,1303.1
802.52,1297.9
802.91,1295.3
803.29,1292.7
803.68,1290.2
804.07,1290.2
804.46,1287.6
804.85,1285.0
805.24,1285.0
810.29,1220.2
810.68,1222.8
811.07,1222.8
811.45,1220.2
811.84,1220.2
812.23,1217.6
812.62,1215.0
813.01,1212.4
813.40,1212.4
813.78,1209.8
814.17,1207.3
814.56,1204.7
814.95,1202.1
815.34,1199.5
815.73,1196.9
816.12,1196.9
816.50,1191.7
816.89,1191.7
817.28,1189.1
817.67,1189.1
818.06,1186.5
818.45,1186.5
818.84,1186.5
824.28,1137.3
824.66,1139.9
825.05,1137.3
825.44,1137.3
825.83,1134.7
826.22,1134.7
826.61,1129.5
827.00,1129.5
827.38,1124.4
827.77,1124.4
828.16,1119.2
828.55,1119.2
828.94,1114.0
829.33,1114.0
829.71,1111.4
830.10,1111.4
830.49,1111.4
830.88,1111.4
831.27,1111.4
831.66,1111.4
832.05,1111.4
832.43,1108.8
832.82,1108.8
833.21,1108.8
833.60,1108.8
839.43,1108.8
839.82,1108.8
840.21,1108.8
840.59,1111.4
840.98,1111.4
841.37,1111.4
841.76,1111.4
842.15,1111.4
842.54,1111.4
842.92,1111.4
843.31,1111.4
843.70,1111.4
844.09,1111.4
844.48,1111.4
844.87,1111.4
845.26,1111.4
845.64,1111.4
846.03,1111.4
846.42,1111.4
846.81,1111.4
847.20,1111.4
847.59,1108.8
847.98,1108.8
848.36,1108.8
848.75,1108.8
854.58,1108.8
854.97,1108.8
855.36,1108.8
855.75,1111.4
856.13,1111.4
856.52,1111.4
856.91,1111.4
857.30,1111.4
857.69,1111.4
858.08,1111.4
858.47,1111.4
858.85,1111.4
859.24,1111.4
859.63,1111.4
860.02,1111.4
860.41,1111.4
860.80,1111.4
861.19,1111.4
861.57,1111.4
861.96,1111.4
862.35,1111.4
862.74,1108.8
863.13,1108.8
863.52,1108.8
863.91,1108.8
869.73,1108.8
870.12,1108.8
870.51,1108.8
870.90,1111.4
871.29,1111.4
871.68,1111.4
872.06,1111.4
872.45,1111.4
872.84,1111.4
873.23,1111.4
873.62,1111.4
874.01,1111.4
874.40,1116.6
874.78,1116.6
875.17,1116.6
875.56,1116.6
875.95,1116.6
876.34,1116.6
876.73,1116.6
877.12,1116.6
877.50,1116.6
877.89,1119.2
878.28,1119.2
878.67,1119.2
879.06,1119.2
884.50,1124.4
884.89,1124.4
885.27,1124.4
885.66,1126.9
886.05,1126.9
886.44,1126.9
886.83,1126.9
887.22,1126.9
887.61,1126.9
887.99,1126.9
888.38,1126.9
888.77,1126.9
889.16,1126.9
889.55,1126.9
889.94,1132.1
890.33,1132.1
890.71,1132.1
891.10,1132.1
891.49,1132.1
891.88,1132.1
892.27,1132.1
892.66,1134.7
893.05,1134.7
893.43,1134.7
893.82,1134.7
899.65,1139.9
900.04,1139.9
900.43,1139.9
900.82,1142.5
901.20,1142.5
901.59,1142.5
901.98,1142.5
902.37,1142.5
902.76,1142.5
903.15,1142.5
903.54,1142.5
903.92,1142.5
904.31,1147.7
904.70,1147.7
905.09,1147.7
905.48,1147.7
905.87,1147.7
906.26,1147.7
906.64,1147.7
907.03,1147.7
907.42,1147.7
907.81,1150.3
908.20,1150.3
908.59,1150.3
908.98,1150.3
914.80,1160.6
915.19,1160.6
915.58,1160.6
915.97,1163.2
