z_nm,al_fraction,E_c_eV,E_v_eV
36.720,0.5500,1.92680,-0.27166
36.800,0.5500,1.92680,-0.27166
36.880,0.5500,1.92680,-0.27166
36.960,0.5500,1.92680,-0.27166
37.040,0.5500,1.92680,-0.27166
37.120,0.5500,1.92680,-0.27166
37.200,0.5500,1.92680,-0.27166
37.280,0.5500,1.92680,-0.27166
37.360,0.5500,1.92680,-0.27166
37.440,0.5500,1.92680,-0.27166
37.520,0.5500,1.92680,-0.27166
37.600,0.5500,1.92680,-0.27166
37.680,0.5500,1.92680,-0.27166
37.760,0.5500,1.92680,-0.27166
37.840,0.5500,1.92680,-0.27166
37.920,0.5500,1.92680,-0.27166
38.000,0.5500,1.92680,-0.27166
38.080,0.5500,1.92680,-0.27166
38.160,0.5500,1.92680,-0.27166
38.240,0.5500,1.92680,-0.27166
38.320,0.5500,1.92680,-0.27166
38.400,0.5500,1.92680,-0.27166
38.480,0.5500,1.92680,-0.27166
38.560,0.5500,1.92680,-0.27166
38.640,0.5500,1.92680,-0.27166
38.720,0.5500,1.92680,-0.27166
38.800,0.5500,1.92680,-0.27166
38.880,0.5500,1.92680,-0.27166
38.960,0.5500,1.92680,-0.27166
39.040,0.5500,1.92680,-0.27166
39.120,0.5500,1.92680,-0.27166
39.200,0.5500,1.92680,-0.27166
39.280,0.5500,1.92680,-0.27166
39.360,0.5500,1.92680,-0.27166
39.440,0.5500,1.92680,-0.27166
39.520,0.5500,1.92680,-0.27166
39.600,0.5500,1.92680,-0.27166
39.680,0.5500,1.92680,-0.27166
39.760,0.5500,1.92680,-0.27166
39.840,0.5500,1.92680,-0.27166
39.920,0.5500,1.92680,-0.27166
40.000,0.5500,1.92680,-0.27166
40.080,0.5500,1.92680,-0.27166
40.160,0.5500,1.92680,-0.27166
40.240,0.5500,1.92680,-0.27166
40.320,0.5500,1.92680,-0.27166
40.400,0.5500,1.92680,-0.27166
40.480,0.5500,1.92680,-0.27166
40.560,0.5500,1.92680,-0.27166
40.640,0.5500,1.92680,-0.27166
40.720,0.5500,1.92680,-0.27166
40.800,0.5500,1.92680,-0.27166
40.880,0.5500,1.92680,-0.27166
40.960,0.5500,1.92680,-0.27166
41.040,0.5500,1.92680,-0.27166
41.120,0.5500,1.92680,-0.27166
41.200,0.5500,1.92680,-0.27166
41.280,0.5500,1.92680,-0.27166
41.360,0.5500,1.92680,-0.27166
41.440,0.5500,1.92680,-0.27166
41.520,0.5500,1.92680,-0.27166
41.600,0.5500,1.92680,-0.27166
41.680,0.5500,1.92680,-0.27166
41.760,0.5500,1.92680,-0.27166
41.840,0.5500,1.92680,-0.27166
41.920,0.5500,1.92680,-0.27166
42.000,0.5500,1.92680,-0.27166
42.080,0.5500,1.92680,-0.27166
42.160,0.5500,1.92680,-0.27166
42.240,0.5500,1.92680,-0.27166
42.320,0.5500,1.92680,-0.27166
42.400,0.5500,1.92680,-0.27166
42.480,0.5500,1.92680,-0.27166
42.560,0.5500,1.92680,-0.27166
42.640,0.5500,1.92680,-0.27166
42.720,0.5500,1.92680,-0.27166
42.800,0.5500,1.92680,-0.27166
42.880,0.5500,1.92680,-0.27166
42.960,0.5500,1.92680,-0.27166
43.040,0.5500,1.92680,-0.27166
43.120,0.5500,1.92680,-0.27166
43.200,0.5500,1.92680,-0.27166
43.280,0.5500,1.92680,-0.27166
43.360,0.5500,1.92680,-0.27166
43.440,0.5500,1.92680,-0.27166
43.520,0.5500,1.92680,-0.27166
43.600,0.5500,1.92680,-0.27166
43.680,0.5500,1.92680,-0.27166
43.760,0.5500,1.92680,-0.27166
43.840,0.5500,1.92680,-0.27166
43.920,0.5500,1.92680,-0.27166
44.000,0.5500,1.92680,-0.27166
44.080,0.5500,1.92680,-0.27166
44.160,0.5500,1.92680,-0.27166
44.240,0.5500,1.92680,-0.27166
44.320,0.5500,1.92680,-0.27166
44.400,0.5500,1.92680,-0.27166
44.480,0.5500,1.92680,-0.27166
44.560,0.5500,1.92680,-0.27166
44.640,0.5500,1.92680,-0.27166
44.720,0.5500,1.92680,-0.27166
44.800,0.5500,1.92680,-0.27166
44.880,0.5500,1.92680,-0.27166
44.960,0.5500,1.92680,-0.27166
45.040,0.5500,1.92680,-0.27166
45.120,0.5500,1.92680,-0.27166
45.200,0.5500,1.92680,-0.27166
45.280,0.5500,1.92680,-0.27166
45.360,0.5500,1.92680,-0.27166
45.440,0.5500,1.92680,-0.27166
45.520,0.5500,1.92680,-0.27166
45.600,0.5500,1.92680,-0.27166
45.680,0.5500,1.92680,-0.27166
45.760,0.5500,1.92680,-0.27166
45.840,0.5500,1.92680,-0.27166
45.920,0.5500,1.92680,-0.27166
46.000,0.5500,1.92680,-0.27166
46.080,0.5500,1.92680,-0.27166
46.160,0.5500,1.92680,-0.27166
46.240,0.5500,1.92680,-0.27166
46.320,0.5500,1.92680,-0.27166
46.400,0.5500,1.92680,-0.27166
46.480,0.5500,1.92680,-0.27166
46.560,0.5500,1.92680,-0.27166
46.640,0.5500,1.92680,-0.27166
46.720,0.5500,1.92680,-0.27166
46.800,0.5500,1.92680,-0.27166
46.880,0.5500,1.92680,-0.27166
46.960,0.5500,1.92680,-0.27166
47.040,0.5500,1.92680,-0.27166
47.120,0.5500,1.92680,-0.27166
47.200,0.5500,1.92680,-0.27166
47.280,0.5500,1.92680,-0.27166
47.360,0.5500,1.92680,-0.27166
47.440,0.5500,1.92680,-0.27166
47.520,0.5500,1.92680,-0.27166
47.600,0.5500,1.92680,-0.27166
47.680,0.5500,1.92680,-0.27166
47.760,0.5500,1.92680,-0.27166
47.840,0.5500,1.92680,-0.27166
47.920,0.5500,1.92680,-0.27166
48.000,0.5500,1.92680,-0.27166
48.080,0.5500,1.92680,-0.27166
48.160,0.5500,1.92680,-0.27166
