wavelength_nm,Re_electron,Im_electron,Re_hole,Im_hole,Re_total,Im_total,cancellation_fraction_modulus
500,14.597953555875296,0.0021564637726352986,-13.582776994816934,-0.0019882996421262292,1.0151765610583641,0.00016816413050906942,0.96397621551435264
501,14.727244240870048,0.0021872361045785936,-13.702109493389392,-0.0020163928372627024,1.025134747480656,0.00017084326731589127,0.96394097593310524
502,14.857806605785601,0.002218491480527563,-13.822599874650173,-0.002044920740131784,1.0352067311354292,0.0001735707403957792,0.96390543715080579
503,14.989656629300061,0.0022502387915321748,-13.944262421322385,-0.0020738912050208597,1.0453942079776732,0.00017634758651131503,0.96386959508153414
504,15.122810554210021,0.0022824871256245682,-14.067111647182127,-0.0021033122564861994,1.0556989070278946,0.00017917486913836847,0.96383344556273276
505,15.257284892984169,0.002315245773052177,-14.191162301802438,-0.0021331920937692735,1.0661225911817329,0.00018205367928290315,0.96379698435337469
506,15.393096433460441,0.0023485242316752123,-14.316429375416924,-0.0021635390953482899,1.0766670580435207,0.00018498513632692222,0.96376020713208055
507,15.530262244691482,0.0023823322125346032,-14.442928103906707,-0.0021943618236298732,1.0873341407847712,0.00018797038890473066,0.96372310949517792
508,15.668799682942842,0.0024166796455966271,-14.570673973914495,-0.0022256690297858569,1.0981257090283481,0.00019101061581077025,0.96368568695470647
509,15.808726397848742,0.0024515766856807661,-14.699682728089421,-0.0022574696587404222,1.1090436697593216,0.00019410702694034406,0.96364793493636136
510,15.950060338730445,0.0024870337185776211,-14.829970370467024,-0.0022897728543130515,1.1200899682634184,0.00019726086426456914,0.96360984877737721
511,16.092819761082247,0.0025230613673640039,-14.961553171988221,-0.0023225879645229759,1.1312665890940257,0.00020047340284102833,0.96357142372434812
512,16.237023233230563,0.0025596704989225613,-15.094447676161735,-0.0023559245470609804,1.142575557068827,0.00020374595186158041,0.96353265493098283
513,16.382689643171588,0.002596872230673761,-15.228670704874448,-0.0023897923749348214,1.154018938297142,0.00020707985573893928,0.96349353745579003
514,16.529838205593272,0.002634677937528215,-15.36423936435431,-0.0024242014422945785,1.1655988412389591,0.00021047649523363689,0.96345406625969809
515,16.678488469087579,0.0026730992590678283,-15.501171051290495,-0.002459161970444726,1.1773174177970804,0.00021393728862310234,0.96341423620359556
516,16.828660323559312,0.002712148106964552,-15.639483459116047,-0.0024946844140498561,1.1891768644432656,0.00021746369291469658,0.96337404204580268
517,16.980374007837792,0.0027518366726459122,-15.779194584457828,-0.0025307794675413623,1.2011794233799651,0.00022105720510454986,0.96333347843945893
518,17.133650117498206,0.0027921774352169383,-15.92032273375956,-0.0025674580717326991,1.2133273837386431,0.00022471936348423806,0.96329253992983488
519,17.288509612899411,0.0028331831696484697,-16.062886530083077,-0.0026047314206511206,1.2256230828163313,0.00022845174899734902,0.96325122095155646
520,17.444973827445665,0.0028748669552423971,-16.206904920093962,-0.0026426109685942275,1.2380689073517064,0.00023225598664817018,0.96320951582574255
521,17.603064476079435,0.0029172421843846816,-16.35239718123729,-0.0026811084374199178,1.2506672948421427,0.00023613374696476437,0.96316741875705469
522,17.762803664013365,0.0029603225715977089,-16.49938292910991,-0.0027202358240788443,1.2634207349034576,0.00024008674751886346,0.96312492383065051
523,17.924213895709315,0.0030041221629038728,-16.647882125035466,-0.0027600054083987504,1.2763317706738513,0.00024411675450512337,0.96308202500904017
