n_1based,m_1based,k_per_nm,k_pi_over_a,transition_eV,one_photon_nm,two_photon_nm
1,1,0.17227147616192,0.030999999999985307,1.5157025130371988,817.9982373424826,1635.9964746849653
1,1,0.17412385762603,0.03133333333331908,1.5161633790748488,817.7495915753763,1635.4991831507525
1,1,0.17597623909013,0.03166666666665105,1.516628176703349,817.4989776960421,1634.9979553920841
1,1,0.17782862055424,0.03199999999998483,1.5170968731031993,817.2464171413928,1634.4928342827857
1,1,0.17968100201835,0.03233333333331861,1.5175694352123996,816.9919314607645,1633.983862921529
1,1,0.18153338348245,0.03266666666665058,1.5180458297454493,816.7355423043456,1633.4710846086912
1,1,0.18338576494656,0.032999999999984354,1.518526023213299,816.4772714111374,1632.9545428222748
1,1,0.18523814641067,0.03333333333331813,1.5190099819445992,816.2171405962617,1632.4342811925235
1,1,0.18709052787477,0.03366666666665011,1.5194976721075488,815.9551717379959,1631.9103434759918
1,1,0.18894290933888,0.03399999999998388,1.5199890597331989,815.691386764078,1631.382773528156
1,1,0.19079529080299,0.03433333333331765,1.5204841107407987,815.4258076369726,1630.8516152739453
1,1,0.19264767226709,0.03466666666664963,1.5209827909628497,815.1584563393546,1630.3169126787093
1,1,0.1945000537312,0.03499999999998341,1.5214850661718502,814.8893548587489,1629.7787097174978
1,1,0.19635243519531,0.03533333333331719,1.52199090210865,814.6185251713756,1629.2370503427512
1,1,0.19820481665941,0.03566666666664916,1.5225002645113996,814.3459892257488,1628.6919784514976
1,1,0.20005719812352,0.035999999999982935,1.523013119144949,814.0717689261094,1628.1435378522187
1,1,0.20190957958763,0.03633333333331671,1.5235294318325494,813.7958861147032,1627.5917722294064
1,1,0.20376196105173,0.03666666666664869,1.52404916848705,813.5183625544132,1627.0367251088264
1,1,0.20561434251584,0.03699999999998246,1.5245722951437488,813.2392199105899,1626.4784398211798
1,1,0.20746672397995,0.03733333333331623,1.5250987779940497,812.9584797325418,1625.9169594650837
1,1,0.20931910544405,0.03766666666664821,1.5256285834190495,812.6761634351527,1625.3523268703054
1,1,0.21117148690816,0.037999999999981986,1.52616167802485,812.3922922796729,1624.7845845593458
1,1,0.21302386837227,0.03833333333331576,1.5266980286772,812.1068873549636,1624.2137747099273
1,1,0.21487624983637,0.03866666666664774,1.5272376025372998,811.8199695582202,1623.6399391164405
1,1,0.21672863130048,0.038999999999981515,1.5277803670976493,811.5315595757714,1623.0631191515429
1,1,0.21858101276459,0.03933333333331528,1.5283262902187993,811.2416778635018,1622.4833557270035
1,1,0.22043339422869,0.03966666666664726,1.5288753401648487,810.9503446280426,1621.9006892560851
1,1,0.2222857756928,0.03999999999998104,1.5294274856403993,810.6575798072932,1621.3151596145865
1,1,0.22413815715691,0.040333333333314805,1.529982695826699,810.363403051479,1620.726806102958
1,1,0.22599053862101,0.0406666666666468,1.5305409404175496,810.0678337044394,1620.1356674088788
1,1,0.22784292008512,0.040999999999980566,1.5311021896557497,809.7708907847384,1619.5417815694768
1,1,0.22969530154923,0.04133333333331434,1.5316664143681502,809.4725929676175,1618.945185935235
1,1,0.23154768301333,0.04166666666664632,1.5322335860011995,809.1729585667947,1618.3459171335894
1,1,0.23340006447744,0.04199999999998009,1.53280367665505,808.8720055171295,1617.744011034259
1,1,0.23525244594155,0.04233333333331387,1.5333766591182993,808.5697513570582,1617.1395027141164
1,1,0.23710482740565,0.04266666666664584,1.5339525069007,808.2662132122065,1616.532426424413
1,1,0.23895720886976,0.04299999999997961,1.53453119426605,807.9614077790078,1615.9228155580156
1,1,0.24080959033387,0.04333333333331339,1.5351126962637995,807.6553513091008,1615.3107026182015
1,1,0.24266197179797,0.043666666666645364,1.5356969887603988,807.348059593963,1614.696119187926
1,1,0.24451435326208,0.043999999999979146,1.5362840484683,807.0395479508769,1614.0790959017538
1,1,0.24636673472619,0.044333333333312915,1.5368738529757,806.7298312086018,1613.4596624172036
1,1,0.24821911619029,0.04466666666664489,1.5374663807736495,806.4189236945228,1612.8378473890457
1,1,0.2500714976544,0.04499999999997867,1.5380616112831997,806.1068392218722,1612.2136784437444
1,1,0.25192387911851,0.04533333333331244,1.5386595248800996,805.7935910783218,1611.5871821566436
1,1,0.25377626058261,0.045666666666644415,1.5392601029192996,805.479192014764,1610.958384029528
1,1,0.25562864204672,0.04599999999997819,1.5398633277577998,805.1636542350404,1610.3273084700809
1,1,0.25748102351083,0.046333333333311966,1.5404691827750503,804.8469893870315,1609.693978774063
1,1,0.25933340497493,0.04666666666664395,1.5410776523934995,804.5292085537413,1609.0584171074827
1,1,0.26118578643904,0.04699999999997772,1.5416887220962503,804.2103222459679,1608.4206444919357
1,1,0.26303816790315,0.047333333333311495,1.542302378443,803.8903403959326,1607.7806807918653
1,1,0.26489054936725,0.04766666666664347,1.5429186090855487,803.5692723512,1607.1385447024
1,1,0.26674293083136,0.04799999999997725,1.5435374027796998,803.247126870534,1606.494253741068
1,1,0.26859531229547,0.048333333333311024,1.5441587493961502,802.9239121203344,1605.8478242406688
1,1,0.27044769375957,0.048666666666643,1.5447826399287987,802.5996356724633,1605.1992713449265
1,1,0.27230007522368,0.04899999999997677,1.545409066501649,802.274304502844,1604.548609005688
1,1,0.27415245668779,0.049333333333310546,1.5460380223724492,801.9479249917923,1603.8958499835846
1,1,0.27600483815189,0.04966666666664252,1.5466695019344494,801.6205029253539,1603.2410058507078
1,1,0.277857219616,0.04999999999997629,1.5473035007155496,801.2920434980182,1602.5840869960364
1,1,0.27970960108011,0.050333333333310075,1.547940015375149,800.962551316641,1601.925102633282
1,1,0.28156198254421,0.050666666666642046,1.54857904369755,800.6320304061607,1601.2640608123213
1,1,0.28341436400832,0.05099999999997582,1.5492205845839495,800.3004842160456,1600.6009684320911
1,1,0.28526674547243,0.05133333333330959,1.5498646380401502,799.9679156289525,1599.935831257905
1,1,0.28711912693653,0.051666666666641575,1.550511205162649,799.6343269702073,1599.2686539404147
1,1,0.28897150840064,0.05199999999997535,1.5511602881215498,799.2997200189058,1598.5994400378115
1,1,0.29082388986475,0.05233333333330912,1.55181189014025,798.9640960206492,1597.9281920412984
1,1,0.29267627132885,0.0526666666666411,1.552466015472649,798.6274557015211,1597.2549114030421
1,1,0.29452865279296,0.05299999999997487,1.5531226693782998,798.2897992830772,1596.5795985661543
1,1,0.29638103425707,0.053333333333308655,1.5537818580937002,797.9511264992719,1595.9022529985439
1,1,0.29823341572117,0.05366666666664063,1.554443588801299,797.6114366144978,1595.2228732289957
1,1,0.30008579718528,0.0539999999999744,1.5551078695969498,797.2707284423556,1594.5414568847111
1,1,0.30193817864939,0.05433333333330818,1.55577470945405,796.9290003660512,1593.8580007321025
1,1,0.30379056011349,0.05466666666664015,1.5564441181857493,796.5862503597026,1593.1725007194052
1,1,0.3056429415776,0.05499999999997394,1.5571161064054497,796.2424760104328,1592.4849520208656
1,1,0.30749532304171,0.055333333333307706,1.5577906854852996,795.8976745413977,1591.7953490827954
1,1,0.30934770450581,0.05566666666663968,1.5584678675135495,795.5518428352971,1591.1036856705941
1,1,0.31120008596992,0.055999999999973446,1.559147665249249,795.20497745914,1590.40995491828
1,1,0.31305246743403,0.05633333333330722,1.5598300920780004,794.8570746883634,1589.7141493767267
1,1,0.31490484889813,0.0566666666666392,1.56051516196455,794.5081305324511,1589.0162610649022
