wavelength_nm,C_m1_n1_l1_Re_pm_per_V,C_m1_n1_l1_Im_pm_per_V,C_m1_n1_l2_Re_pm_per_V,C_m1_n1_l2_Im_pm_per_V,V_m1_n1_l1_Re_pm_per_V,V_m1_n1_l1_Im_pm_per_V,V_m1_n1_l2_Re_pm_per_V,V_m1_n1_l2_Im_pm_per_V,C_m1_n2_l1_Re_pm_per_V,C_m1_n2_l1_Im_pm_per_V,C_m1_n2_l2_Re_pm_per_V,C_m1_n2_l2_Im_pm_per_V,V_m1_n2_l1_Re_pm_per_V,V_m1_n2_l1_Im_pm_per_V,V_m1_n2_l2_Re_pm_per_V,V_m1_n2_l2_Im_pm_per_V,C_m2_n1_l1_Re_pm_per_V,C_m2_n1_l1_Im_pm_per_V,C_m2_n1_l2_Re_pm_per_V,C_m2_n1_l2_Im_pm_per_V,V_m2_n1_l1_Re_pm_per_V,V_m2_n1_l1_Im_pm_per_V,V_m2_n1_l2_Re_pm_per_V,V_m2_n1_l2_Im_pm_per_V,C_m2_n2_l1_Re_pm_per_V,C_m2_n2_l1_Im_pm_per_V,C_m2_n2_l2_Re_pm_per_V,C_m2_n2_l2_Im_pm_per_V,V_m2_n2_l1_Re_pm_per_V,V_m2_n2_l1_Im_pm_per_V,V_m2_n2_l2_Re_pm_per_V,V_m2_n2_l2_Im_pm_per_V
701,108.52672970136284,3.9626360275604915,-2.376157205520244,-2.0309604512424371,-107.90296580243978,-3.9398605389286518,-0.23804547742718327,-0.01128215179253301,-0.78684613061372777,-0.028835460848767768,3.8904303176237014,3.3211107531378445,-2.6375252299639405,-2.2515538610793002,0.44909684251884585,1.3483968528923505,0.033643915710285972,0.0015966171700839392,0.056380869491739746,0.17093864766048777,-0.19433638915714394,-0.0071058366689534377,-0.033658770392067813,-0.0015973221189428427,0.07139969658228873,0.003397565249433329,27.133152296825223,81.899457786863621,1.3911338082659519,1.1892187226859772,-18.509482600863247,-55.869534521555011
702,110.70003714424674,4.12026884045925,-2.1619160413594005,-2.1749027772767731,-110.06378203022982,-4.0965873477651611,-0.2441657811159772,-0.011903890671478033,-0.80271834633184858,-0.029984918147443043,3.5410447535720371,3.5571435381471073,-2.4006585687113344,-2.411572772802371,0.40833133165156704,1.3484944403106423,0.034510656068756675,0.0016846786754338837,0.051189904868596335,0.17090415143535795,-0.19823702043912625,-0.0073887976241683046,-0.034525893439412286,-0.001685422505784778,0.073249581397652322,0.003585170351174637,24.652822235648948,81.902187467812155,1.2659750077205207,1.273758876120672,-16.817470349227015,-55.87139663405376
703,112.95146213758528,4.2874624002181028,-1.9731422114799551,-2.2673216823072555,-112.30226682316015,-4.2628199524948061,-0.25059914314918824,-0.01258157688457991,-0.81916171118998837,-0.031204104561461249,3.233169542647977,3.7090446381596882,-2.1919339366791979,-2.5145544357632881,0.369666342225214,1.34801141089983,0.03542175905932067,0.0017806674225449757,0.046267889418107062,0.170795153218773,-0.20227797675228176,-0.0076889295615253581,-0.035437398706129643,-0.0017814536344755065,0.075194151704258611,0.0037896597947543538,22.300200263991787,81.869258927623434,1.155672507707078,1.3281673678933106,-15.212577007884869,-55.848933698858204
704,115.28560246272168,4.4650451876833488,-1.8083747133787429,-2.3304879445347999,-114.62299153654962,-4.4393820722204467,-0.2573732061961379,-0.013322683873353105,-0.83620981238531822,-0.032499060448307117,2.9644325661186963,3.8131829759511002,-2.0097431510971164,-2.5851552359079686,0.33286242128259264,1.347049441733601,0.036381142601139241,0.0018856425212851581,0.041584354521015832,0.17062460964032494,-0.20646751950015502,-0.008007720828488411,-0.036397205841246408,-0.0018864750825080912,0.077241761320714239,0.0040132885597512222,20.060770837757023,81.806852504141318,1.0593785034126733,1.3654666832133613,-13.684900475969211,-55.806361770724386
705,117.70745060774604,4.6539418645627473,-1.6631952407625004,-2.3760684190815287,-117.03091996386296,-4.6271930541011281,-0.26451927071521381,-0.014136054679520125,-0.85389911800521823,-0.033876527171136379,2.7276264279046507,3.8886109392899115,-1.8491999429793649,-2.6362917786831197,0.29771910599849594,1.34569035462925,0.037393243092209684,0.0020008571939500517,0.037113798646930145,0.17040295031196853,-0.21081461940004076,-0.008346832586683138,-0.037409753201547415,-0.0020017406255090592,0.079401868785820645,0.0042587248034333322,17.922386651288832,81.719943604223587,0.97451330515231915,1.3924787834579639,-12.226154199075109,-55.747074933968761
706,120.22243937434067,4.8551875199798493,-1.5335746759133264,-2.4104285033036863,-119.53145368142862,-4.827282038023478,-0.27207295657922553,-0.015032228115634226,-0.87226930970050365,-0.035344050906197147,2.5161765775600764,3.94572320944682,-1.7058470823383434,-2.675011159620746,0.26406687312721944,1.344001478198066,0.038463109196329101,0.0021278050053830668,0.032834662210743736,0.17013876035284592,-0.21532903844799164,-0.0087081244120090339,-0.038480091679948786,-0.0021287444877703416,0.08168523710377959,0.0045291482458519007,15.874779705551536,81.612628462284164,0.8987235946232911,1.4129255331887349,-10.829333633557344,-55.67386752589443
707,122.83649420491058,5.0699445157998886,-1.4163479664381287,-2.4372491083214243,-122.13048407481504,-5.0408047051080791,-0.28007501884128261,-0.016023862234479536,-0.89136366435851977,-0.03691010538252152,2.3249180289621174,3.9905304981091816,-1.5761829562162939,-2.7053883530633072,0.23176099311694134,1.342039456074132,0.039596517480296571,0.0022682798842007467,0.028728544974447122,0.16983926512224673,-0.22002142396214844,-0.0090936845648435308,-0.039614000393757176,-0.0022692813899755832,0.08410418001316454,0.0048283779009632103,13.909188056247315,81.488355519075512,0.83016066167475444,1.4289590094469775,-9.4884616244669928,-55.589091976967595
708,125.55609344629838,5.2995224996219994,-1.3091037052805286,-2.4587787418519427,-124.83445225617749,-5.2690631756758037,-0.28857236202838782,-0.017126290534576479,-0.91122949364199424,-0.038584237697743239,2.1499155881582919,4.0267043285022055,-1.4575396917849981,-2.7299124757275353,0.20067677219158528,1.3398530102467099,0.040800116193550687,0.0024244549580813802,0.024779600208557375,0.16951068193875132,-0.22490341689049537,-0.009505865952701165,-0.040818130527789785,-0.0024255254192966222,0.086672868174850856,0.0051610398411688222,12.018066859957584,81.350093335506813,0.7674160873491207,1.4418936886021811,-8.1983912892577564,-55.494773356958881
709,128.38833802950643,5.545402300929319,-1.2100018013094789,-2.4764574759610074,-127.65041834349073,-5.513529768053381,-0.29761931266014169,-0.018358261809280147,-0.931918652177118,-0.040377242421602122,1.9881663870536683,4.0565960321227168,-1.3478814884476005,-2.7501776176344745,0.17070581825549602,1.3374849882535595,0.042081605652791447,0.0025989874188691382,0.020974059251078082,0.16915848063183583,-0.22998777704207948,-0.0099473290711668116,-0.042100185798640825,-0.0026001349407983555,0.089407713294002475,0.0055327903479927215,10.19486160199903,81.200455012378953,0.70941525883000389,1.452571326308576,-6.9546513201302318,-55.392694250629575
710,131.34103237465709,5.8092646163065016,-1.1176212369090823,-2.4912450470199352,-130.58614190050349,-5.7758755189208664,-0.3072792311523912,-0.019742938001868604,-0.95348812757780999,-0.042301370585534327,1.8373514325397207,4.0817725571304777,-1.2456361800598725,-2.7672460945096349,0.14175307010233412,1.3349739115831438,0.043449966736626988,0.0027951599578348498,0.017299853296268028,0.16878758059184173,-0.23528852849351661,-0.010421093551131909,-0.043469151050214691,-0.0027963940951469431,0.09232785466750805,0.0059506168748035592,8.4338276835063759,81.04179231970349,0.65532842394571644,1.4615528194610727,-5.7533229113524333,-55.28445897013745
