pathway_1,pathway_2,sum_individual_l2_pm_per_V,summed_l2_pm_per_V,retained_l2_fraction,cancellation_fraction
V_m1_n1_l2,C_m2_n2_l1,30.273273958631123,22.071163297073078,0.729064300320925,0.27093569967907505
C_m2_n1_l1,V_m2_n1_l1,27.493775602234138,21.018769873663576,0.7644919409306445,0.23550805906935546
V_m1_n1_l2,C_m2_n1_l1,26.53683815784464,20.348008719186744,0.7667834652400592,0.23321653475994075
C_m1_n2_l2,V_m2_n1_l1,159.47032220428272,123.86790293612279,0.7767457996193614,0.2232542003806386
V_m1_n1_l2,C_m1_n2_l2,158.51338475989323,127.71347680393609,0.8056952225036956,0.19430477749630437
V_m1_n1_l1,C_m2_n2_l2,16335.9526815321,13218.430812703175,0.8091619185238395,0.19083808147616055
C_m1_n1_l2,C_m1_n2_l1,182.51555407458216,152.50650290763923,0.8355808560037563,0.1644191439962437
C_m2_n1_l2,C_m2_n2_l1,12.734014600477066,10.726524683649096,0.8423521583874451,0.15764784161255485
C_m1_n1_l2,V_m1_n2_l1,173.7961515818852,148.2528463808574,0.8530272105076336,0.14697278949236636
C_m1_n1_l1,V_m2_n2_l2,15537.285296796928,13348.81934666788,0.859147469565986,0.14085253043401402
V_m1_n2_l1,C_m2_n2_l1,98.67758022476494,85.77514859947837,0.8692465745927517,0.13075342540724832
C_m1_n2_l2,V_m2_n2_l2,2017.9087321032853,1763.3196718650615,0.873835195721234,0.12616480427876597
C_m1_n1_l2,C_m2_n1_l2,87.85258595759731,76.98863327126034,0.8763388400248054,0.12366115997519456
C_m1_n2_l1,C_m2_n2_l1,107.39698271746191,94.21468095152221,0.8772563117474216,0.12274368825257842
C_m2_n1_l1,C_m2_n2_l1,10.253157636731425,9.014715420586706,0.8792135788775878,0.12078642112241222
C_m1_n1_l1,C_m2_n2_l2,16414.433381297265,14538.414544411036,0.885709193043253,0.11429080695674698
V_m1_n1_l2,V_m1_n2_l1,114.96126074587816,103.22699452524672,0.8979285183156609,0.1020714816843391
V_m1_n2_l2,V_m2_n1_l2,49.34275951967032,44.40305118047307,0.8998899050786154,0.10011009492138456
C_m1_n1_l2,C_m2_n2_l1,89.10816479463816,80.49135602479346,0.9032994474782047,0.09670055252179532
V_m1_n2_l1,C_m2_n1_l2,97.4220013877241,88.36324595952253,0.9070153014805233,0.09298469851947666
V_m2_n1_l2,V_m2_n2_l1,51.00493251386882,46.4632063947082,0.9109551587402713,0.08904484125972867
V_m1_n1_l2,C_m1_n2_l1,123.68066323857514,112.68243137559168,0.9110755749929291,0.08892442500707087
V_m1_n1_l1,V_m2_n2_l2,15458.804597031763,14127.627281461926,0.913888728768495,0.08611127123150497
C_m1_n2_l1,C_m2_n1_l2,106.14140388042108,97.47643227098986,0.9183638872989359,0.08163611270106408
V_m1_n2_l1,V_m2_n1_l1,115.91819819026766,106.71460415471273,0.9206026820702632,0.07939731792973681
C_m1_n1_l2,C_m2_n1_l1,85.37172899385168,79.31235932469995,0.9290236974164117,0.07097630258358834
C_m1_n2_l1,C_m2_n2_l2,2860.2240950823048,2678.6740668831917,0.9365259426660802,0.06347405733391975
C_m1_n2_l1,V_m2_n1_l1,124.63760068296463,116.85894296097919,0.9375897989101083,0.062410201089891704
V_m1_n2_l1,C_m2_n2_l2,2851.5046925896077,2678.5023761099023,0.9393294645703029,0.06067053542969714
V_m1_n2_l1,C_m2_n1_l1,94.94114442397846,89.90545498132295,0.9469598826387889,0.05304011736121106
C_m2_n1_l2,V_m2_n2_l1,53.48435082478393,50.659176102083016,0.9471775448494035,0.05282245515059647
C_m1_n2_l1,C_m2_n1_l1,103.66054691667543,98.47647086977473,0.9499898833153199,0.05001011668468014
V_m2_n2_l1,V_m2_n2_l2,1930.41895752633,1835.533811579038,0.9508473818197065,0.049152618180293484
V_m1_n2_l2,V_m2_n2_l2,1928.7567845321314,1841.1822616035186,0.9545953519744294,0.04540464802557065
V_m1_n2_l2,C_m2_n1_l2,51.822177830585424,49.79756273386664,0.9609314933977194,0.03906850660228056
C_m1_n1_l2,C_m2_n2_l2,2841.9352771594813,2735.880431159572,0.9626821740620668,0.0373178259379332
C_m1_n2_l2,V_m2_n1_l2,138.49470709082408,133.4435269191451,0.963527991229539,0.03647200877046097
C_m2_n1_l1,V_m2_n2_l1,51.00349386103829,49.209258393093414,0.9648213223816909,0.03517867761830906
