x[nm]                 E_10[eV]              Psi^2_10_cb2[nm^-1/2]
16.15                 2.3390988947366       2.3390997928662
16.2                  2.3390988947366       2.3390998862306
16.25                 2.3390988947366       2.3390999906692
16.3                  2.3390988947366       2.3391001077143
16.35                 2.3390988947366       2.3391002391369
16.4                  2.3390988947366       2.3391003869866
16.45                 2.3390988947366       2.3391005536404
16.5                  2.3390988947366       2.3391007418698
16.55                 2.3390988947366       2.3391009549393
16.6                  2.3390988947366       2.3391011967827
16.65                 2.3390988947366       2.3391014723869
16.7                  2.3390988947366       2.3391017888113
16.75                 2.3390988947366       2.3391021458764
16.8                  2.3390988947366       2.3391025426563
16.85                 2.3390988947366       2.339102988393
16.9                  2.3390988947366       2.3391034911932
16.95                 2.3390988947366       2.3391040592256
17                    2.3390988947366       2.3391047013024
17.05                 2.3390988947366       2.3391054272082
17.1                  2.3390988947366       2.3391062479318
17.15                 2.3390988947366       2.3391071758722
17.2                  2.3390988947366       2.3391082250568
17.25                 2.3390988947366       2.3391094113999
17.3                  2.3390988947366       2.3391107530588
17.35                 2.3390988947366       2.3391122710072
17.4                  2.3390988947366       2.3391139901471
17.45                 2.3390988947366       2.339115941793
17.5                  2.3390988947366       2.3391181697384
17.55                 2.3390988947366       2.3391206593873
17.6                  2.3390988947366       2.3391233899314
17.65                 2.3390988947366       2.3391264039652
17.7                  2.3390988947366       2.3391297320053
17.75                 2.3390988947366       2.339133400119
17.8                  2.3390988947366       2.339137432406
17.85                 2.3390988947366       2.3391418516968
17.9                  2.3390988947366       2.3391466795937
17.95                 2.3390988947366       2.3391519362707
18                    2.3390988947366       2.3391576402257
18.05                 2.3390988947366       2.3391638081103
18.1                  2.3390988947366       2.3391704547597
18.15                 2.3390988947366       2.3391775935727
18.2                  2.3390988947366       2.3391852374373
18.25                 2.3390988947366       2.3391934004654
18.3                  2.3390988947366       2.3392021008911
18.35                 2.3390988947366       2.339211365611
18.4                  2.3390988947366       2.3392212370191
18.45                 2.3390988947366       2.3392317830341
18.5                  2.3390988947366       2.3392431115778
18.55                 2.3390988947366       2.3392554894168
18.6                  2.3390988947366       2.3392691329352
18.65                 2.3390988947366       2.3392840610414
18.7                  2.3390988947366       2.339300317865
18.75                 2.3390988947366       2.3393179677171
18.8                  2.3390988947366       2.3393370917949
18.85                 2.3390988947366       2.3393577860878
18.9                  2.3390988947366       2.3393801601267
18.95                 2.3390988947366       2.3394043363422
19                    2.3390988947366       2.3394304498708
19.05                 2.3390988947366       2.3394586486981
19.1                  2.3390988947366       2.3394890940655
19.15                 2.3390988947366       2.339521961088
19.2                  2.3390988947366       2.33955743955
19.25                 2.3390988947366       2.3395957348579
19.3                  2.3390988947366       2.3396370691372
19.35                 2.3390988947366       2.3396816824713
19.4                  2.3390988947366       2.3397298342839
19.45                 2.3390988947366       2.3397818048729
19.5                  2.3390988947366       2.3398378971136
19.55                 2.3390988947366       2.339898438354
19.6                  2.3390988947366       2.3399637825392
19.65                 2.3390988947366       2.3400343126168
19.7                  2.3390988947366       2.3401104433015
19.75                 2.3390988947366       2.3401926243108
19.8                  2.3390988947366       2.3402813442419
19.85                 2.3390988947366       2.3403771353388
19.9                  2.3390988947366       2.3404805795309
19.95                 2.3390988947366       2.3405923163112
20                    2.3390988947366       2.3407130533238
20.05                 2.3390988947366       2.3408435809777
20.1                  2.3390988947366       2.340984793101
20.15                 2.3390988947366       2.3411377167129
20.2                  2.3390988947366       2.3413035556363
20.25                 2.3390988947366       2.3414837552138
20.3                  2.3390988947366       2.3416800993402
20.35                 2.3390988947366       2.3418948572074
20.4                  2.3390988947366       2.3421310069168
20.45                 2.3390988947366       2.3423947713983
20.5                  2.3390988947366       2.342691800463
20.55                 2.3390988947366       2.3430238901417
20.6                  2.3390988947366       2.3433937213244
20.65                 2.3390988947366       2.3438048350518
20.7                  2.3390988947366       2.3442616412863
20.75                 2.3390988947366       2.3447694549469
20.8                  2.3390988947366       2.3453345546342
20.85                 2.3390988947366       2.3459642587149
20.9                  2.3390988947366       2.3466670091131
20.95                 2.3390988947366       2.3474524416781
21.002630398234       2.3390988947366       2.348381453681
21.058029574601       2.3390988947366       2.3494894437421
21.116343188881       2.3390988947366       2.3508227993142
21.177724563722       2.3390988947366       2.3524430497163
21.242335087763       2.3390988947366       2.3544331151521
21.310344639971       2.3390988947366       2.3569078899048
21.3819320363         2.3390988947366       2.3600393045211
21.457285499847       2.3390988947366       2.3640333339256
21.536603155744       2.3390988947366       2.3689827683734
21.620093552081       2.3390988947366       2.3753106134597
21.707976208241       2.3390988947366       2.3835193969305
21.800482192072       2.3390988947366       2.3942923176787
21.897854727434       2.3390988947366       2.4085949707584
22.000349833698       2.3390988947366       2.4278157014023
22.108236998893       2.3390988947366       2.4539785661354
22.221799888265       2.3390988947366       2.4900824783713
22.34133709011        2.3390988947366       2.5404536988313
22.467162900849       2.3390988947366       2.6147132054159
22.599608151396       2.3390988947366       2.6909182404747
22.739021077007       2.3390988947366       3.1141097910988
22.885768232885       2.3390988947366       2.3405466382082
