wavelength_nm,demo21_chi_real_pm_per_V,demo21_chi_imag_pm_per_V,demo21_chi_abs_pm_per_V,demo21_phase_rad,demo21_phase_deg,hybrid_chi_real_pm_per_V,hybrid_chi_imag_pm_per_V,hybrid_chi_abs_pm_per_V,hybrid_phase_rad,hybrid_phase_deg
428.0,0.5583381491313439,0.0032649275155969544,0.5583476950136868,0.005847514284265554,0.33503788913087856,3.8493678612449296,0.03111458093815765,3.8494936093377685,0.008082860474128173,0.46311379156065585
429.0,0.5637325534587794,0.003315215054345387,0.5637423014818137,0.005880761749213341,0.3369428285518959,3.89897714241192,0.031805341645539734,3.899106863989215,0.008157174316142627,0.46737166106748607
430.0,0.5691824225431287,0.0033663278974442323,0.5691923772289803,0.005914252644594433,0.33886171550934663,3.949415894488054,0.03251522590327235,3.949549739850154,0.008232734197636855,0.47170092337761393
431.0,0.5746884614222175,0.0034182814874578016,0.5746986274041057,0.005947989920632301,0.3407947190385843,4.000704255130684,0.03324492198147478,4.000842381531459,0.008309576184864944,0.4761036449351816
432.0,0.580251386728314,0.0034710916077683985,0.5802617687536212,0.005981976577444185,0.34274201103366486,4.052863052342794,0.033995149943356937,4.053005624381123,0.008387737820729544,0.4805819767900616
433.0,0.5858719269274416,0.0035247743914546357,0.5858825298608793,0.00601621566612569,0.34470376630948923,4.105913835779912,0.03476666346956105,4.106061025817531,0.008467258202926835,0.4851381590752336
434.0,0.591550822564694,0.003579346330439363,0.5915616513915682,0.006050710289864303,0.34668016266560353,4.159878909840368,0.0355602518085947,4.1600308984481575,0.00854817806717321,0.48977452577532243
435.0,0.5972888265157285,0.0036348242849166233,0.5972998863453083,0.006085463605082766,0.34867138095170924,4.214781368661849,0.0363767418635979,4.2149383450968365,0.00863053987590669,0.4944935098088146
436.0,0.6030867042446235,0.0036912254930673524,0.6030980003136163,0.006120478822613125,0.3506776051349313,4.270645133157122,0.03721700042664632,4.270807295872687,0.008714387912891444,0.4992976484484978
437.0,0.6089452340682887,0.0037485675810740734,0.6089567717444259,0.006155759208902609,0.35269902236890993,4.327494990232829,0.03808193657285546,4.327662547424807,0.00879976838419284,0.5041895891069057
438.0,0.6148652074276286,0.003806868573445096,0.6148769922133664,0.006191308087252195,0.3547358230647652,4.385356634347113,0.03897250422772539,4.3855298045387885,0.008886729526033378,0.509172095516007
439.0,0.6208474291656586,0.003866146903659268,0.620859466701997,0.00622712883908906,0.35678820096400304,4.444256711575012,0.03988970492247117,4.44443572424423,0.00897532172008749,0.5142480543331116
440.0,0.6268927178127885,0.003926421425142683,0.6269050138832137,0.006263224905273901,0.35885635321341935,4.504222866364875,0.0408345907535312,4.504407962616866,0.009065597616825771,0.519420482207974
441.0,0.6330019058794925,0.0039877114225892974,0.6330144664140462,0.006299599787444348,0.3609404804420716,4.565283791184912,0.041808267564056575,4.565475224474708,0.009157612267577582,0.524692533349423
442.0,0.6391758401565851,0.004050036623637776,0.6391886712360673,0.006336257049395567,0.363040786840382,4.627469279276278,0.04281189836697495,4.627667316185067,0.00925142326604541,0.5300675076335377
443.0,0.645415382023351,0.004113417210917573,0.645428489883658,0.006373200318499379,0.36515748024144645,4.690810280748336,0.04384670703122209,4.691015201818447,0.00934709090007657,0.5355488592995253
444.0,0.6517214077637552,0.004177873834477554,0.6517347988003614,0.006410433287163054,0.36729077220461787,4.755338962272622,0.044913982254959496,4.7555510629063855,0.009444678314577314,0.5411402062840117
445.0,0.6580948088909992,0.00424342762461126,0.6581084896635859,0.006447959714329212,0.36944087810144377,4.821088770655493,0.04601508185208957,4.821308362083714,0.00954425168654353,0.5468453402495622
446.0,0.6645364924806725,0.004310100205093284,0.6645504697179085,0.006485783427018136,0.3716080172040346,4.888094500594952,0.04715143738116473,4.888321910921347,0.009645880413281334,0.5526682373689267
447.0,0.6710473815127781,0.004377913706841975,0.6710616621172607,0.006523908321913907,0.3737924127759421,4.956392366955653,0.04832455914891017,4.956627942284269,0.009749637315001556,0.5586130699328491
448.0,0.6776284152229068,0.004446890782024299,0.6776430062762661,0.006562338366995934,0.37599429216563973,5.026020081927539,0.049536041624083635,5.02626418758094,0.009855598853095828,0.5646842188563657
449.0,0.6842805494628531,0.004517054618619278,0.6842954582310273,0.0066010776032173,0.37821388690268437,5.097016937468405,0.050787569301333095,5.09726995930521,0.009963845365540642,0.5708862871664637
450.0,0.6910047570709699,0.004588428955457207,0.691019991009659,0.0066401301462316225,0.3804514327966581,5.16942389346951,0.052080923059145995,5.169686239310869,0.010074461321031031,0.57722411456287
451.0,0.697802028252576,0.004661038097752541,0.6978175950128784,0.006679500188170025,0.38270717003898164,5.243283672126385,0.053417987060979374,5.243555773302005,0.010187535593620149,0.5837027931537383
452.0,0.7046733709707438,0.004734906933149156,0.704689278404984,0.006719191999470015,0.38498134330770073,5.318640859045033,0.05480075625430312,5.318923172070576,0.010303161759837347,0.5903276844792619
453.0,0.7116198113477938,0.004810060948297359,0.7116360675155498,0.006759209930757962,0.38727420187534467,5.395542011667153,0.056231344528666245,5.395835020066193,0.010421438420478315,0.5971044379488905
454.0,0.7186423940778517,0.004886526245983091,0.718659007252187,0.006799558414787219,0.38958599971997204,5.474035775657934,0.057711993601127096,5.474339991943173,0.010542469549510594,0.6040390108321433
455.0,0.7257421828508263,0.004964329562830358,0.7257591615247379,0.006840241968433595,0.3919169956395035,5.5541730099666236,0.05924508270558888,5.554488977796832,0.010666364872819937,0.6111376899591775
456.0,0.7329202607881827,0.00504349828759914,0.7329376136812702,0.00688126519475045,0.3942674533694693,5.636006921345231,0.060833139171909065,5.636335217876316,0.010793240279842334,0.6184071153055654
457.0,0.7401777308909012,0.005124060480101805,0.7401954669562677,0.006922632785085385,0.3966376417042872,5.719593209194617,0.06247884999127134,5.719934447645481,0.010923218271488937,0.6258543056565024
458.0,0.7475157165000251,0.005206044890762091,0.747533844931419,0.0069643495212606986,0.39902783462219343,5.80499022170179,0.06418507447643088,5.805345054158189,0.011056428448183286,0.6334866865692805
459.0,0.7549353617702195,0.005289480980841922,0.7549538920094252,0.007006420277820015,0.4014383114139645,5.892259124338724,0.06595485813930084,5.892628244821246,0.01119300804229892,0.6413121208797161
460.0,0.76243783215677,0.00537439894336225,0.7624567739012602,0.00704885002434337,0.4038693568155627,5.981464081912893,0.06779144792422481,5.981848229738508,0.011333102499820913,0.6493389420289012
461.0,0.7700243149164877,0.005460829724745473,0.7700436781273442,0.0070916438278332454,0.4063212611448448,6.072672455495623,0.06969830895350845,6.073072418966056,0.011476866116666574,0.6575759905216934
462.0,0.7776960196229737,0.005548805047208073,0.7777158145330907,0.007134806855174211,0.40879432044248987,6.165955015707704,0.07167914296275105,6.166371636162296,0.011624462735801552,0.6660326538685275
463.0,0.785454178696746,0.005638357431933491,0.7854744158193252,0.007178344375668744,0.41128883661729093,6.261386174016222,0.07373790862769797,6.261820350291941,0.011776066512092103,0.6747189104082215
464.0,0.7933000479507337,0.005729520223056691,0.7933207380880842,0.007222261763652209,0.41380511759598204,6.359044233894548,0.07587884401227882,6.359496927241662,0.01193186275276092,0.6836453774625492
465.0,0.8012349071516607,0.005822327612493039,0.8012560614043163,0.007266564501189715,0.41634347747775696,6.459011663923007,0.07810649139985712,6.459483903431623,0.012092048842380979,0.6928233643344829
466.0,0.8092600605978811,0.005916814665646013,0.8092816903740464,0.0073112581808581,0.41890423669366506,6.561375395165583,0.08042572480730917,6.561868283766072,0.01225683526257753,0.7022649307328146
467.0,0.8173768377142259,0.006013017348029524,0.8173989547395664,0.007356348508616156,0.42148772217106323,6.666227145452457,0.08284178052529205,6.666741866561792,0.01242644671803843,0.7119829512877953
468.0,0.8255865936644623,0.006110972552842409,0.8256092099922526,0.007401841306766359,0.4240942675033104,6.773663773536242,0.08536029107912566,6.774201598432863,0.012601123382095776,0.7219911869177058
469.0,0.8338907099819851,0.006210718129534492,0.8339138380036296,0.007447742517011693,0.42672421312491077,6.883787666478268,0.08798732306446774,6.884349962500336,0.012781122277078422,0.73230436391723
470.0,0.842290595219384,0.006312292913405369,0.842314247675325,0.007494058203611127,0.4293779064923089,6.996707164068774,0.09072941938208007,6.99729540374513,0.012966718806896801,0.742938261768097
471.0,0.850787685617555,0.006415736756278983,0.8508118756085868,0.007540794556637531,0.43205570227055534,7.112537024601806,0.0935936464785051,7.113152795841844,0.01315820846197109,0.7539098108242696
472.0,0.8593834457950595,0.006521090558299235,0.8594081867940633,0.007587957895342018,0.43475796252606846,7.231398936924613,0.09658764729688744,7.232043954413218,0.013355908719726884,0.7652372012023252
