|kp8_i>     |kp8_j>     |<kp8_i|eps.p|kp8_j>|[hbar/nm]     |<kp8_i|eps.p|kp8_j>|^2[hbar^2/nm^2]     Re<kp8_i|eps.p|kp8_j>[hbar/nm]     Im<kp8_i|eps.p|kp8_j>[hbar/nm]
13          10          0.00122102                         4.11552e-07                              0.00106124                         0.000166695
13          11          0.0477453                          0.00062927                               -0.00094707                        0.0131771
13          12          0.165634                           0.00757316                               -0.000243005                       -0.0457221
13          13          2.23258e-15                        1.37591e-30                              -2.23167e-15                       1.76175e-17
13          14          7.55864e-15                        1.57712e-29                              6.89913e-15                        -8.52386e-16
14          1           5.85559e-16                        9.46495e-32                              -2.21678e-16                       1.49609e-16
14          2           5.85373e-16                        9.45892e-32                              -5.03095e-16                       -8.26087e-17
14          3           0.00109582                         3.31476e-07                              0.000887828                        -0.000177307
14          4           0.000358113                        3.54011e-08                              0.000306505                        -5.11235e-05
14          5           8.46747e-16                        1.97917e-31                              -5.76279e-16                       1.71254e-16
14          6           3.89506e-16                        4.18798e-32                              -3.43157e-16                       5.08683e-17
14          7           0.0349657                          0.00033749                               -0.031209                          -0.00435234
14          8           0.00465886                         5.99151e-06                              0.00364266                         0.000801763
14          9           0.00122102                         4.11552e-07                              -0.00121945                        1.7097e-05
14          10          0.0787656                          0.00171258                               0.0353993                          -0.0194231
14          11          0.165634                           0.00757316                               -0.0315909                         0.0448829
14          12          0.0477453                          0.00062927                               -0.0081058                         0.0129884
14          13          7.5586e-15                         1.5771e-29                               6.89914e-15                        8.52359e-16
14          14          6.06609e-15                        1.01577e-29                              6.06595e-15                        1.15681e-17
