wavelength_nm,re_chi2,im_chi2,abs_re_chi2,abs_chi2
647,2.54528,12.5521,2.54528,12.8075
648,2.63271,12.5711,2.63271,12.8438
649,2.72041,12.59,2.72041,12.8806
650,2.80838,12.609,2.80838,12.9179
651,2.89666,12.6279,2.89666,12.9558
652,2.98525,12.6468,2.98525,12.9943
653,3.07416,12.6656,3.07416,13.0334
654,3.16342,12.6844,3.16342,13.073
655,3.25303,12.7032,3.25303,13.1131
656,3.34302,12.722,3.34302,13.1539
657,3.4334,12.7407,3.4334,13.1953
658,3.52419,12.7594,3.52419,13.2372
659,3.61541,12.7781,3.61541,13.2797
660,3.70706,12.7967,3.70706,13.3229
661,3.79917,12.8153,3.79917,13.3666
662,3.89176,12.8339,3.89176,13.411
663,3.98484,12.8524,3.98484,13.456
664,4.07843,12.8709,4.07843,13.5017
665,4.17255,12.8894,4.17255,13.5479
666,4.26723,12.9078,4.26723,13.5949
667,4.36247,12.9262,4.36247,13.6425
668,4.4583,12.9445,4.4583,13.6908
669,4.55474,12.9628,4.55474,13.7397
670,4.6518,12.9811,4.6518,13.7894
671,4.74952,12.9993,4.74952,13.8398
672,4.84792,13.0175,4.84792,13.8909
673,4.947,13.0356,4.947,13.9427
674,5.04681,13.0536,5.04681,13.9953
675,5.14736,13.0716,5.14736,14.0486
676,5.24868,13.0896,5.24868,14.1027
677,5.35079,13.1075,5.35079,14.1576
678,5.45372,13.1254,5.45372,14.2133
679,5.55749,13.1432,5.55749,14.2699
680,5.66214,13.1609,5.66214,14.3272
681,5.7677,13.1786,5.7677,14.3855
682,5.87418,13.1962,5.87418,14.4446
683,5.98164,13.2137,5.98164,14.5046
684,6.09008,13.2312,6.09008,14.5655
685,6.19956,13.2486,6.19956,14.6274
686,6.31011,13.2659,6.31011,14.6902
687,6.42176,13.2832,6.42176,14.754
688,6.53454,13.3003,6.53454,14.8189
689,6.64851,13.3174,6.64851,14.8847
690,6.7637,13.3344,6.7637,14.9517
691,6.88015,13.3512,6.88015,15.0197
692,6.9979,13.368,6.9979,15.0889
693,7.11702,13.3847,7.11702,15.1592
694,7.23753,13.4013,7.23753,15.2308
695,7.35951,13.4177,7.35951,15.3035
696,7.48299,13.4341,7.48299,15.3776
697,7.60804,13.4503,7.60804,15.4529
698,7.73472,13.4664,7.73472,15.5296
699,7.86308,13.4823,7.86308,15.6077
700,7.9932,13.4981,7.9932,15.6872
701,8.12515,13.5137,8.12515,15.7683
702,8.25899,13.5292,8.25899,15.8508
703,8.39481,13.5444,8.39481,15.935
704,8.53269,13.5595,8.53269,16.0208
705,8.67272,13.5744,8.67272,16.1084
706,8.81499,13.5891,8.81499,16.1978
707,8.95959,13.6036,8.95959,16.289
708,9.10664,13.6178,9.10664,16.3821
709,9.25625,13.6317,9.25625,16.4773
710,9.40853,13.6454,9.40853,16.5746
711,9.56361,13.6588,9.56361,16.6741
712,9.72163,13.6718,9.72163,16.7759
713,9.88274,13.6846,9.88274,16.8801
714,10.0471,13.6969,10.0471,16.9868
715,10.2149,13.7089,10.2149,17.0961
716,10.3862,13.7204,10.3862,17.2082
717,10.5614,13.7315,10.5614,17.3233
718,10.7406,13.742,10.7406,17.4414
719,10.924,13.752,10.924,17.5628
720,11.1119,13.7614,11.1119,17.6876
721,11.3046,13.7702,11.3046,17.8161
722,11.5024,13.7782,11.5024,17.9484
723,11.7056,13.7854,11.7056,18.0848
724,11.9145,13.7918,11.9145,18.2255
725,12.1297,13.7971,12.1297,18.3709
726,12.3515,13.8014,12.3515,18.5213
727,12.5804,13.8045,12.5804,18.677
728,12.817,13.8062,12.817,18.8384
729,13.0619,13.8063,13.0619,19.006
730,13.3159,13.8047,13.3159,19.1803
731,13.5796,13.8012,13.5796,19.3618
732,13.8541,13.7953,13.8541,19.5511
733,14.1403,13.7868,14.1403,19.7491
734,14.4395,13.7753,14.4395,19.9564
735,14.753,13.7603,14.753,20.1741
736,15.0824,13.741,15.0824,20.4032
737,15.4296,13.7167,15.4296,20.6451
738,15.7969,13.6863,15.7969,20.9011
739,16.1869,13.6486,16.1869,21.1731
740,16.6029,13.6019,16.6029,21.4631
741,17.0488,13.5437,17.0488,21.7737
742,17.5295,13.4709,17.5295,22.1076
743,18.051,13.3792,18.051,22.4686
744,18.6209,13.2621,18.6209,22.8609
745,19.2491,13.1103,19.2491,23.2896
746,19.9477,12.909,19.9477,23.7604
747,20.732,12.6351,20.732,24.2788
748,21.6189,12.249,21.6189,24.8478
749,22.6209,11.6822,22.6209,25.4593
750,23.7201,10.8151,23.7201,26.0693
