k_per_nm,integration_weight_nm_minus2
0.096323836133547003,5.6795551899935347e-05
0.098176217597653007,5.788777405185657e-05
0.10002859906176,5.8979996203842223e-05
0.10188098052587,6.0072218355653996e-05
0.10373336198997,6.1164440507571012e-05
0.10558574345408001,6.2256662659661838e-05
0.10743812491819001,6.3348884811416603e-05
0.10929050638229,6.4441106963333619e-05
0.1111428878464,6.5533329115433526e-05
0.11299526931051,6.6625551267179427e-05
0.11484765077461,6.7717773419096442e-05
0.11670003223872,6.8809995571205186e-05
0.11855241370283,6.9902217722942508e-05
0.12040479516693001,7.0994439874859266e-05
0.12225717663103999,7.2086662026976602e-05
0.12410955809514999,7.3178884178705345e-05
0.12596193955925,7.427110633062209e-05
0.12781432102335999,7.5363328482748533e-05
0.12966670248747,7.6455550634468196e-05
0.13151908395157,7.7547772786385212e-05
0.13337146541568001,7.863999493852022e-05
0.13522384687979,7.9732217090230424e-05
0.13707622834388999,8.0824439242148049e-05
0.13892860980800001,8.1916661394291893e-05
0.14078099127211,8.3008883545993248e-05
0.14263337273620999,8.4101105697910873e-05
0.14448575420032,8.5193327850063567e-05
0.14633813566442999,8.6285550001756695e-05
0.14819051712853001,8.7377772153673737e-05
0.15004289859264,8.846999430583459e-05
0.15189528005674999,8.9562216457519532e-05
0.15374766152085001,9.0654438609436575e-05
0.15560004298496,9.1746660761606928e-05
0.15745242444907001,9.2838882913282396e-05
0.15930480591317001,9.3931105065198707e-05
0.16115718737727999,9.5023327217378601e-05
0.16300956884139001,9.611554936904522e-05
0.16486195030549,9.7207771520961518e-05
0.16671433176959999,9.8299993673150261e-05
0.16856671323371,9.9392215824808058e-05
0.17041909469781,0.00010048443797672509
0.17227147616192001,0.00010157666012892195
0.17412385762603,0.00010266888228057012
0.17597623909012999,0.00010376110443248791
0.17782862055424001,0.00010485332658469362
0.17968100201834999,0.00010594554873633293
0.18153338348244999,0.00010703777088825075
0.18338576494656,0.00010812999304046531
0.18523814641066999,0.00010922221519209657
0.18709052787477001,0.0001103144373440136
0.18894290933888,0.00011140665949623613
0.19079529080298999,0.00011249888164785941
0.19264767226709001,0.00011359110379977642
0.1945000537312,0.00011468332595200864
0.19635243519531001,0.00011577554810362226
0.19820481665941,0.00011686777025553839
0.20005719812351999,0.00011795999240778032
0.20190957958763001,0.0001190522145593851
0.20376196105173,0.0001201444367113012
0.20561434251583999,0.00012123665886355199
0.20746672397995,0.00012232888101514793
0.20931910544405,0.00012342110316706495
0.21117148690816001,0.00012451332531932368
0.21302386837227,0.00012560554747090982
0.21487624983636999,0.00012669776962282779
0.21672863130048001,0.00012778999177509535
0.21858101276458999,0.00012888221392667263
0.22043339422868999,0.00012997443607859062
0.2222857756928,0.00013106665823086705
0.22413815715690999,0.00013215888038243644
0.22599053862101001,0.00013325110253435346
0.22784292008512,0.0001343433246866387
0.22969530154923001,0.00013543554683819928
0.23154768301333001,0.00013652776899011529
0.23340006447743999,0.00013761999114241037
0.23525244594155001,0.00013871221329396212
0.23710482740565,0.0001398044354458781
0.23895720886975999,0.00014089665759818204
0.24080959033387001,0.00014198887974972496
0.24266197179797,0.00014308110190164089
0.24451435326207999,0.00014417332405395372
0.24636673472619,0.00014526554620548779
0.24821911619029,0.00014635776835740481
0.25007149765440001,0.00014744999050972542
0.25192387911851,0.00014854221266124952
0.25377626058260999,0.00014963443481316654
0.25562864204671998,0.0001507266569654982
0.25748102351083002,0.00015181887911701463
0.25933340497493002,0.00015291110126892935
0.26118578643904,0.0001540033234212676
0.26303816790314999,0.00015509554557277514
0.26489054936724998,0.00015618776772469446
0.26674293083136003,0.00015727998987704163
0.26859531229547001,0.00015837221202853798
0.27044769375957001,0.00015946443418045499
0.27230007522367999,0.00016055665633281092
0.27415245668778998,0.00016164887848430076
