|k|[1/nm]            Band_1[eV]           Band_2[eV]           Band_3[eV]           Band_4[eV]           Band_5[eV]           Band_6[eV]           Band_7[eV]           Band_8[eV]           Band_9[eV]           Band_10[eV]          Band_11[eV]          Band_12[eV]          Band_13[eV]          Band_14[eV]         
0.08891431027712     1.3941947707151      1.3943446237514      1.4171896451162      1.4189318547006      1.4419464927511      1.4420600901325      2.3367712376523      2.3368017926308      2.3451160388173      2.345145962076       2.9567134039801      2.9570616808352      3.0945573845583      3.0951425096976
0.090766691741227    1.3940655582853      1.3942216253632      1.4172195703461      1.4189866384958      1.4418707833178      1.4419918018871      2.3367619071226      2.3367923988964      2.3452794725018      2.345309321024       2.9568936203536      2.957249014118       3.0947069357037      3.0953040652203
0.092619073205333    1.3939358385639      1.3940979055642      1.4172497698559      1.4190411379671      1.4417936360124      1.4419224030488      2.3367541431901      2.336784570455       2.345444406351       2.3454741789283      2.9570775929427      2.957440095134       3.0948596773104      3.0954687998181
0.09447145466944     1.3938059587492      1.393973699557       1.4172802093588      1.4190953159983      1.4417150601859      1.4418519111194      2.3367479456501      2.3367783071113      2.345610838865       2.3456405343002      2.957265319583       2.9576349215566      3.0950156081449      3.0956367120362
0.096323836133547    1.393676335585       1.3938492822928      1.4173108549435      1.4191491358173      1.4416350654742      1.4417803439683      2.3367433142796      2.3367736086518      2.3457787685298      2.3458083856362      2.957456798067       2.9578334910166      3.0951747269475      3.0958078003937
0.098176217597653    1.3935474645476      1.3937249756223      1.4173416730846      1.4192025609917      1.4415536618006      1.4417077198358      2.3367402488382      2.3367704748455      2.3459481938161      2.3459777314183      2.9576520261442      2.9580358011026      3.0953370324321      3.0959820633842
0.10002859906176     1.3934199222779      1.3936011556905      1.4173726306508      1.4192555554227      1.4414708593786      1.4416340573363      2.3367387490673      2.3367689054438      2.3461191131802      2.346148570114       2.957851001521       2.9582418493609      3.0955025232863      3.0961594994757
0.10188098052587     1.3932943541426      1.3934782597002      1.4174036949108      1.4193080833389      1.4413866687153      1.4415593754609      2.3367388146906      2.3367689001803      2.3462915250639      2.3463209001764      2.9580537218613      2.9584516332959      3.0956711981715      3.0963401071106
0.10373336198997     1.3931714358595      1.3933567904481      1.4174348335368      1.4193601092889      1.4413011006142      1.4414836935811      2.3367404454138      2.3367704587708      2.3464654278945      2.3464947200443      2.9582601847863      2.9586651503696      3.0958430557227      3.0965238847056
0.10558574345408     1.393051799332       1.3932373159206      1.4174660146071      1.4194115981331      1.4412141661787      1.4414070314509      2.336743640925       2.3367735809137      2.3466408200847      2.3466700281421      2.9584703878747      2.958882398003       3.096018094549       3.0967108306523
