wavelength_nm,min_detuning_eV,near_mask,off_mask,abs_Im_over_Re,ratio_valid
500,0.67528081747964963,0,1,0.0082825911848023667,1
501,0.67033134848164577,0,1,0.0083328084340440565,1
502,0.66540159848363389,0,1,0.0083834727077196827,1
503,0.66049144987726383,0,1,0.008434590445102046,1
504,0.65560078598758631,0,1,0.0084861682130754797,1
505,0.65072949106380795,0,1,0.0085382127093608495,1
506,0.64587745027016341,0,1,0.0085907307658399761,1
507,0.6410445496768884,0,1,0.0086437293519829716,1
508,0.63623067625130325,0,1,0.0086972155783825167,1
509,0.63143571784900132,0,1,0.0087511967003990176,1
510,0.62665956320513994,0,1,0.0088056801219206452,1
511,0.62190210192583351,0,1,0.0088606733992420885,1
512,0.61716322447964966,0,1,0.0089161842450683568,1
513,0.61244282218920132,0,1,0.0089722205326448999,1
514,0.60774078722284042,0,1,0.0090287903000226388,1
515,0.60305701258644584,0,1,0.0090859017544609958,1
516,0.59839139211530856,0,1,0.0091435632769733786,1
517,0.59374382046611007,0,1,0.0092017834270239837,1
518,0.58911419310899316,0,1,0.0092605709473772106,1
519,0.58450240631972683,0,1,0.0093199347691102132,1
520,0.57990835717195743,0,1,0.00937988401679145,1
521,0.57533194352955386,0,1,0.0094404280138337005,1
522,0.57077306403903671,0,1,0.0095015762880285414,1
523,0.56623161812209721,0,1,0.0095633385772682152,1
524,0.56170750596819907,0,1,0.0096257248354634541,1
525,0.55720062852726882,0,1,0.0096887452386661237,1
526,0.55271088750246333,0,1,0.0097524101914021263,1
527,0.54823818534302715,0,1,0.009816730333226607,1
528,0.54378242523722564,0,1,0.0098817165455082883,1
529,0.53934351110535861,0,1,0.0099473799584539162,1
530,0.53492134759285737,0,1,0.010013731958381096,1
531,0.53051584006345376,0,1,0.010080784195252728,1
532,0.52612689459243178,0,1,0.010148548590480892,1
533,0.52175441795994981,0,1,0.010217037345014975,1
534,0.51739831764444366,0,1,0.010286262947722688,1
535,0.51305850181609847,0,1,0.010356238184080815,1
536,0.50873487933039607,0,1,0.010426976145185035,1
537,0.50442735972173525,0,1,0.010498490237095674,1
538,0.50013585319712162,0,1,0.010570794190533337,1
539,0.49586027062992777,0,1,0.010643902070939204,1
540,0.49160052355372397,0,1,0.010717828288917748,1
541,0.48735652415617459,0,1,0.010792587611078094,1
542,0.48312818527300783,0,1,0.010868195171292054,1
543,0.4789154203820436,0,1,0.010944666482388787,1
544,0.47471814359729692,0,1,0.011022017448304828,1
545,0.47053626966313589,0,1,0.011100264376712712,1
546,0.46636971394851434,0,1,0.011179423992146987,1
547,0.46221839244125862,0,1,0.01125951344965573,1
548,0.45808222174242319,0,1,0.011340550348997515,1
549,0.45396111906070624,0,1,0.011422552749413785,1
550,0.44985500220692254,0,1,0.01150553918500293,1
551,0.44576378958854246,0,1,0.011589528680722742,1
552,0.44168740020428743,0,1,0.011674540769057143,1
553,0.43762575363878176,0,1,0.011760595507374625,1
554,0.43357877005726708,0,1,0.011847713496016219,1
555,0.42954637020037056,0,1,0.01193591589714647,1
556,0.42552847537893035,0,1,0.01202522445440909,1
557,0.42152500746887789,0,1,0.012115661513425149,1
558,0.4175358889061731,0,1,0.012207250043177745,1
559,0.41356104268179639,0,1,0.012300013658331005,1
560,0.40960039233679257,0,1,0.012393976642526229,1
561,0.40565386195736819,0,1,0.012489163972714027,1
562,0.40172137617004111,0,1,0.012585601344569642,1
563,0.39780286013684307,0,1,0.012683315199054732,1
564,0.39389823955057146,0,1,0.012782332750183117,1
565,0.39000744063009218,0,1,0.012882682014057397,1
566,0.38613039011569228,0,1,0.012984391839246238,1
567,0.38226701526448226,0,1,0.013087491938574107,1
568,0.37841724384584685,0,1,0.013192012922402662,1
569,0.37458100413694329,0,1,0.013297986333488733,1
570,0.37075822491824617,0,1,0.013405444683503886,1
571,0.3669488354691417,0,1,0.013514421491315142,1
572,0.36315276556356579,0,1,0.013624951323122197,1
573,0.35936994546568801,0,1,0.013737069834564717,1
574,0.35560030592564251,0,1,0.013850813814908651,1
575,0.35184377817530166,0,1,0.0139662212334395,1
576,0.34810029392409403,0,1,0.014083331288189303,1
577,0.3443697853548664,0,1,0.014202184457140627,1
578,0.3406521851197879,0,1,0.014322822552056025,1
579,0.33694742633629904,0,1,0.014445288775093464,1
580,0.33325544258309803,0,1,0.014569627778380608,1
581,0.32957616789617283,0,1,0.014695885726731082,1
582,0.32590953676487322,0,1,0.014824110363701277,1
583,0.32225548412802008,0,1,0.014954351081200207,1
584,0.31861394537006049,0,1,0.015086658992878524,1
585,0.31498485631725659,0,1,0.015221087011544494,1
586,0.31136815323391609,0,1,0.015357689930867273,1
587,0.30776377281866152,0,1,0.015496524511653826,1
588,0.30417165220073805,0,1,0.015637649573002049,1
589,0.300591728936356,0,1,0.015781126088662271,1
590,0.29702394100507323,0,1,0.015927017288959438,1
591,0.29346822680621498,0,1,0.016075388768661016,1
592,0.28992452515532552,0,1,0.016226308601203797,1
593,0.28639277528066165,0,1,0.016379847459727721,1
594,0.28287291681971682,0,1,0.01653607874540013,1
595,0.27936488981578433,0,1,0.016695078723557053,1
596,0.27586863471454892,0,1,0.016856926668227513,1
597,0.27238409236072192,0,1,0.017021705015660984,1
598,0.26891120399469992,0,1,0.017189499527522949,1
599,0.26544991124926565,0,1,0.017360399464493054,1
600,0.26200015614631633,0,1,0.017534497771051344,1
601,0.25856188109362632,0,1,0.017711891272319348,1
602,0.25513502888164297,0,1,0.017892680883893227,1
603,0.25171954268031316,0,1,0.018076971835695513,1
604,0.24831536603594095,0,1,0.018264873910965575,1
605,0.2449224428680794,0,1,0.018456501701609843,1
606,0.24154071746644856,0,1,0.018651974881257159,1
607,0.23817013448788682,0,1,0.018851418497480954,1
608,0.23481063895333376,0,1,0.019054963284802055,1
609,0.23146217624483834,0,1,0.019262746000238848,1
610,0.22812469210260033,0,1,0.019474909783347469,1
611,0.2247981326220394,0,1,0.019691604542891906,1
612,0.22148244425089159,0,1,0.019912987372501897,1
613,0.21817757378633829,0,1,0.020139222997917702,1
614,0.21488346837215788,0,1,0.020370484258698477,1
615,0.21160007549590976,0,1,0.020606952627571319,1
616,0.20832734298614319,0,1,0.020848818770944525,1
617,0.20506521900963337,0,1,0.021096283154494345,1
618,0.20181365206864665,0,1,0.021349556698162141,1
619,0.1985725909982281,0,1,0.021608861485397472,1
620,0.19534198496352073,0,1,0.021874431532028279,1
