k_per_nm,e1_eV,e2_eV,h1_eV,h2_eV
0.067148828073867003,2.9550099506230998,3.0932611827023502,1.44274962129685,1.4175753877561501
0.069464304904000004,2.9551849603184501,3.0934092333394498,1.4426792394447499,1.4176249917497501
0.071779781734133005,2.9553658679376,3.0935622813680501,1.4426066605096,1.4176752646723498
0.074095258564267005,2.9555526700652504,3.0937203247505503,1.4425319038695501,1.417726130481
0.076410735394400006,2.9557453631779502,3.0938833613838499,1.44245498962095,1.41777751356135
0.078726212224532993,2.9559439436447499,3.0940513890999002,1.4423759385863502,1.41782933881845
0.081041689054666993,2.9561484077267997,3.09422440566575,1.4422947723225501,1.4178815317555999
0.083357165884799994,2.95635875157845,3.0944024087836,1.44221151312915,1.41793401854335
0.085672642714932995,2.9565749712470497,3.0945853960912002,1.4421261840569999,1.4179867260766499
0.087988119545066995,2.9567970626739499,3.0947733651618501,1.442038808917,1.4180395820229501
0.090303596375199996,2.9570250216943998,3.0949663135045,1.441949412289,1.4180925148612
0.092619073205332997,2.9572588440383498,3.0951642385642497,1.4418580195306001,1.4181454539114999
0.094934550035466997,2.9574985253306001,3.0953671377220999,1.44176465678665,1.4181983293577001
0.097250026865599998,2.9577440610912999,3.0955750082954996,1.4416693509981999,1.4182510722617501
0.099565503695732999,2.9579954467365002,3.0957878475383001,1.4415721299116,1.4183036145719998
0.10188098052587,2.9582526775786002,3.0960056526409501,1.4414730220881,1.41835588912485
0.104196457356,2.9585157488266498,3.0962284207312001,1.4413720569129,1.4184078296414
0.10651193418613,2.9587846555870003,3.0964561488732496,1.4412692646042999,1.4184593707185
0.10882741101627,2.9590593928638498,3.0966888340690999,1.4411646762227499,1.4185104478158999
0.1111428878464,2.9593399555593498,3.0969264732579997,1.44105832367985,1.4185609972395001
0.11345836467653,2.95962633306715,3.0971690443259501,1.4409502396027001,1.4186109544621499
0.11577384150667,2.9599185192517501,3.0974165411312002,1.4408404575906499,1.4186602572309002
0.1180893183368,2.9602165149827497,3.0976689824369501,1.44072901231925,1.4187088462042001
0.12040479516693001,2.9605203147612,3.0979263649363,1.4406159391870501,1.41875666084105
0.12272027199707,2.9608299129890501,3.0981886852612499,1.4405012744832999,1.41880364132065
0.12503574882720001,2.9611453039694999,3.0984559399823999,1.4403850553945001,1.4188497285116
0.12735122565733001,2.9614664819077499,3.0987281256095001,1.4402673200099501,1.4188948639409
0.12966670248747,2.9617934409115003,3.0990052385917499,1.4401481073269,1.4189389897624001
0.13198217931760001,2.9621261749916501,3.0992872753176002,1.4400274572543501,1.41898204872495
0.13429765614773001,2.9624646780624504,3.0995742321156001,1.4399054106161,1.4190239841407
0.13661313297787001,2.9628089439426999,3.0998661052543,1.43978200915275,1.41906473985455
0.13892860980800001,2.9631589663557998,3.1001628909424999,1.4396572955214,1.4191042602135
0.14124408663813001,2.9635147389308001,3.1004645853296502,1.4395313132957499,1.4191424900379501
0.14355956346827001,2.9638762552026501,3.1007711845059998,1.43940410696265,1.4191793745940999
0.14587504029840001,2.9642435086129,3.101082684503,1.4392757219181,1.4192148595679499
0.14819051712853001,2.9646164925107001,3.1013990812934003,1.43914620446065,1.4192488910413501
0.15050599395867001,2.9649952001529503,3.1017203707916501,1.43901560178355,1.4192814154705
0.15282147078880001,2.9653796247048501,3.1020465488540996,1.43888396196305,1.4193123796665499
0.15513694761892999,2.96576975924145,3.1023776112794001,1.4387513339461999,1.4193417307792502
0.15745242444907001,2.966165596747,3.1027135538086501,1.4386177675341001,1.4193694162835
0.15976790127919999,2.9665671301166503,3.10305437212575,1.4384833133636001,1.4193953839688001
0.16208337810932999,2.96697435215675,3.1034000618577,1.4383480228852998,1.4194195819328499
0.16439885493947001,2.9673872555853498,3.1037506185749999,1.4382119483387998,1.4194419585781499
0.16671433176959999,2.9678058330332497,3.1041060377915,1.4380751427235501,1.4194624626127501
0.16902980859972999,2.9682300770442001,3.1044663149653999,1.4379376597673001,1.41948104305505
0.17134528542986999,2.9686599800761,3.1048314454988999,1.43779955388985,1.4194976492429499
0.17366076225999999,2.9690955345013501,3.1052014247390503,1.4376608801635,1.4195122308471
0.17597623909012999,2.9695367326077999,3.1055762479775,1.43752169426885,1.4195247378893998
0.17829171592026999,2.9699835665992,3.10595591045145,1.4373820524468,1.4195351207653499
0.18060719275039999,2.9704360285961,3.1063404073434002,1.43724201144605,1.41954333027165
0.18292266958053,2.9708941106364,3.1067297337818003,1.4371016284661,1.4195493176388501
0.18523814641066999,2.9713578046763498,3.1071238848411,1.4369609610961001,1.4195530345687999
0.18755362324079999,2.9718271025909502,3.10752285554255,1.4368200672490499,1.4195544332763501
0.18986910007093,2.9723019961749499,3.1079266408540001,1.43667900509135,1.41955346653755
0.19218457690106999,2.9727824771433999,3.10833523569055,1.4365378329682501,1.4195500877406
0.1945000537312,2.9732685371324501,3.10874863491465,1.436396609325,1.41954425094365
0.19681553056133,2.9737601677001999,3.1091668333367499,1.4362553926233499,1.4195359109357502
0.19913100739146999,2.97425736032725,3.1095898257154504,1.43611424125455,1.4195250233026999
0.2014464842216,2.9747601064177003,3.1100176067575998,1.4359732134479499,1.4195115444973498
0.20376196105173,2.9752683972995499,3.1104501711191501,1.4358323671769999,1.4194954319135
0.20607743788187,2.9757822242260001,3.1108875134053,1.4356917600604999,1.41947664396355
0.208392914712,2.9763015783755504,3.1113296281703997,1.4355514492624502,1.4194551401592999
0.21070839154213,2.9768264508533999,3.1117765099191002,1.4354114913882001,1.4194308811959
0.21302386837227,2.9773568326916999,3.11222815310615,1.4352719423789,1.41940382903825
0.2153393452024,2.9778927148508001,3.1126845521367499,1.4351328574040001,1.4193739470093001
0.21765482203253,2.9784340882195499,3.1131457013672001,1.43499429075245,1.4193411998799998
0.21997029886267,2.9789809436164996,3.1136115951050503,1.43485629572305,1.4193055539606501
0.2222857756928,2.9795332717904,3.1140822276095999,1.4347189245143999,1.4192669771922501
0.22460125252293001,2.9800910634211499,3.114557593092,1.4345822281145999,1.4192254392391499
0.22691672935307,2.9806543091205002,3.1150376857159499,1.4344462561917499,1.4191809115802498
0.2292322061832,2.9812229994328003,3.1155224995979003,1.4343110569854001,1.4191333676000499
0.23154768301333001,2.9817971248360502,3.1160120288073498,1.4341766771991999,1.4190827826785499
0.23386315984347,2.9823766757421497,3.1165062673673498,1.4340431618954499,1.4190291342790999
0.23617863667360001,2.9829616424983998,3.1170052092547502,1.4339105543917001,1.4189724020346501
0.23849411350373001,2.9835520153879003,3.11750884840085,1.4337788961603501,1.4189125678311498
0.24080959033387001,2.9841477846302502,3.1180171786912001,1.4336482267308002,1.4188496158883499
0.24312506716400001,2.9847489403825502,3.11853019396675,1.4335185835950499,1.4187835328373499
0.24544054399413001,2.9853554727402498,3.1190478880236001,1.4333900021167501,1.4187143077947999
0.24775602082427001,2.98596737173765,3.1195702546135,1.4332625154448,1.4186419324326498
0.25007149765440001,2.9865846273491998,3.1200972874446498,1.4331361544304,1.4185664010444001
0.25238697448453001,2.98720722948975,3.1206289801815501,1.4330109475492501,1.4184877106067
0.25470245131467001,2.9878351680158497,3.1211653264457002,1.4328869208285999,1.4184058608356498
0.25701792814480001,2.9884684327261501,3.1217063198155999,1.43276409777915,1.4183208542383001
0.25933340497493002,2.9891070133625002,3.1222519538279001,1.43264249933335,1.4182326961585501
0.26164888180507001,2.9897508996106499,3.122802221977,1.4325221437889,1.4181413948168999
0.26396435863520001,2.9904000811009999,3.1233571177158002,1.4324030467592999,1.4180469613440998
0.26627983546533002,2.9910545474095001,3.1239166344560498,1.4322852211307,1.4179494098073999
0.26859531229547001,2.9917142880585503,3.1244807655689,1.43216867702685,1.41784875723035
0.27091078912560002,2.9923792925174997,3.1250495043847497,1.43205342178085,1.41774502360415
0.27322626595573002,2.9930495502037,3.1256228441943499,1.4319394599162001,1.41763823189115
0.27554174278587001,2.9937250504832997,3.1262007782486498,1.4318267931358,1.4175284080188499
0.27785721961600002,2.9944057826719996,3.1267832997597003,1.43171542032085,1.4174155808661499
0.28017269644613002,2.9950917360360001,3.1273704019004001,1.4316053375386,1.4172997822384001
0.28248817327627002,2.99578289979245,3.1279620778055,1.43149653806115,1.4171810468333499
0.28480365010640002,2.9964792631106496,3.1285583205716998,1.43138901239385,1.4170594121965001
0.28711912693653002,2.9971808151125501,3.1291591232579998,1.4312827483143,1.4169349186660001
0.28943460376667002,2.9978875448740503,3.12976447888625,1.43117773092275,1.41680760930655
0.29175008059680002,2.9985994414249002,3.1303743804415003,1.4310739427026,1.4166775298330501
0.29406555742693002,2.99931649375065,3.1309888208724499,1.4309713635915,1.4165447285232502
0.29638103425707002,3.0000386907924002,3.1316077930916499,1.4308699710631001,1.4164092561203501
0.29869651108720002,3.0007660214482001,3.1322312899762998,1.4307697402189499,1.4162711657253499
0.30101198791733003,3.0014984745738502,3.1328593043680999,1.4306706438895,1.4161305126803501
0.30332746474747002,3.0022360389834502,3.13349182907415,1.43057265274415,1.4159873544424499
0.30564294157760002,3.0029787034502999,3.1341288568671501,1.4304757354092499,1.4158417504506
0.30795841840772997,3.0037264567075499,3.1347703804856502,1.4303798585932999,1.4156937619841998
0.31027389523787002,3.0044792874494002,3.1354163926348,1.4302849872183501,1.41554345201645
0.31258937206800003,3.0052371843315,3.13606688598645,1.4301910845568502,1.41539088506235
0.31490484889812997,3.0060001359717496,3.1367218531795498,1.4300981123716499,1.4152361270225
0.31722032572827003,3.0067681309514498,3.1373812868210003,1.4300060310601501,1.4150792450248499
0.31953580255839997,3.0075411578155498,3.13804517948545,1.4299147997985502,1.4149203072637999
0.32185127938852998,3.0083192050738501,3.1387135237160502,1.4298243766884,1.4147593828398999
0.32416675621867003,3.00910226120165,3.1393863120247003,1.4297347189010501,1.4145965415994499
0.32648223304879997,3.0098903146404501,3.1400635368928,1.4296457828214499,1.4144318539762999
0.32879770987892998,3.01068335379885,3.1407451907709998,1.4295575241888501,1.41426539083645
0.33111318670906997,3.0114813670532001,3.1414312660802501,1.4294698982342,1.4140972233261
0.33342866353919998,3.0122843427483499,3.1421217552119001,1.42938285981255,1.4139274227243499
0.33574414036932998,3.0130922691987001,3.1428166505280499,1.4292963635313001,1.4137560603015
0.33805961719946998,3.01390513468845,3.1435159443620999,1.4292103638715501,1.41358320718285
0.34037509402959998,3.0147229274729996,3.1442196290191502,1.4291248153041001,1.4134089342195999
0.34269057085972998,3.015545635779,3.1449276967762501,1.4290396723980501,1.4132333118658
0.34500604768986998,3.0163732478057499,3.1456401398830498,1.4289548899228501,1.4130564100634
0.34732152451999998,3.0172057517253998,3.1463569505618501,1.42887042294275,1.41287829813435
0.34963700135012998,3.0180431356841,3.1470781210084002,1.4287862269041001,1.4126990446802998
0.35195247818026998,3.0188853878025501,3.1478036433918497,1.4287022577152999,1.4125187174903
