x[nm]                   E_10_real[eV]           Psi_10_y2_real[nm^-1/2] E_10_imag[eV]           Psi_10_y2_imag[nm^-1/2]
9.75                    2.3390988947366         2.3389895253535         2.3390988947366         2.3390057478954
9.8                     2.3390988947366         2.3389933521288         2.3390988947366         2.3390090070528
9.85                    2.3390988947366         2.3389970690757         2.3390988947366         2.3390121726724
9.9                     2.3390988947366         2.3390006741338         2.3390988947366         2.3390152429994
9.95                    2.3390988947366         2.3390041665159         2.3390988947366         2.3390182173635
10                      2.3390988947366         2.3390075463877         2.3390988947366         2.3390210959057
10.05                   2.3390988947366         2.3390108146303         2.3390988947366         2.3390238793764
10.1                    2.3390988947366         2.3390139726622         2.3390988947366         2.3390265689837
10.15                   2.3390988947366         2.3390170223042         2.3390988947366         2.3390291662784
10.2                    2.3390988947366         2.3390199656766         2.3390988947366         2.3390316730663
10.25                   2.3390988947366         2.339022805119          2.3390988947366         2.3390340913398
10.3                    2.3390988947366         2.3390255431279         2.3390988947366         2.3390364232254
10.35                   2.3390988947366         2.339028182308          2.3390988947366         2.3390386709412
10.4                    2.3390988947366         2.3390307253333         2.3390988947366         2.3390408367646
10.45                   2.3390988947366         2.3390331749159         2.3390988947366         2.3390429230055
10.5                    2.3390988947366         2.3390355337821         2.3390988947366         2.3390449319858
10.55                   2.3390988947366         2.3390378046522         2.3390988947366         2.3390468660223
10.6                    2.3390988947366         2.3390399902251         2.3390988947366         2.3390487274135
10.65                   2.3390988947366         2.3390420931657         2.3390988947366         2.3390505184292
10.7                    2.3390988947366         2.339044116095          2.3390988947366         2.3390522413014
10.75                   2.3390988947366         2.3390460615826         2.3390988947366         2.3390538982187
10.8                    2.3390988947366         2.3390479321403         2.3390988947366         2.3390554913203
10.85                   2.3390988947366         2.3390497302178         2.3390988947366         2.3390570226926
10.9                    2.3390988947366         2.339051458199          2.3390988947366         2.3390584943658
10.95                   2.3390988947366         2.3390531183999         2.3390988947366         2.3390599083125
11                      2.3390988947366         2.3390547130668         2.3390988947366         2.3390612664455
11.05                   2.3390988947366         2.3390562443749         2.3390988947366         2.3390625706178
11.1                    2.3390988947366         2.3390577144286         2.3390988947366         2.3390638226213
11.15                   2.3390988947366         2.3390591252607         2.3390988947366         2.3390650241876
11.2                    2.3390988947366         2.3390604788334         2.3390988947366         2.3390661769875
11.25                   2.3390988947366         2.3390617770383         2.3390988947366         2.3390672826323
11.3                    2.3390988947366         2.3390630216979         2.3390988947366         2.339068342674
11.35                   2.3390988947366         2.3390642145658         2.3390988947366         2.3390693586062
11.4                    2.3390988947366         2.3390653573287         2.3390988947366         2.3390703318654
11.45                   2.3390988947366         2.3390664516073         2.3390988947366         2.3390712638318
11.5                    2.3390988947366         2.3390674989574         2.3390988947366         2.3390721558306
11.55                   2.3390988947366         2.3390685008719         2.3390988947366         2.3390730091331
11.6                    2.3390988947366         2.3390694587816         2.3390988947366         2.339073824958
11.65                   2.3390988947366         2.3390703740573         2.3390988947366         2.3390746044726
11.7                    2.3390988947366         2.3390712480105         2.3390988947366         2.3390753487942
11.75                   2.3390988947366         2.3390720818958         2.3390988947366         2.3390760589909
11.8                    2.3390988947366         2.3390728769114         2.3390988947366         2.3390767360834
11.85                   2.3390988947366         2.3390736342011         2.3390988947366         2.3390773810458
11.9                    2.3390988947366         2.3390743548555         2.3390988947366         2.3390779948071
11.95                   2.3390988947366         2.3390750399135         2.3390988947366         2.3390785782518
12                      2.3390988947366         2.3390756903633         2.3390988947366         2.3390791322217
12.05                   2.3390988947366         2.3390763071439         2.3390988947366         2.3390796575164
12.1                    2.3390988947366         2.3390768911462         2.3390988947366         2.3390801548948
12.15                   2.3390988947366         2.3390774432144         2.3390988947366         2.3390806250758
12.2                    2.3390988947366         2.3390779641467         2.3390988947366         2.3390810687393
12.25                   2.3390988947366         2.3390784546967         2.3390988947366         2.339081486527
12.3                    2.3390988947366         2.3390789155745         2.3390988947366         2.3390818790437
12.35                   2.3390988947366         2.3390793474473         2.3390988947366         2.3390822468577
12.4                    2.3390988947366         2.3390797509406         2.3390988947366         2.3390825905016
12.45                   2.3390988947366         2.3390801266388         2.3390988947366         2.3390829104733
12.5                    2.3390988947366         2.3390804750866         2.3390988947366         2.3390832072365
12.55                   2.3390988947366         2.3390807967889         2.3390988947366         2.3390834812214
12.6                    2.3390988947366         2.3390810922123         2.3390988947366         2.3390837328252
12.65                   2.3390988947366         2.3390813617851         2.3390988947366         2.3390839624128
12.7                    2.3390988947366         2.3390816058984         2.3390988947366         2.3390841703172
12.75                   2.3390988947366         2.3390818249065         2.3390988947366         2.3390843568403
12.8                    2.3390988947366         2.3390820191273         2.3390988947366         2.3390845222527
12.85                   2.3390988947366         2.3390821888429         2.3390988947366         2.3390846667947
12.9                    2.3390988947366         2.3390823342998         2.3390988947366         2.3390847906763
12.95                   2.3390988947366         2.3390824557096         2.3390988947366         2.3390848940777
13                      2.3390988947366         2.3390825532491         2.3390988947366         2.3390849771493
13.05                   2.3390988947366         2.3390826270604         2.3390988947366         2.3390850400123
13.1                    2.3390988947366         2.3390826772515         2.3390988947366         2.3390850827587
13.15                   2.3390988947366         2.3390827038962         2.3390988947366         2.3390851054513
13.2                    2.3390988947366         2.3390827070344         2.3390988947366         2.339085108124
13.25                   2.3390988947366         2.339082686672          2.3390988947366         2.3390850907819
13.3                    2.3390988947366         2.339082642781          2.3390988947366         2.3390850534012
13.35                   2.3390988947366         2.3390825752998         2.3390988947366         2.3390849959293
