x[nm]                E_2[eV]              Psi^2_2_hh2[nm^-1/2]
11                   1.3976942530798      1.4351078383548
11.05                1.3976942530798      1.4341757911403
11.1                 1.3976942530798      1.4331531495033
11.15                1.3976942530798      1.4320457274906
11.2                 1.3976942530798      1.4308598211524
11.25                1.3976942530798      1.4296021727477
11.3                 1.3976942530798      1.4282799324122
11.35                1.3976942530798      1.4269006175074
11.4                 1.3976942530798      1.4254720698823
11.45                1.3976942530798      1.4240024112896
11.5                 1.3976942530798      1.422499997211
11.55                1.3976942530798      1.4209733693538
11.6                 1.3976942530798      1.4194312070884
11.65                1.3976942530798      1.4178822781034
11.7                 1.3976942530798      1.4163353885581
11.75                1.3976942530798      1.4147993330171
11.8                 1.3976942530798      1.4132828444504
11.85                1.3976942530798      1.411794544583
11.9                 1.3976942530798      1.4103428948785
11.95                1.3976942530798      1.4089361484324
12                   1.3976942530798      1.4075823030505
12.05                1.3976942530798      1.4062890557795
12.1                 1.3976942530798      1.4050637591459
12.15                1.3976942530798      1.4039133793552
12.2                 1.3976942530798      1.4028444566866
12.25                1.3976942530798      1.4018630683092
12.3                 1.3976942530798      1.4009747937316
12.35                1.3976942530798      1.4001846830804
12.4                 1.3976942530798      1.3994972283889
12.45                1.3976942530798      1.3989163380581
12.5                 1.3976942530798      1.3984453146363
12.55                1.3976942530798      1.3980868360431
12.6                 1.3976942530798      1.3978429403448
12.65                1.3976942530798      1.3977150141667
12.7                 1.3976942530798      1.3977037848104
12.75                1.3976942530798      1.3978093161184
12.8                 1.3976942530798      1.3980310081111
12.85                1.3976942530798      1.3983676003984
12.9                 1.3976942530798      1.3988171793449
12.95                1.3976942530798      1.3993771889495
13                   1.3976942530798      1.4000444453776
13.05                1.3976942530798      1.4008151550619
13.1                 1.3976942530798      1.4016849362697
13.15                1.3976942530798      1.4026488440153
13.2                 1.3976942530798      1.4037013981731
13.25                1.3976942530798      1.4048366146341
13.3                 1.3976942530798      1.4060480393276
13.35                1.3976942530798      1.4073287849146
13.4                 1.3976942530798      1.4086715699446
13.45                1.3976942530798      1.4100687602527
13.5                 1.3976942530798      1.4115124123626
13.55                1.3976942530798      1.4129943186479
13.6                 1.3976942530798      1.4145060539945
13.65                1.3976942530798      1.4160390237009
13.7                 1.3976942530798      1.4175845123411
13.75                1.3976942530798      1.4191337333153
13.8                 1.3976942530798      1.4206778788038
13.85                1.3976942530798      1.422208169843
13.9                 1.3976942530798      1.423715906236
13.95                1.3976942530798      1.4251925160166
14                   1.3976942530798      1.4266296041832
14.05                1.3976942530798      1.4280190004273
14.1                 1.3976942530798      1.4293528055845
14.15                1.3976942530798      1.4306234365433
14.2                 1.3976942530798      1.4318236693582
14.25                1.3976942530798      1.4329466803196
14.3                 1.3976942530798      1.4339860847488
14.35                1.3976942530798      1.4349359732975
14.4                 1.3976942530798      1.4357909455437
14.45                1.3976942530798      1.4365461406953
14.5                 1.3976942530798      1.4371972652248
14.55                1.3976942530798      1.4377406172799
14.6                 1.3976942530798      1.4381731077294
14.65                1.3976942530798      1.4384922777261
14.7                 1.3976942530798      1.4386963126857
14.75                1.3976942530798      1.438784052604
14.8                 1.3976942530798      1.4387549986512
14.85                1.3976942530798      1.4386093160085
14.9                 1.3976942530798      1.4383478329286
14.95                1.3976942530798      1.4379720360268
15                   1.3976942530798      1.4374840618294
15.05                1.3976942530798      1.4368866846266
15.1                 1.3976942530798      1.4361833007001
15.15                1.3976942530798      1.4353779090136
15.2                 1.3976942530798      1.4344750884779
15.25                1.3976942530798      1.4334799719182
15.3                 1.3976942530798      1.4323982168922
15.35                1.3976942530798      1.4312359735251
15.4                 1.3976942530798      1.4299998495442
15.45                1.3976942530798      1.428696872712
15.5                 1.3976942530798      1.4273344508709
15.55                1.3976942530798      1.4259203298273
15.6                 1.3976942530798      1.424462549314
15.65                1.3976942530798      1.4229693972822
15.7                 1.3976942530798      1.4214493627815
15.75                1.3976942530798      1.4199093918405
15.8                 1.3976942530798      1.4183628074207
15.85                1.3976942530798      1.4168298584152
15.9                 1.3976942530798      1.4153281789404
15.95                1.3976942530798      1.4138727328477
16                   1.3976942530798      1.4124758375388
16.05                1.3976942530798      1.4111472547588
16.1                 1.3976942530798      1.4098943357334
16.15                1.3976942530798      1.4087222082234
16.2                 1.3976942530798      1.40763399371
16.25                1.3976942530798      1.4066310438924
16.3                 1.3976942530798      1.4057131868974
16.35                1.3976942530798      1.4048789749728
16.4                 1.3976942530798      1.4041259268964
16.45                1.3976942530798      1.4034507598158
16.5                 1.3976942530798      1.4028496066889
16.55                1.3976942530798      1.4023182168863
16.6                 1.3976942530798      1.4018521388253
16.65                1.3976942530798      1.4014468847187
16.7                 1.3976942530798      1.4010980786485
16.75                1.3976942530798      1.4008021828177
16.8                 1.3976942530798      1.4005544320254
16.85                1.3976942530798      1.4003490345902
16.9                 1.3976942530798      1.4001811889268
16.95                1.3976942530798      1.4000469712997
17                   1.3976942530798      1.3999432440972
