x[nm]                 E_14[eV]              Psi^2_14_lh2[nm^-1/2]
14.25                 3.0911484520155       3.092844601182
14.3                  3.0911484520155       3.0927696294551
14.35                 3.0911484520155       3.0926933167169
14.4                  3.0911484520155       3.0926159561601
14.45                 3.0911484520155       3.0925378450874
14.5                  3.0911484520155       3.0924592837929
14.55                 3.0911484520155       3.0923805744388
14.6                  3.0911484520155       3.0923020199326
14.65                 3.0911484520155       3.0922239228129
14.7                  3.0911484520155       3.0921465841516
14.75                 3.0911484520155       3.0920703024797
14.8                  3.0911484520155       3.0919953727485
14.85                 3.0911484520155       3.0919220853351
14.9                  3.0911484520155       3.0918507251036
14.95                 3.0911484520155       3.0917815705337
15                    3.0911484520155       3.0917148929253
15.05                 3.0911484520155       3.0916509556825
15.1                  3.0911484520155       3.0915900136697
15.15                 3.0911484520155       3.0915323126106
15.2                  3.0911484520155       3.0914780884612
15.25                 3.0911484520155       3.091427566619
15.3                  3.0911484520155       3.0913809607219
15.35                 3.0911484520155       3.0913384706081
15.4                  3.0911484520155       3.0913002787394
15.45                 3.0911484520155       3.0912665439991
15.5                  3.0911484520155       3.0912373912705
15.55                 3.0911484520155       3.0912128946691
15.6                  3.0911484520155       3.0911930520819
15.65                 3.0911484520155       3.0911777497257
15.7                  3.0911484520155       3.0911667202378
15.75                 3.0911484520155       3.0911588190245
15.8                  3.0911484520155       3.0911533265625
15.85                 3.0911484520155       3.0911501024878
15.9                  3.0911484520155       3.0911486840597
15.95                 3.0911484520155       3.0911484847259
16                    3.0911484520155       3.0911489289966
16.05                 3.0911484520155       3.0911495353706
16.1                  3.0911484520155       3.0911499612257
16.15                 3.0911484520155       3.0911500222344
16.2                  3.0911484520155       3.0911496963807
16.25                 3.0911484520155       3.091149120095
16.3                  3.0911484520155       3.0911485818362
16.35                 3.0911484520155       3.0911485166844
16.4                  3.0911484520155       3.0911495040409
16.45                 3.0911484520155       3.0911522689358
16.5                  3.0911484520155       3.0911576845726
16.55                 3.0911484520155       3.0911667661455
16.6                  3.0911484520155       3.0911806223221
16.65                 3.0911484520155       3.091200251781
16.7                  3.0911484520155       3.0912257954871
16.75                 3.0911484520155       3.091259248443
16.8                  3.0911484520155       3.0913031304124
16.85                 3.0911484520155       3.0913567637434
16.9                  3.0911484520155       3.0914199666425
16.95                 3.0911484520155       3.0914928502764
17                    3.0911484520155       3.0915757054788
17.05                 3.0911484520155       3.0916689403946
17.1                  3.0911484520155       3.0917730480209
17.15                 3.0911484520155       3.0918885885954
17.2                  3.0911484520155       3.0920161749893
17.25                 3.0911484520155       3.0921564469734
17.3                  3.0911484520155       3.0923100064897
17.35                 3.0911484520155       3.0924772452012
17.4                  3.0911484520155       3.0926578858005
17.45                 3.0911484520155       3.0928497713527
17.5                  3.0911484520155       3.0930457022591
17.55                 3.0911484520155       3.0932510779742
17.6                  3.0911484520155       3.0934689580488
17.65                 3.0911484520155       3.0936864882615
17.7                  3.0911484520155       3.0938968454895
17.75                 3.0911484520155       3.0940953581818
17.8                  3.0911484520155       3.0942781467317
17.85                 3.0911484520155       3.0944416218982
17.9                  3.0911484520155       3.0945823106409
