wavelength_nm,min_detuning_eV,near_mask,off_mask,abs_Im_over_Re,ratio_valid
700,6.1250076035301859e-05,1,0,3.5052001488056437,1
701,1.7849797029567682e-05,1,0,2.9422373730633442,1
702,0.00033343521017292765,1,0,3.0750122887957292,1
703,0.00025317434997385035,1,0,4.4342639898720728,1
704,8.2542986332256874e-05,1,0,6.4618745196954492,1
705,4.0280747412246853e-05,1,0,6.1499577433275254,1
706,0.00011309435032003101,1,0,5.0632623790328566,1
707,4.8837845163074434e-05,1,0,5.1292946756899909,1
708,0.000310259124052914,1,0,7.0301970417716717,1
709,0.00034974733586867757,1,0,13.620102354391426,1
710,0.00012132291464173051,1,0,38.878618210931442,1
711,8.578449343565886e-05,1,0,115.23369541950056,1
712,6.5073296704687422e-05,1,0,101.06700147973073,1
713,5.6476781855607783e-06,1,0,69.60046283542178,1
714,6.1996453978752086e-05,1,0,74.115608127387716,1
715,0.00010344250898208784,1,0,188.66411061364082,1
716,3.8218934236722291e-05,1,0,115.71625803377361,1
717,4.9095436028823158e-05,1,0,38.236520235239674,1
718,0.0001147301178636706,1,0,21.766348258363625,1
719,0.0001081219194356553,1,0,14.643306144415495,1
720,6.5611512155117069e-05,1,0,10.517556925956409,1
721,4.1082165902484036e-06,1,0,7.7841758498818807,1
722,7.7229192955385884e-05,1,0,5.9902702626011415,1
723,0.00011788564444703553,1,0,5.0116015246688832,1
724,5.3770797195484832e-05,1,0,4.8097340254056427,1
725,3.1755366941554897e-05,1,0,5.1842793187889438,1
726,0.0001023354247411401,1,0,4.9122254832423335,1
727,0.0001029498754947511,1,0,3.7692150547238708,1
728,0.00027406391159834342,1,0,3.7166415959865544,1
729,9.1869582242054548e-05,1,0,3.9433672684259413,1
730,3.9121229221228404e-05,1,0,3.2857620099436353,1
731,0.00012118402582594889,1,0,3.5641209353835936,1
732,0.00015914409344275349,1,0,3.0756762901297479,1
733,2.8812443009895716e-05,1,0,3.0472728107444405,1
734,0.00012865306442355617,1,0,2.9955140478806506,1
735,4.2451570129165006e-05,1,0,2.7862791574463737,1
736,3.2881980528198795e-05,1,0,2.638202796744197,1
737,8.4363962484568233e-05,1,0,2.5417642151959146,1
738,7.2297070383031681e-05,1,0,2.4245815627668237,1
739,0.00012074162786746001,1,0,2.2081805923055859,1
740,3.0538211960084993e-05,1,0,2.0436525896935787,1
741,0.00013530726378929714,1,0,2.0056729087146574,1
742,2.4926571736694214e-05,1,0,1.9610187543537754,1
743,5.1075355737895123e-05,1,0,1.911647259057963,1
744,1.3802328392431562e-05,1,0,1.8419086949456067,1
745,6.8065832631081236e-05,1,0,1.7683179589829523,1
746,3.9466533358734068e-05,1,0,1.6864707585436891,1
747,1.5034262059954173e-05,1,0,1.5985645962991371,1
748,6.5608499261182729e-05,1,0,1.4981505274077547,1
749,1.5754531441425357e-05,1,0,1.3771063499199148,1
750,4.9692508266918622e-05,1,0,1.2302531645350261,1
751,4.7806947420347967e-05,1,0,1.0316638831407248,1
752,6.070521091805503e-06,1,0,0.58185423329176811,1
