mode,context,wavelength_nm,entry,group,real_pm_per_V,imag_pm_per_V,abs_pm_per_V
23B,1550_nm,1550.0,V_m2_n2_l1,heavy_hole_side_signed,1.344278396597918,-0.0827877470529665,1.3468252368521965
23B,1550_nm,1550.0,V_m2_n2_l2,heavy_hole_side_signed,-52.95858415166369,3.2446537409103007,53.05788738017419
23B,1550_nm,1550.0,electron_side_subtotal,subtotal,-25.544840008150686,-680.4798900185336,680.9591908262033
23B,1550_nm,1550.0,heavy_hole_side_subtotal_signed,subtotal,51.320734943988825,681.3327687836811,683.2628774151484
23B,1550_nm,1550.0,final_electron_minus_heavy_hole,final,25.775894935838245,0.852878765147907,25.790001200686515
23B,mode_spectral_peak,1502.0,C_m1_n1_l1,electron_side,-387.9424517144672,-642.0349219819979,750.1387784181417
23B,mode_spectral_peak,1502.0,C_m1_n1_l2,electron_side,2.2936608400917833,3.9180489251779504,4.5400426682420765
23B,mode_spectral_peak,1502.0,V_m1_n1_l1,heavy_hole_side_signed,385.7127291668049,638.3447876963497,745.8273107230673
23B,mode_spectral_peak,1502.0,V_m1_n1_l2,heavy_hole_side_signed,0.6560610682690161,1.1007161822436522,1.2814024501113315
23B,mode_spectral_peak,1502.0,C_m1_n2_l1,electron_side,-1.931535172258728,5.817388448497126,6.129668545882423
23B,mode_spectral_peak,1502.0,C_m1_n2_l2,electron_side,2.7182144005502944,-7.756845257382202,8.219327093766967
23B,mode_spectral_peak,1502.0,V_m1_n2_l1,heavy_hole_side_signed,-1.8428190396896242,5.258769185144569,5.572309696675936
23B,mode_spectral_peak,1502.0,V_m1_n2_l2,heavy_hole_side_signed,0.9383117203982583,-2.6292727181221895,2.7916847800026394
23B,mode_spectral_peak,1502.0,C_m2_n1_l1,electron_side,-0.0580003612080543,-0.1722113085845622,0.18171619824515395
23B,mode_spectral_peak,1502.0,C_m2_n1_l2,electron_side,-0.09802941924290696,-0.3064135849933027,0.3217126856459806
23B,mode_spectral_peak,1502.0,V_m2_n1_l1,heavy_hole_side_signed,0.440286414453582,1.2766585821917693,1.3504478006336602
23B,mode_spectral_peak,1502.0,V_m2_n1_l2,heavy_hole_side_signed,0.058025969907005946,0.17228734444823188,0.18179643076989288
23B,mode_spectral_peak,1502.0,C_m2_n2_l1,electron_side,0.47171530370379466,-0.31160613615060306,0.5653438881203824
23B,mode_spectral_peak,1502.0,C_m2_n2_l2,electron_side,185.69473999159356,-120.8862853956593,221.57624073286001
23B,mode_spectral_peak,1502.0,V_m2_n2_l1,heavy_hole_side_signed,3.223730123131901,-2.1100586804133683,3.8528928795874697
23B,mode_spectral_peak,1502.0,V_m2_n2_l2,heavy_hole_side_signed,-126.67579208437171,82.46526506526683,151.15315492072168
23B,mode_spectral_peak,1502.0,electron_side_subtotal,subtotal,-198.85168613123744,-761.7328462910928,787.2603903385243
23B,mode_spectral_peak,1502.0,heavy_hole_side_subtotal_signed,subtotal,262.5105333389033,723.8791526571092,770.0083166858977
23B,mode_spectral_peak,1502.0,final_electron_minus_heavy_hole,final,63.658847207665666,-37.85369363398363,74.06315514170603
23C,1550_nm,1550.0,C_m1_n1_l1,electron_side,-99.32229798354565,-732.5092106202093,739.2121904569582
23C,1550_nm,1550.0,C_m1_n1_l2,electron_side,0.52626033893228,4.425320677324749,4.456502332714647
23C,1550_nm,1550.0,V_m1_n1_l1,heavy_hole_side_signed,98.75143710889569,728.2990699251857,734.9635239826277
23C,1550_nm,1550.0,V_m1_n1_l2,heavy_hole_side_signed,0.1713854222087606,1.2512037887427758,1.2628871223945362
23C,1550_nm,1550.0,C_m1_n2_l1,electron_side,-4.473465761081314,0.5921780743656698,4.512490530441727
23C,1550_nm,1550.0,C_m1_n2_l2,electron_side,6.016823131388562,-0.784105290306484,6.067699869035966
23C,1550_nm,1550.0,V_m1_n2_l1,heavy_hole_side_signed,-4.079117608501772,0.5315857931609886,4.113609597358482
