k_per_nm,DeltaE_11,DeltaE_12,DeltaE_21,DeltaE_22
0.411228685031875,1.6470442293196463,1.6820582495176464,1.7669089493896466,1.8019229695876466
0.41308106649598253,1.6484319562180103,1.6834459764160103,1.7682966762880106,1.8033106964860106
0.4149334479600901,1.649825920091198,1.684839940289198,1.7696906401611983,1.8047046603591983
0.4167858294241976,1.6512261209392103,1.6862401411372103,1.7710908410092105,1.8061048612072106
0.41863821088830516,1.6526325587620463,1.6876465789600463,1.7724972788320466,1.8075112990300466
0.4204905923524127,1.6540452335597065,1.6890592537577065,1.7739099536297067,1.8089239738277068
0.42234297381652025,1.6554641453321908,1.6904781655301908,1.775328865402191,1.810342885600191
0.4241953552806278,1.6568892940794993,1.6919033142774993,1.7767540141494995,1.8117680343474996
0.42604773674473534,1.658320679801632,1.693334699999632,1.7781853998716322,1.8131994200696322
0.4279001182088429,1.6597583024985887,1.6947723226965887,1.779623022568589,1.814637042766589
0.4297524996729504,1.6612021621703696,1.6962161823683697,1.78106688224037,1.81608090243837
0.43160488113705797,1.6626522588169743,1.6976662790149744,1.7825169788869746,1.8175309990849746
0.4334572626011655,1.6641085924384031,1.6991226126364032,1.7839733125084039,1.818987332706404
0.43530964406527306,1.6655711630346566,1.7005851832326566,1.7854358831046568,1.8204499033026569
0.4371620255293806,1.6670399706057337,1.7020539908037338,1.786904690675734,1.821918710873734
0.43901440699348815,1.668515015151635,1.703529035349635,1.7883797352216353,1.8233937554196353
0.4408667884575957,1.6699962966723605,1.7050103168703605,1.7898610167423608,1.8248750369403608
0.44271916992170324,1.6714838151679101,1.7064978353659102,1.7913485352379104,1.8263625554359104
0.4445715513858108,1.6729775706382835,1.7079915908362835,1.7928422907082837,1.8278563109062838
0.4464239328499183,1.6744775630834814,1.7094915832814814,1.7943422831534817,1.8293563033514817
0.44827631431402587,1.6759837925035035,1.7109978127015035,1.7958485125735033,1.8308625327715033
0.4501286957781334,1.6774962588983493,1.7125102790963493,1.7973609789683496,1.8323749991663496
0.45198107724224096,1.6790149622680193,1.7140289824660193,1.7988796823380195,1.8338937025360196
0.4538334587063485,1.6805399026125134,1.7155539228105134,1.8004046226825137,1.8354186428805137
0.45568584017045605,1.6820710799318317,1.7170851001298317,1.801935800001832,1.836949820199832
0.4575382216345636,1.6836084942259741,1.7186225144239742,1.8034732142959744,1.8384872344939744
0.45939060309867114,1.6851521454949407,1.7201661656929408,1.805016865564941,1.840030885762941
0.4612429845627787,1.686702033738731,1.721716053936731,1.8065667538087313,1.8415807740067314
0.4630953660268862,1.688258158957346,1.723272179155346,1.8081228790273463,1.8431368992253463
0.46494774749099377,1.6898205211507846,1.7248345413487847,1.809685241220785,1.844699261418785
0.4668001289551013,1.6913891203190479,1.726403140517048,1.8112538403890481,1.8462678605870482
0.46865251041920886,1.6929639564621348,1.7279779766601349,1.812828676532135,1.8478426967301351
0.4705048918833164,1.694545029580046,1.729559049778046,1.8144097496500462,1.8494237698480462
0.47235727334742394,1.6961323396727812,1.7311463598707812,1.8159970597427815,1.8510110799407815
0.4742096548115315,1.6977258867403406,1.7327399069383407,1.817590606810341,1.852604627008341
0.47606203627563903,1.6993256707827238,1.7343396909807238,1.8191903908527245,1.8542044110507245
0.4779144177397466,1.7009316917999315,1.7359457119979316,1.8207964118699318,1.8558104320679318
0.4797667992038541,1.7025439497919634,1.7375579699899635,1.8224086698619637,1.8574226900599637
0.48161918066796167,1.704162444758819,1.739176464956819,1.8240271648288193,1.8590411850268194
0.4834715621320692,1.7057871767004988,1.7408011968984989,1.825651896770499,1.8606659169684991
0.48532394359617675,1.7074181456170028,1.7424321658150028,1.827282865687003,1.862296885885003
0.4871763250602843,1.7090553515083309,1.744069371706331,1.8289200715783311,1.8639340917763312
0.48902870652439184,1.7106987943744831,1.7457128145724832,1.8305635144444834,1.8655775346424834
0.4908810879884994,1.7123484742154595,1.7473624944134596,1.8322131942854598,1.8672272144834599
0.49273346945260693,1.7140043910312601,1.7490184112292602,1.8338691111012604,1.8688831312992604
0.4945858509167145,1.7156665448218844,1.7506805650198844,1.8355312648918847,1.8705452850898847
0.496438232380822,1.7173349355873333,1.7523489557853333,1.8371996556573336,1.8722136758553336
0.49829061384492956,1.719009563327606,1.754023583525606,1.8388742833976062,1.8738883035956062
0.5001429953090372,1.7206904280427027,1.7557044482407027,1.840555148112703,1.875569168310703
0.5019953767731447,1.7223775297326236,1.7573915499306236,1.8422422498026239,1.877256270000624
0.5038477582372523,1.7240708683973687,1.7590848885953687,1.843935588467369,1.878949608665369
0.5057001397013597,1.725770444036938,1.760784464234938,1.8456351641069382,1.8806491843049382
0.5075525211654673,1.7274762566513313,1.7624902768493313,1.8473409767213316,1.8823549969193316
0.5094049026295748,1.7291883062405489,1.764202326438549,1.8490530263105491,1.8840670465085492
0.5112572840936824,1.7309065928045901,1.7659206130025902,1.8507713128745904,1.8857853330725904
0.5131096655577899,1.7326311163434556,1.7676451365414556,1.8524958364134563,1.8875098566114563
0.5149620470218975,1.7343618768571456,1.7693758970551456,1.8542265969271459,1.889240617125146
0.516814428486005,1.7360988743456593,1.7711128945436594,1.8559635944156596,1.8909776146136597
0.5186668099501126,1.7378421088089973,1.7728561290069973,1.8577068288789975,1.8927208490769976
0.5205191914142201,1.7395915802471593,1.7746056004451594,1.8594563003171596,1.8944703205151596
0.5223715728783277,1.7413472886601455,1.7763613088581456,1.8612120087301458,1.8962260289281458
0.5242239543424352,1.7431092340479555,1.7781232542459555,1.8629739541179557,1.8979879743159558
0.5260763358065428,1.74487741641059,1.77989143660859,1.8647421364805903,1.8997561566785903
0.5279287172706503,1.7466518357480487,1.7816658559460488,1.8665165558180485,1.9015305760160486
0.5297810987347579,1.7484324920603311,1.7834465122583312,1.8682972121303314,1.9033112323283314
0.5316334801988654,1.7502193853474377,1.7852334055454377,1.870084105417438,1.905098125615438
0.533485861662973,1.7520125156093684,1.7870265358073685,1.8718772356793687,1.9068912558773687
0.5353382431270804,1.7538118828461233,1.7888259030441234,1.8736766029161236,1.9086906231141236
0.537190624591188,1.7556174870577024,1.7906315072557024,1.8754822071277026,1.9104962273257027
0.5390430060552955,1.7574293282441056,1.7924433484421056,1.8772940483141058,1.9123080685121059
0.5408953875194031,1.759247406405333,1.794261426603333,1.8791121264753328,1.9141261466733328
