wavelength_nm,production,radial_kdk,bare_2pi_kdk,equal_points,k0_only
583.0,0.030476670216040957,0.030476670216041304,0.030476670216041016,0.012850589071628551,0.0031935368001756253
584.0,0.03085655536464221,0.0308565553646423,0.03085655536464241,0.013002876130096017,0.003227315065679053
585.0,0.03124300698377938,0.031243006983779544,0.031243006983779516,0.01315762577141644,0.003261552520240862
586.0,0.03163618736923803,0.03163618736923834,0.031636187369238095,0.01331489479268134,0.003296257680448959
587.0,0.03203626424650079,0.03203626424650124,0.03203626424650074,0.013474741773311694,0.0033314392708113033
588.0,0.03244341100323207,0.03244341100323237,0.032443411003232545,0.01363722714718313,0.003367106230109319
589.0,0.032857806934002684,0.032857806934002975,0.032857806934002906,0.013802413278370774,0.0034032677179853784
590.0,0.033279637498013125,0.03327963749801331,0.03327963749801342,0.013970364540729717,0.0034399331217741776
591.0,0.03370909459065338,0.03370909459065351,0.033709094590653674,0.014141147401544289,0.003477112063588972
592.0,0.03414637682977608,0.03414637682977597,0.03414637682977614,0.014314830509500148,0.003514814407673511
593.0,0.03459168985763863,0.03459168985763872,0.0345916898576388,0.014491484787243714,0.003553050268031537
594.0,0.03504524665954314,0.03504524665954329,0.03504524665954334,0.014671183528821777,0.0035918300163460524
595.0,0.035507267900270784,0.03550726790027106,0.03550726790027089,0.014854002502308646,0.0036311642902012386
596.0,0.035977982279507235,0.035977982279507464,0.035977982279507506,0.01504002005795416,0.0036710640016208453
597.0,0.036457626907531265,0.03645762690753158,0.036457626907531626,0.01522931724221324,0.0037115403459368587
598.0,0.03694644770256072,0.036946447702561114,0.036946447702560954,0.015421977918040066,0.0037526048110039425
599.0,0.03744469981123828,0.037444699811238345,0.03744469981123814,0.015618088891864852,0.003794269186775036
600.0,0.03795264805387675,0.037952648053877006,0.0379526480538769,0.015817740047699463,0.0038365455752552916
601.0,0.03847056739621135,0.03847056739621148,0.038470567396211436,0.016021024488858948,0.003879446400850914
602.0,0.0389987434495396,0.038998743449539935,0.03899874344953965,0.016228038687818136,0.0039229844211325525
603.0,0.039537473001307395,0.03953747300130764,0.03953747300130741,0.01643888264476979,0.003967172738031535
604.0,0.04008706457835283,0.04008706457835318,0.04008706457835295,0.01665366005549637,0.0040120248094903
605.0,0.0406478390452232,0.04064783904522344,0.040647839045223545,0.016872478489216813,0.004057554461587885
606.0,0.041220130240182,0.0412201302401821,0.041220130240182194,0.01709544957712501,0.004103775901163847
607.0,0.0418042856517518,0.04180428565175194,0.04180428565175192,0.017322689212401963,0.004150703728964278
608.0,0.04240066713889843,0.04240066713889884,0.042400667138898715,0.01755431776254246,0.00419835295333537
609.0,0.04300965169822957,0.043009651698230206,0.043009651698229824,0.017790460294920867,0.004246739004491168
610.0,0.04363163228189697,0.04363163228189726,0.04363163228189714,0.01803124681659489,0.004295877749384105
611.0,0.044267018670223326,0.04426701867022359,0.04426701867022347,0.018276812529437123,0.0043457855072078794
612.0,0.04491623840345753,0.04491623840345782,0.04491623840345816,0.018527298101785373,0.0043964790655643075
613.0,0.04557973777747007,0.04557973777747034,0.04557973777747025,0.01878284995790942,0.004447975697327641
614.0,0.046257982908662634,0.04625798290866275,0.046257982908662676,0.0190436205867147,0.00450029317824164
615.0,0.04695146087388597,0.046951460873886346,0.046951460873886096,0.019309768871237407,0.004553449805286757
616.0,0.047660680931713495,0.04766068093171335,0.04766068093171358,0.019581460440631183,0.004607464415856952
617.0,0.048386175832061624,0.04838617583206201,0.04838617583206192,0.019858868046518367,0.004662356407788048
618.0,0.049128503221861186,0.049128503221861256,0.049128503221861276,0.02014217196575305,0.004718145760282451
619.0,0.049888247155245445,0.04988824715524568,0.049888247155245403,0.020431560431856937,0.004774853055776303
620.0,0.05066601971764035,0.05066601971764089,0.05066601971764075,0.020727230097611987,0.00483249950280026
621.0,0.05146246277409642,0.05146246277409663,0.051462462774096815,0.02102938653155819,0.004891106959885938
622.0,0.05227824985333117,0.05227824985333136,0.05227824985333135,0.021338244751415887,0.004950697960574469
623.0,0.05311408818018762,0.053114088180187834,0.0531140881801877,0.021654029797795696,0.005011295739587081
624.0,0.053970720870621595,0.05397072087062179,0.05397072087062156,0.021976977351900965,0.0050729242602207646
625.0,0.05484892930490595,0.05484892930490646,0.05484892930490606,0.022307334401346128,0.005135608243036816
626.0,0.055749535696534805,0.055749535696535006,0.05574953569653536,0.02264535995866822,0.00519937319591359
627.0,0.05667340587632324,0.05667340587632345,0.05667340587632361,0.02299132583763163,0.005264245445539559
628.0,0.057621452313500736,0.05762145231350102,0.057621452313500826,0.023345517493009327,0.005330252170428563
629.0,0.05859463739819858,0.05859463739819903,0.05859463739819892,0.023708234930189427,0.005397421435542732
630.0,0.05959397701269292,0.05959397701269312,0.059593977012693436,0.024079793691718438,0.005465782228615677
631.0,0.060620544422161804,0.06062054442216226,0.06062054442216241,0.024460525928748877,0.005535364498273951
632.0,0.06167547451957624,0.06167547451957662,0.061675474519576806,0.0248507815663439,0.005606199194061445
633.0,0.06275996846378391,0.06275996846378423,0.06275996846378404,0.025250929572721636,0.0056783183084780945
634.0,0.06387529875494478,0.0638752987549449,0.06387529875494503,0.02566135934380957,0.005751754921152718
635.0,0.06502281479734219,0.06502281479734248,0.0650228147973425,0.026082482215964615,0.005826543245276461
636.0,0.0662039490063645,0.066203949006365,0.06620394900636478,0.026514733121428134,0.005902718676433724
637.0,0.06742022352430242,0.06742022352430263,0.06742022352430276,0.026958572403059447,0.005980317843975472
638.0,0.06867325761869762,0.06867325761869825,0.06867325761869855,0.027414487807185015,0.0060593786650911564
639.0,0.06996477584757095,0.06996477584757135,0.06996477584757121,0.027882996676062755,0.006139940401745142
640.0,0.07129661708820911,0.07129661708820983,0.07129661708820967,0.02836464836456093,0.0062220437206572665
641.0,0.07267074454067377,0.07267074454067413,0.07267074454067415,0.028860026909283177,0.00630573075651776
642.0,0.07408925683415302,0.07408925683415381,0.07408925683415316,0.029369753982616476,0.006391045178642412
643.0,0.07555440038431342,0.075554400384314,0.07555440038431392,0.02989449216918844,0.0064780322612882435
644.0,0.07706858317345135,0.07706858317345161,0.07706858317345192,0.030434948608122004,0.006566738957865597
645.0,0.07863439015329635,0.07863439015329654,0.07863439015329701,0.030991879051468926,0.006657213979301494
646.0,0.08025460050373642,0.08025460050373694,0.08025460050373649,0.031566092397531546,0.0067495078768266496
