observable,normalized_RMSE,correlation,phase_deg,status
abs_Re,0.3029590018795828,0.21445148663315908,106,DIAGNOSTIC ONLY
Re,0.46291472596625693,-0.13378861643803058,107,DIAGNOSTIC ONLY
abs_Re,0.29995875719726545,0.22112344204805132,107,DIAGNOSTIC ONLY
Re,0.4617401285085494,-0.13961914958407734,108,DIAGNOSTIC ONLY
abs_Re,0.29704730590259054,0.22771608697610457,108,DIAGNOSTIC ONLY
Re,0.46062725539480043,-0.14540344800598232,109,DIAGNOSTIC ONLY
abs_Re,0.2942190432219882,0.2342908195575836,109,DIAGNOSTIC ONLY
Re,0.4594967627022564,-0.15113999702589614,110,DIAGNOSTIC ONLY
abs_Re,0.2914532646968788,0.2408276255669771,110,DIAGNOSTIC ONLY
Re,0.4583412110573125,-0.15682730513000254,111,DIAGNOSTIC ONLY
abs_Re,0.2887473342508685,0.24728517307051778,111,DIAGNOSTIC ONLY
Re,0.4572448634739497,-0.16246390371976202,112,DIAGNOSTIC ONLY
abs_Re,0.2861289966658156,0.25373007745020354,112,DIAGNOSTIC ONLY
Re,0.456205066197402,-0.1680483468408429,113,DIAGNOSTIC ONLY
abs_Re,0.2835948702100893,0.26015882503096116,113,DIAGNOSTIC ONLY
Re,0.4552193627721409,-0.17357921089172104,114,DIAGNOSTIC ONLY
abs_Re,0.281135589288065,0.2664799280016335,114,DIAGNOSTIC ONLY
Re,0.4542854798439397,-0.17905509431392871,115,DIAGNOSTIC ONLY
abs_Re,0.27875012717758874,0.27275845878550753,115,DIAGNOSTIC ONLY
Re,0.4534013143057054,-0.1844746172659317,116,DIAGNOSTIC ONLY
abs_Re,0.2764352818813586,0.27900253719486884,116,DIAGNOSTIC ONLY
Re,0.4525649216567133,-0.18983642128259365,117,DIAGNOSTIC ONLY
abs_Re,0.27419240168014886,0.2852040381500334,117,DIAGNOSTIC ONLY
Re,0.4516999139870661,-0.19513916892218683,118,DIAGNOSTIC ONLY
abs_Re,0.27200358302393274,0.2912805638425052,118,DIAGNOSTIC ONLY
Re,0.45079557936684533,-0.2003815434028744,119,DIAGNOSTIC ONLY
abs_Re,0.2698766665648215,0.2973175148499491,119,DIAGNOSTIC ONLY
Re,0.4499381120866267,-0.20556224823058244,120,DIAGNOSTIC ONLY
abs_Re,0.2678222852429676,0.3033098980758785,120,DIAGNOSTIC ONLY
Re,0.44912573645551523,-0.21068000682014634,121,DIAGNOSTIC ONLY
abs_Re,0.2658349577288519,0.30921285766817524,121,DIAGNOSTIC ONLY
Re,0.44835681257353177,-0.21573356211159345,122,DIAGNOSTIC ONLY
abs_Re,0.2639109500288656,0.3150017396206447,122,DIAGNOSTIC ONLY
Re,0.44762982783609523,-0.2207216761833929,123,DIAGNOSTIC ONLY
abs_Re,0.2620478524066869,0.32072484487129554,123,DIAGNOSTIC ONLY
Re,0.44694338924812854,-0.2256431298644741,124,DIAGNOSTIC ONLY
abs_Re,0.26024570458133295,0.3263790049274549,124,DIAGNOSTIC ONLY
Re,0.44629621647785644,-0.23049672234677604,125,DIAGNOSTIC ONLY
abs_Re,0.258498197789469,0.33186959321221826,125,DIAGNOSTIC ONLY
Re,0.44568713558831463,-0.2352812708000601,126,DIAGNOSTIC ONLY
abs_Re,0.2568115349318405,0.33728068225680863,126,DIAGNOSTIC ONLY
Re,0.4451150733916882,-0.2399956099906788,127,DIAGNOSTIC ONLY
abs_Re,0.25518459429247325,0.3426088335501931,127,DIAGNOSTIC ONLY
Re,0.44446965123025695,-0.24463859190594842,128,DIAGNOSTIC ONLY
abs_Re,0.2536138070611411,0.3477639412128648,128,DIAGNOSTIC ONLY
Re,0.443810066299246,-0.24920908538574807,129,DIAGNOSTIC ONLY
abs_Re,0.2521062922561648,0.3528155542593822,129,DIAGNOSTIC ONLY
Re,0.4431874853341317,-0.25370597576290804,130,DIAGNOSTIC ONLY
abs_Re,0.25065068164565313,0.3577412829715469,130,DIAGNOSTIC ONLY
Re,0.4426008858707443,-0.2581281645139191,131,DIAGNOSTIC ONLY
abs_Re,0.2492460644511058,0.36248914937819093,131,DIAGNOSTIC ONLY
Re,0.4420493372219403,-0.2624745689214494,132,DIAGNOSTIC ONLY
abs_Re,0.2478998178066893,0.36712219122874723,132,DIAGNOSTIC ONLY
Re,0.44153199625434353,-0.2667441217501051,133,DIAGNOSTIC ONLY
abs_Re,0.24660353184342057,0.3715635440594067,133,DIAGNOSTIC ONLY
Re,0.4410481036329796,-0.2709357709368393,134,DIAGNOSTIC ONLY
abs_Re,0.24536214689349123,0.37586232186269625,134,DIAGNOSTIC ONLY
Re,0.44059698050346563,-0.2750484792973416,135,DIAGNOSTIC ONLY
abs_Re,0.24416594379613377,0.37996799698639705,135,DIAGNOSTIC ONLY
Re,0.44017802558535996,-0.27908122424973314,136,DIAGNOSTIC ONLY
abs_Re,0.2430170152941266,0.3839065696387146,136,DIAGNOSTIC ONLY
Re,0.4397907126538941,-0.2830329975567986,137,DIAGNOSTIC ONLY
abs_Re,0.24191513844786433,0.38763676547779286,137,DIAGNOSTIC ONLY
Re,0.43943458839064803,-0.28690280508798083,138,DIAGNOSTIC ONLY
abs_Re,0.24086468345455256,0.3911926115401746,138,DIAGNOSTIC ONLY
Re,0.4391092705868318,-0.2906896666022837,139,DIAGNOSTIC ONLY
abs_Re,0.23985671387870683,0.3945142621377621,139,DIAGNOSTIC ONLY
Re,0.4386541761096653,-0.29439261555319524,140,DIAGNOSTIC ONLY
abs_Re,0.23892434315721647,0.39763884630001944,140,DIAGNOSTIC ONLY
Re,0.4382272793790974,-0.2980106989166931,141,DIAGNOSTIC ONLY
