photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V,KK_real_pm_per_V,KK_imag_pm_per_V
-3.187199999999999989e+01,1.108660027013268386e-03,-2.496186877595001749e-07,1.108660027013268386e-03,1.108660055114529070e-03,1.224554359523917025e-03,1.559829765766613738e-03
-3.187099999999999866e+01,1.108726885982524307e-03,-2.496412368017938582e-07,1.108726885982524307e-03,1.108726914087167269e-03,1.224624346623737203e-03,1.554869492490791811e-03
-3.187000000000000099e+01,1.108793751000300420e-03,-2.496637885602492469e-07,1.108793751000300420e-03,1.108793779108326310e-03,1.224686069568468394e-03,1.554566104310048076e-03
-3.186899999999999977e+01,1.108860622067356101e-03,-2.496863430352686818e-07,1.108860622067356101e-03,1.108860650178765134e-03,1.224756087524468597e-03,1.549688430134664886e-03
-3.186799999999999855e+01,1.108927499184391742e-03,-2.497089002272684795e-07,1.108927499184391742e-03,1.108927527299184788e-03,1.224817822254975269e-03,1.549384714010042068e-03
-3.186700000000000088e+01,1.108994382352177562e-03,-2.497314601366522512e-07,1.108994382352177562e-03,1.108994410470355053e-03,1.224887870515449680e-03,1.544587150928954274e-03
-3.186599999999999966e+01,1.109061271571403114e-03,-2.497540227638315491e-07,1.109061271571403114e-03,1.109061299692965267e-03,1.224949617038680917e-03,1.544283111638919924e-03
-3.186499999999999844e+01,1.109128166842815195e-03,-2.497765881092177135e-07,1.109128166842815195e-03,1.109128194967762878e-03,1.225019695072717850e-03,1.539563282298863408e-03
-3.186400000000000077e+01,1.109195068167148027e-03,-2.497991561732152027e-07,1.109195068167148027e-03,1.109195096295481674e-03,1.225081453390769199e-03,1.539258924467053202e-03
-3.186299999999999955e+01,1.109261975545111113e-03,-2.498217269562359923e-07,1.109261975545111113e-03,1.109262003676831157e-03,1.225151560692922708e-03,1.534614555698480837e-03
-3.186199999999999832e+01,1.109328888977479007e-03,-2.498443004586907874e-07,1.109328888977479007e-03,1.109328917112586098e-03,1.225213330806778625e-03,1.534309883822772324e-03
-3.186100000000000065e+01,1.109395808464936489e-03,-2.498668766809907166e-07,1.109395808464936489e-03,1.109395836603430845e-03,1.225283466893319333e-03,1.529738800641867362e-03
-3.185999999999999943e+01,1.109462734008242069e-03,-2.498894556235385441e-07,1.109462734008242069e-03,1.109462762150124340e-03,1.225345248812722025e-03,1.529433819082502959e-03
-3.185900000000000176e+01,1.109529665608111754e-03,-2.499120372867487867e-07,1.109529665608111754e-03,1.109529693753382590e-03,1.225415413219112454e-03,1.524933939121005805e-03
-3.185800000000000054e+01,1.109596603265277162e-03,-2.499346216710342670e-07,1.109596603265277162e-03,1.109596631413936781e-03,1.225477206945056567e-03,1.524628652121902362e-03
-3.185699999999999932e+01,1.109663546980479455e-03,-2.499572087767981726e-07,1.109663546980479455e-03,1.109663575132528723e-03,1.225547399226473936e-03,1.520197980439224206e-03
-3.185600000000000165e+01,1.109730496754442013e-03,-2.499797986044563969e-07,1.109730496754442013e-03,1.109730524909881147e-03,1.225609204765968404e-03,1.519892392119933646e-03
-3.185500000000000043e+01,1.109797452587892985e-03,-2.500023911544151980e-07,1.109797452587892985e-03,1.109797480746722636e-03,1.225679424494766729e-03,1.515529016383576188e-03
-3.185399999999999920e+01,1.109864414481577868e-03,-2.500249864270850691e-07,1.109864414481577868e-03,1.109864442643798471e-03,1.225741241852516122e-03,1.515223130748307367e-03
-3.185300000000000153e+01,1.109931382436200095e-03,-2.500475844228777742e-07,1.109931382436200095e-03,1.109931410601812515e-03,1.225811488626768865e-03,1.510925216731709604e-03
-3.185200000000000031e+01,1.109998356452529880e-03,-2.500701851421996774e-07,1.109998356452529880e-03,1.109998384621534336e-03,1.225873317802479148e-03,1.510619037676486868e-03
-3.185099999999999909e+01,1.110065336531285401e-03,-2.500927885854669895e-07,1.110065336531285401e-03,1.110065364703682108e-03,1.225943591227298844e-03,1.506384825070748419e-03
-3.185000000000000142e+01,1.110132322673169653e-03,-2.501153947530855451e-07,1.110132322673169653e-03,1.110132350848959479e-03,1.226005432226339852e-03,1.506078356386391422e-03
