x[nm]                E_13[eV]             Psi^2_13[nm^-1]     
11.8                 3.0911484520154      3.1212996605201
11.85                3.0911484520154      3.120147833929
11.9                 3.0911484520154      3.118983473561
11.95                3.0911484520154      3.1178110465189
12                   3.0911484520154      3.1166350508522
12.05                3.0911484520154      3.1154599983
12.1                 3.0911484520154      3.1142903969827
12.15                3.0911484520154      3.1131307341056
12.2                 3.0911484520154      3.1119854587446
12.25                3.0911484520154      3.1108589647771
12.3                 3.0911484520154      3.1097555740246
12.35                3.0911484520154      3.1086795196725
12.4                 3.0911484520154      3.107634930029
12.45                3.0911484520154      3.1066258126873
12.5                 3.0911484520154      3.1056560391498
12.55                3.0911484520154      3.1047293299756
12.6                 3.0911484520154      3.1038492405063
12.65                3.0911484520154      3.1030191472258
12.7                 3.0911484520154      3.1022422348065
12.75                3.0911484520154      3.1015214838909
12.8                 3.0911484520154      3.100859659657
12.85                3.0911484520154      3.1002593012089
12.9                 3.0911484520154      3.0997227118359
12.95                3.0911484520154      3.0992519501757
13                   3.0911484520154      3.0988488223168
13.05                3.0911484520154      3.0985148748685
13.1                 3.0911484520154      3.0982513890283
13.15                3.0911484520154      3.098059375666
13.2                 3.0911484520154      3.0979395714453
13.25                3.0911484520154      3.0978924359983
13.3                 3.0911484520154      3.097918150161
13.35                3.0911484520154      3.0980166152805
13.4                 3.0911484520154      3.0981874535928
13.45                3.0911484520154      3.0984300096723
13.5                 3.0911484520154      3.0987433529462
13.55                3.0911484520154      3.0991262812645
13.6                 3.0911484520154      3.0995773255123
13.65                3.0911484520154      3.1000947552457
13.7                 3.0911484520154      3.100676585331
13.75                3.0911484520154      3.1013205835607
13.8                 3.0911484520154      3.1020242792177
13.85                3.0911484520154      3.1027849725551
13.9                 3.0911484520154      3.103599745155
13.95                3.0911484520154      3.1044654711273
14                   3.0911484520154      3.105378829106
14.05                3.0911484520154      3.1063363149979
14.1                 3.0911484520154      3.1073342554357
14.15                3.0911484520154      3.1083688218868
14.2                 3.0911484520154      3.1094360453658
14.25                3.0911484520154      3.1105318316993
14.3                 3.0911484520154      3.111651977292
14.35                3.0911484520154      3.1127921853435
14.4                 3.0911484520154      3.113948082469
14.45                3.0911484520154      3.1151152356856
14.5                 3.0911484520154      3.116289169733
14.55                3.0911484520154      3.1174653847157
14.6                 3.0911484520154      3.1186393740775
14.65                3.0911484520154      3.1198066429577
14.7                 3.0911484520154      3.1209627270315
14.75                3.0911484520154      3.1221032120213
14.8                 3.0911484520154      3.1232237541862
14.85                3.0911484520154      3.1243201022776
14.9                 3.0911484520154      3.1253881217115
14.95                3.0911484520154      3.1264238221007
15                   3.0911484520154      3.1274233898586
15.05                3.0911484520154      3.1283832284321
15.1                 3.0911484520154      3.1293000099534
15.15                3.0911484520154      3.1301707439175
15.2                 3.0911484520154      3.1309928711562
15.25                3.0911484520154      3.131764395297
15.3                 3.0911484520154      3.1324840696681
15.35                3.0911484520154      3.1331516661329
15.4                 3.0911484520154      3.1337683650118
15.45                3.0911484520154      3.1343373242253
15.5                 3.0911484520154      3.1348645146045
15.55                3.0911484520154      3.1353599528315
15.6                 3.0911484520154      3.1358395340049
15.65                3.0911484520154      3.1363277812157
15.7                 3.0911484520154      3.1368620257371
15.75                3.0911484520154      3.1374704400972
15.8                 3.0911484520154      3.1381380215068
15.85                3.0911484520154      3.1388265862769
15.9                 3.0911484520154      3.139510778886
15.95                3.0911484520154      3.1401751475774
16                   3.0911484520154      3.1408119300439
16.05                3.0911484520154      3.1414193342488
16.1                 3.0911484520154      3.1420001917392
16.15                3.0911484520154      3.1425609070472
16.2                 3.0911484520154      3.1431106500629
16.25                3.0911484520154      3.1436607500309
16.3                 3.0911484520154      3.1442242548819
16.35                3.0911484520154      3.1448156183331
16.4                 3.0911484520154      3.1454504646659
16.45                3.0911484520154      3.1461453415848
16.5                 3.0911484520154      3.14691726007
16.55                3.0911484520154      3.1477825045595
16.6                 3.0911484520154      3.1487532681269
16.65                3.0911484520154      3.1498277787375
16.7                 3.0911484520154      3.1509599913999
16.75                3.0911484520154      3.1520923421939
16.8                 3.0911484520154      3.1532779227027
16.85                3.0911484520154      3.1546124629739
16.9                 3.0911484520154      3.1561389750565
16.95                3.0911484520154      3.157880198646
17                   3.0911484520154      3.1598515964912
17.05                3.0911484520154      3.1620665500011
17.1                 3.0911484520154      3.1645384419983
17.15                3.0911484520154      3.1672814737463
17.2                 3.0911484520154      3.1703108956138
17.25                3.0911484520154      3.173642780902
17.3                 3.0911484520154      3.1772930325758
17.35                3.0911484520154      3.1812745664293
17.4                 3.0911484520154      3.1855898451263
17.45                3.0911484520154      3.1902114525426
17.5                 3.0911484520154      3.195031984648
17.55                3.0911484520154      3.1998869630073
17.6                 3.0911484520154      3.2047826824893
17.65                3.0911484520154      3.2098149787378
17.7                 3.0911484520154      3.2149990396833
17.75                3.0911484520154      3.2203194949757
17.8                 3.0911484520154      3.2257473558507
17.85                3.0911484520154      3.2312461123803
17.9                 3.0911484520154      3.2367741650137
17.95                3.0911484520154      3.2422860871699
18                   3.0911484520154      3.2477336867388
18.05                3.0911484520154      3.2530673165141
18.1                 3.0911484520154      3.2582377120473
18.15                3.0911484520154      3.2631985917948
18.2                 3.0911484520154      3.2679102639155
18.25                3.0911484520154      3.2723445218656
18.3                 3.0911484520154      3.2764911727258
18.35                3.0911484520154      3.2803666370472
18.4                 3.0911484520154      3.2840252121018
18.45                3.0911484520154      3.2875738546296
18.5                 3.0911484520154      3.2911918183995
18.55                3.0911484520154      3.2950093612467
18.6                 3.0911484520154      3.2989717726518
18.65                3.0911484520154      3.3029406390648
18.7                 3.0911484520154      3.3068160847447
18.75                3.0911484520154      3.3105247773546
18.8                 3.0911484520154      3.3140120003983
18.85                3.0911484520154      3.3172363082997
18.9                 3.0911484520154      3.3201658770389
18.95                3.0911484520154      3.3227759944708
19                   3.0911484520154      3.3250473285061
19.05                3.0911484520154      3.3269647309857
19.1                 3.0911484520154      3.3285164120779
19.15                3.0911484520154      3.3296933712032
19.2                 3.0911484520154      3.3304890052896
19.25                3.0911484520154      3.3308988391863
19.3                 3.0911484520154      3.3309203398076
19.35                3.0911484520154      3.3305527873414
19.4                 3.0911484520154      3.3297971851751
19.45                3.0911484520154      3.3286561961317
19.5                 3.0911484520154      3.3271340969399
19.55                3.0911484520154      3.3252367461142
19.6                 3.0911484520154      3.3229715630291
19.65                3.0911484520154      3.3203475182392
19.7                 3.0911484520154      3.3173751373284
19.75                3.0911484520154      3.314066523013
19.8                 3.0911484520154      3.3104354031774
19.85                3.0911484520154      3.3064972163012
19.9                 3.0911484520154      3.302269250769
