x[nm]                Alloy_x[]            Alloy_y[]            Alloy_z[]           
15.675               0                    0                    0
15.725               0.013750000000041    0                    0
15.775               0.041250000000042    0                    0
15.825               0.068750000000042    0                    0
15.875               0.096250000000042    0                    0
15.925               0.12375000000004     0                    0
15.975               0.15125000000004     0                    0
16.025               0.17875000000004     0                    0
16.075               0.20625000000004     0                    0
16.125               0.23375000000004     0                    0
16.175               0.26125000000004     0                    0
16.225               0.28875000000004     0                    0
16.275               0.31625000000004     0                    0
16.325               0.34375000000004     0                    0
16.375               0.37125000000004     0                    0
16.425               0.39875000000005     0                    0
16.475               0.42625000000004     0                    0
16.525               0.45375000000005     0                    0
16.575               0.48125000000004     0                    0
16.625               0.50875000000005     0                    0
16.675               0.53625000000005     0                    0
16.725               0.55                 0                    0
16.775               0.55                 0                    0
16.825               0.55                 0                    0
16.875               0.55                 0                    0
16.925               0.55                 0                    0
16.975               0.55                 0                    0
17.025               0.55                 0                    0
17.075               0.55                 0                    0
17.125               0.55                 0                    0
17.175               0.55                 0                    0
17.225               0.55                 0                    0
17.275               0.55                 0                    0
17.325               0.55                 0                    0
17.375               0.55                 0                    0
17.425               0.55                 0                    0
17.475               0.55                 0                    0
17.525               0.53624999999995     0                    0
17.575               0.50874999999995     0                    0
17.625               0.48124999999995     0                    0
17.675               0.45374999999995     0                    0
17.725               0.42624999999995     0                    0
17.775               0.39874999999995     0                    0
17.825               0.37124999999995     0                    0
17.875               0.34374999999995     0                    0
17.925               0.31624999999995     0                    0
17.975               0.28874999999994     0                    0
18.025               0.26124999999995     0                    0
18.075               0.23374999999994     0                    0
18.125               0.20624999999995     0                    0
18.175               0.17874999999994     0                    0
18.225               0.15124999999994     0                    0
18.275               0.12374999999994     0                    0
18.325               0.096249999999944    0                    0
18.375               0.068749999999945    0                    0
18.425               0.041249999999943    0                    0
18.475               0.013749999999945    0                    0
18.525               0                    0                    0
18.575               0                    0                    0
18.625               0                    0                    0
18.675               0                    0                    0
18.725               0                    0                    0
18.775               0                    0                    0
18.825               0                    0                    0
18.875               0                    0                    0
18.925               0                    0                    0
18.975               0                    0                    0
19.025               0                    0                    0
19.075               0                    0                    0
19.125               0                    0                    0
19.175               0                    0                    0
19.225               0                    0                    0
19.275               0                    0                    0
19.325               0                    0                    0
19.375               0                    0                    0
19.425               0                    0                    0
19.475               0                    0                    0
19.525               0                    0                    0
19.575               0                    0                    0
19.625               0                    0                    0
19.675               0                    0                    0
19.725               0                    0                    0
19.775               0                    0                    0
19.825               0                    0                    0
19.875               0                    0                    0
19.925               0                    0                    0
19.975               0                    0                    0
20.025               0                    0                    0
20.075               0                    0                    0
20.125               0                    0                    0
20.175               0                    0                    0
20.225               0                    0                    0
20.275               0                    0                    0
20.325               0                    0                    0
20.375               0                    0                    0
20.425               0.01375000000007     0                    0
20.475               0.041250000000072    0                    0
20.525               0.06875000000007     0                    0
20.575               0.096250000000073    0                    0
20.625               0.12375000000007     0                    0
20.675               0.15125000000007     0                    0
20.725               0.17875000000007     0                    0
20.775               0.20625000000007     0                    0
20.825               0.23375000000007     0                    0
20.875               0.26125000000004     0                    0
20.925               0.28875              0                    0
20.976315199117      0.31697335951445     0                    0
21.030329986417      0.34668149252959     0                    0
21.087186381741      0.37795250995732     0                    0
21.147033876301      0.41086863196563     0                    0
21.210029825742      0.44551640415819     0                    0
21.276339863867      0.48198692512674     0                    0
21.346138338136      0.52037608597454     0                    0
21.419608768074      0.55                 0                    0
21.496944327796      0.55                 0                    0
21.578348353913      0.55                 0                    0
21.664034880161      0.55                 0                    0
21.754229200156      0.55                 0                    0
21.849168459753      0.55                 0                    0
21.949102280566      0.55                 0                    0
22.054293416296      0.55                 0                    0
22.165018443579      0.55                 0                    0
22.281568489187      0.55                 0                    0
22.40424999548       0.55                 0                    0
22.533385526123      0.55                 0                    0
22.669314614202      0.55                 0                    0
22.812394654946      0.55                 0                    0
22.963001845422      0.55                 0                    0
23.121532173655      0.55                 0                    0
23.288402459799      0.55                 0                    0
23.464051452063      0.55                 0                    0
23.648940980309      0.55                 0                    0
23.843557170329      0.55                 0                    0
24.048411722001      0.55                 0                    0
24.264043254693      0.55                 0                    0
24.491018723442      0.55                 0                    0
24.729934909636      0.55                 0                    0
24.981419990117      0.55                 0                    0
25.246135188831      0.55                 0                    0
25.524776515371      0.55                 0                    0
25.818076594979      0.55                 0                    0
26.126806594817      0.55                 0                    0
26.451778251584      0.55                 0                    0
26.793846005795      0.55                 0                    0
27.15390924834       0.55                 0                    0
27.532914685234      0.55                 0                    0
27.931858826769      0.55                 0                    0
28.351790607613      0.55                 0                    0
28.793814144756      0.55                 0                    0
29.259091640531      0.55                 0                    0
29.748846438374      0.55                 0                    0
