k_per_nm,state_1_eV,state_2_eV,state_3_eV,state_4_eV,state_5_eV,state_6_eV,state_7_eV,state_8_eV,state_9_eV,state_10_eV,state_11_eV,state_12_eV,state_13_eV,state_14_eV
0.037047629282133003,1.3970348539227999,1.3970507981008999,1.4166088961004999,1.4174430995287,1.4434531019047001,1.4434610899914,2.3376687947635002,2.3377005580587,2.3411545697921001,2.3411860564153999,2.9531997725507,2.9533460086635999,3.0916694458568998,3.0919147436059999
0.038900010746239999,1.3969683759166001,1.3969866636304,1.4166166035815,1.4174895817011,1.4434203646996999,1.4434296175823,2.3376155896854001,2.3376473293063,2.3412754524897998,2.3413069019191002,2.9532741153297,2.9534276377436002,3.0917292721368002,3.0919868008251998
0.040752392210347002,1.3968988960863,1.3969197215956,1.4166255629771001,1.4175369189939999,1.4433860346764,1.4433966801885001,2.3375639495963001,2.3375956640561002,2.3413978710315,2.3414292818251998,2.9533522569107999,2.9535130618999998,3.0917923124954001,3.0920620671575998
0.042604773674452999,1.3968264503054,1.3968500104392001,1.4166357459136001,1.4175850709979001,1.4433501140078,1.4433622863547,2.3375138747987001,2.3375455626143999,2.3415218243611999,2.3415531950837001,2.9534341963849,2.9536022800481998,3.0918585664567999,3.0921405418928001
0.044457155138560002,1.3967510759793,1.3967775694693001,1.4166471228752,1.4176339968483,1.4433126051070999,1.4433264449058001,2.3374653655773998,2.3374970252696001,2.3416473114062999,2.3416786406277001,2.9535199327965,2.9536952910575001,3.0919280335180002,3.0922222242927999
0.046309536602666998,1.3966728120181,1.3967024388471001,1.4166596632908,1.4176836552972001,1.4432735106279999,1.4432891649494,2.3374184221982999,2.3374500522924002,2.3417743310772998,2.3418056173741002,2.9536094651444,2.9537920937519999,3.0920007131481002,3.0923071135928999
0.048161918066773002,1.3965916988195,1.3966246595858001,1.4166733356215,1.4177340047806,1.4432328334660001,1.4432504558778001,2.3373730449099002,2.3374046439349998,2.3419028822682999,2.3419341242235001,2.9537027923816002,2.9538926869100002,3.0920766047892001,3.0923952090008999
0.050014299530879998,1.3965077782649,1.3965442735646001,1.4166881074474,1.4177850034834001,1.443190576758,1.4432103273712,2.3373292339418001,2.3373608004321,2.3420329638571,2.3420641600599001,2.9537999134151001,2.9539970692644002,3.0921557078555999,3.0924865096977001
0.051866680994987001,1.3964210937318,1.3964613235576999,1.4167039455524999,1.4178366094004999,1.4431467438843,1.4431687894,2.337286989506,2.3373185220003001,2.3421645747044999,2.3421957237513,2.9539008271060001,2.9541052395026002,3.0922380217343002,3.0925810148370001
0.053719062459092998,1.3963316901241001,1.3963758532821999,1.4167208160086999,1.4178887803947,1.4431013384686,1.4431258522273001,2.3372463117960001,2.3372778088380999,2.3422977136553,2.3423288141491998,2.9540055322702998,2.9542171962668999,3.0923235457849998,3.0926787235457001
