wavelength_nm,k_per_nm,k_fraction_pi_over_a,Re_cumulative,Im_cumulative,Re_shell_ending_here,Im_shell_ending_here
540,0.10558574345408001,0.018999999999990993,0.04691838566276868,0.00044600525135948186,0.0016371970760603995,1.5599850579501205e-05
540,0.10743812491819001,0.019333333333324768,0.04858499634349623,0.00046188833965026319,0.0016666106807275529,1.5883088290781333e-05
540,0.10929050638229,0.019666666666656743,0.050281047097511328,0.00047805509897094138,0.0016960507540151014,1.616675932067816e-05
540,0.1111428878464,0.019999999999990518,0.052006565093200084,0.00049450597421266259,0.0017255179956887534,1.6450875241721221e-05
540,0.11299526931051,0.020333333333324294,0.053761578189074101,0.00051124142169583489,0.0017550130958740155,1.6735447483172321e-05
540,0.11484765077461,0.020666666666656269,0.055546114922357163,0.00052826190899784556,0.0017845367332830647,1.702048730201069e-05
540,0.11670003223872,0.020999999999990044,0.057360204567984102,0.00054556791592062597,0.0018140896456269391,1.7306006922780423e-05
540,0.11855241370283,0.021333333333323819,0.059203877165046978,0.0005631599349329797,0.0018436725970628761,1.7592019012353714e-05
540,0.12040479516693001,0.021666666666655794,0.061077163490053127,0.0005810384707521588,0.0018732863250061499,1.7878535819179089e-05
540,0.12225717663103999,0.021999999999989573,0.06298009506450318,0.00059920404048111877,0.0019029315744500583,1.8165569728960003e-05
540,0.12410955809514999,0.022333333333323345,0.064912704162395321,0.00061765717374572134,0.0019326090978921424,1.8453133264602533e-05
540,0.12596193955925,0.022666666666655323,0.066875023817841647,0.00063639841283369847,0.0019623196554463245,1.8741239087977117e-05
540,0.12781432102335999,0.022999999999989095,0.068867087832715002,0.00065542831283464729,0.0019920640148733547,1.9029900000948808e-05
540,0.12966670248747,0.023333333333322871,0.070888930784234319,0.00067474744178023529,0.0020218429515193237,1.9319128945588022e-05
540,0.13151908395157,0.023666666666654849,0.072940588032681122,0.0006943563807864843,0.0020516572484468036,1.9608939006248956e-05
540,0.13337146541568001,0.023999999999988624,0.075022095729162824,0.00071425572419738566,0.002081507696481708,1.9899343410901421e-05
540,0.13522384687979,0.024333333333322396,0.077133490823322659,0.00073444607972892716,0.0021113950941598356,2.0190355531541492e-05
540,0.13707622834388999,0.024666666666654371,0.079274811071200005,0.00075492806861551722,0.0021413202478773492,2.0481988886590055e-05
540,0.13892860980800001,0.024999999999988146,0.081446095043148828,0.00077570232575796755,0.0021712839719488183,2.0774257142450373e-05
540,0.14078099127211,0.025333333333321925,0.083647382131710135,0.0007967694998720756,0.0022012870885613064,2.1067174114108002e-05
540,0.14263337273620999,0.0256666666666539,0.085878712559650613,0.00081813025363987346,0.0022313304279404813,2.1360753767797869e-05
540,0.14448575420032,0.025999999999987675,0.088140127388067743,0.00083978526386261645,0.002261414828417129,2.1655010222742942e-05
540,0.14633813566442999,0.026333333333321447,0.090431668524453585,0.0008617352216145174,0.0022915411363858473,2.194995775190095e-05
540,0.14819051712853001,0.026666666666653425,0.092753378730935795,0.00088398083239934555,0.0023217102064822066,2.2245610784828155e-05
540,0.15004289859264,0.026999999999987201,0.095105301632591219,0.00090652281630891141,0.0023519229016554172,2.2541983909565817e-05
540,0.15189528005674999,0.027333333333320973,0.097487481725718361,0.00092936190818237237,0.0023821800931271408,2.2839091873460966e-05
540,0.15374766152085001,0.027666666666652951,0.099899964386293658,0.00095249885776853543,0.0024124826605752964,2.3136949586163082e-05
540,0.15560004298496,0.027999999999986723,0.10234279587850301,0.00097593442989013469,0.0024428314922093496,2.3435572121599304e-05
540,0.15745242444907001,0.028333333333320505,0.10481602336322712,0.0009996694046089283,0.0024732274847241156,2.3734974718793641e-05
540,0.15930480591317001,0.02866666666665248,0.10731969490671375,0.0010237045773938659,0.0025036715434866353,2.4035172784937606e-05
540,0.16115718737727999,0.028999999999986252,0.10985385948932208,0.0010480407592912289,0.0025341645826083311,2.4336181897363002e-05
540,0.16300956884139001,0.029333333333320027,0.11241856701421044,0.0010726787770955065,0.0025647075248883592,2.4638017804277624e-05
540,0.16486195030549,0.029666666666652002,0.11501386831620911,0.0010976194735233342,0.0025953013019986643,2.4940696427827684e-05
540,0.16671433176959999,0.029999999999985774,0.11763981517075708,0.0011228637073893277,0.0026259468545479715,2.5244233865993371e-05
540,0.16856671323371,0.030333333333319557,0.1202964603027666,0.0011484123537824811,0.0026566451320095192,2.5548646393153487e-05
540,0.17041909469781,0.030666666666651528,0.12298385739566438,0.00117426630424552,0.0026873970928977761,2.5853950463038943e-05
540,0.17227147616192001,0.030999999999985307,0.12570206110048254,0.0012004264669559712,0.0027182037048181689,2.6160162710451212e-05
540,0.17412385762603,0.031333333333319079,0.12845112704485573,0.001226893766907532,0.0027490659443731892,2.6467299951560838e-05
540,0.17597623909012999,0.03166666666665105,0.13123111184218178,0.0012536691460942031,0.0027799847973260434,2.6775379186671168e-05
540,0.17782862055424001,0.031999999999984832,0.13404207310080943,0.0012807535636958306,0.0028109612586276447,2.7084417601627463e-05
540,0.17968100201834999,0.032333333333318608,0.13688406943310669,0.0013081479962636113,0.0028419963322972538,2.7394432567780673e-05
540,0.18153338348244999,0.032666666666650579,0.13975716046467168,0.0013358534379080457,0.0028730910315650049,2.7705441644434443e-05
540,0.18338576494656,0.032999999999984354,0.14266140684354359,0.0013638709004879146,0.0029042463788719066,2.8017462579869018e-05
540,0.18523814641066999,0.03333333333331813,0.1455968702492608,0.0013922014137987587,0.0029354634057171978,2.8330513310844095e-05
540,0.18709052787477001,0.033666666666650108,0.14856361340203483,0.0014208460257633909,0.002966743152774033,2.8644611964632075e-05
540,0.18894290933888,0.033999999999983883,0.15156170007189151,0.0014498058026229509,0.0029980866698566706,2.895977685956001e-05
540,0.19079529080298999,0.034333333333317652,0.15459119508762054,0.0014790818291269044,0.0030294950157290159,2.9276026503953467e-05
540,0.19264767226709001,0.03466666666664963,0.15765216434580831,0.0015086752087245696,0.0030609692581877821,2.9593379597665177e-05
540,0.1945000537312,0.034999999999983412,0.16074467481980062,0.0015385870637566188,0.0030925104739923152,2.9911855032049102e-05
540,0.19635243519531001,0.035333333333317188,0.16386879456842868,0.0015688185356448614,0.0031241197486280474,3.0231471888242704e-05
540,0.19820481665941,0.035666666666649159,0.16702459274478249,0.0015993707850829877,0.0031557981763538057,3.0552249438126277e-05
540,0.20005719812351999,0.035999999999982935,0.1702121396048723,0.0016302449922266365,0.0031875468600898122,3.0874207143648828e-05
540,0.20190957958763001,0.03633333333331671,0.17343150651600403,0.0016614423568810121,0.003219366911131733,3.1197364654375549e-05
540,0.20376196105173,0.036666666666648688,0.176682765965164,0.0016929640986888387,0.0032512594491599573,3.1521741807826617e-05
540,0.20561434251583999,0.036999999999982457,0.17996599156724563,0.0017248114573169238,0.0032832256020816435,3.1847358628085055e-05
540,0.20746672397995,0.037333333333316232,0.1832812580729403,0.0017569856926395056,0.0033152665056946726,3.2174235322581775e-05
540,0.20931910544405,0.03766666666664821,0.18662864137659607,0.0017894880849212626,0.0033473833036557696,3.2502392281756986e-05
540,0.21117148690816001,0.037999999999981986,0.1900082185238724,0.0018223199349981954,0.0033795771472763265,3.2831850076932665e-05
540,0.21302386837227,0.038333333333315761,0.19342006771900827,0.0018554825644545143,0.0034118491951358708,3.3162629456318949e-05
540,0.21487624983636999,0.038666666666647739,0.19686426833201709,0.0018889773157984918,0.0034442006130088222,3.3494751343977419e-05
540,0.21672863130048001,0.038999999999981515,0.20034090090563184,0.0019228055526354548,0.0034766325736147585,3.3828236836963088e-05
