x[nm]                Psi^2_1[nm^-1]       Psi^2_2[nm^-1]       Psi^2_3[nm^-1]       Psi^2_4[nm^-1]       Psi^2_5[nm^-1]       Psi^2_6[nm^-1]      
13.8                 0.20339201400728     0.15258455003811     0.0027043455506486   0.011308416471977    0.18225501553884     0.032182550106906
13.85                0.19933782694215     0.16191550088952     0.0027980518827855   0.0060909304095048   0.17692373505395     0.029343193104112
13.9                 0.19516783864648     0.17100091516442     0.0028832813763473   0.0024480202921724   0.1696257371148      0.026281124158812
13.95                0.19088866928041     0.1797838072569      0.0029594303236126   0.00043011282634068  0.16053262522091     0.02307398620116
14                   0.18650711233697     0.18820908904299     0.0030259593372694   6.5140742701498e-05  0.14985821278186     0.019803100583773
14.05                0.18203012385692     0.19622391540489     0.0030823971710674   0.001358156139577    0.13785349555636     0.016551405068036
14.1                 0.17746481138556     0.20377801568649     0.0031283440578062   0.0042912605496327   0.12480074979383     0.013401350824161
14.15                0.17281842268892     0.21082400900138     0.0031634745410137   0.0088238526980505   0.11100689485351     0.010432811769426
14.2                 0.16809833424748     0.21731770141559     0.0031875397802581   0.014893190522589    0.096796276370905    0.0077210592561752
14.25                0.16331203954542     0.22321836314117     0.0032003693137645   0.022415259675812    0.082503039666732    0.0053348534641245
14.3                 0.15846713717416     0.22848898400184     0.0032018722658499   0.0312859364873      0.068463272728172    0.0033346998923183
14.35                0.1535713187691      0.23309650556855     0.0031920379906247   0.041382429287653    0.055007103510743    0.0017713151597632
14.4                 0.14863235679853     0.23701202850875     0.003170936147401    0.052564978142829    0.042450937383019    0.00068434101645316
14.45                0.14365809222429     0.24021099384907     0.0031387162072732   0.064678789470412    0.0310900172412      0.00010133917278553
14.5                 0.13865642205368     0.24267333701427     0.003095606394367    0.077556178758005    0.021191481233353    3.709243484208e-05
14.55                0.13363528680239     0.24438361367646     0.0030419120692545   0.091018891723352    0.012988081332441    0.00049322986619905
14.6                 0.12860265788833     0.24533109662506     0.0029780135659881   0.10488057178568     0.0066727104582306   0.0014581854808006
14.65                0.12356652497644     0.24550984305018     0.0029043634980727   0.11894933969251     0.0023938668360956   0.002907491514294
14.7                 0.11853488329451     0.2449187318171      0.0028214835524599   0.13303044959362     0.00025216224279489  0.0048043988375317
14.75                0.11351572094018     0.24356147049828     0.0027299607942728   0.14692898479566     0.00029795624354119  0.0071008087808113
14.8                 0.10851700619925     0.24144657211871     0.0026304435084357   0.16045255588168     0.0025301720483915   0.0097384927411801
14.85                0.10354667489544     0.23858730176041     0.0025236366076657   0.17341396384701     0.0068963218316462   0.012650568647999
14.9                 0.098612617791692    0.23500159336112     0.0024102966393503   0.18563379138723     0.013293740918902    0.015763196848969
14.95                0.093722668063024    0.23071193722889     0.0022912264266809   0.19694288646857     0.021572001821362    0.018997452415123
15                   0.088884588860778    0.2257452389782      0.0021672693819994   0.20718470380211     0.031536451354328    0.022271326389933
15.05                0.084106060988056    0.22013265077237     0.0020393035326398   0.21621747180999     0.042952787668874    0.02550180523814
15.1                 0.079394670705891    0.2139093759307      0.0019082353015797   0.22391615508777     0.055552569573381    0.028606975767044
15.15                0.074757897689497    0.20711444812596     0.0017749930869569   0.23017418519742     0.069039528599979    0.031508102147114
15.2                 0.070203103153748    0.19979048655707     0.0016405206859294   0.23490493583289     0.083096535395374    0.034131622366222
15.25                0.065737518166707    0.1919834286326      0.0015057706094581   0.23804292193816     0.097393056629889    0.036411013494685
15.3                 0.061368232169781    0.18374224184189     0.0013716973353678   0.23954470617911     0.11159292708462     0.038288478464788
15.35                0.057102181722717    0.17511861662066     0.001239250547476    0.23938950022156     0.12536225416561     0.039716411594184
15.4                 0.052946139491308    0.16616664213797     0.0011093684086788   0.23757945249217     0.13837726897995     0.040658605692828
15.45                0.048906703495291    0.15694246703765     0.000982970915644    0.23413961843903     0.15033193936554     0.041091170145617
15.5                 0.044990286633515    0.14750394726234     0.00086095338218047  0.22911761370353     0.16094516586321     0.041003136691484
15.55                0.041203106502989    0.13791028316905     0.0007441800974447   0.22258295500444     0.16996739142686     0.040396737538605
15.6                 0.037551175528001    0.12822164821215     0.00063347820390466  0.21462609785803     0.17718646945229     0.039287348763715
15.65                0.034040291414955    0.11849881152302     0.00052963183842556  0.20535718445445     0.1824326521453      0.037703100430734
15.7                 0.030676027948087    0.10880275675339     0.00043337657797799  0.19490451902287     0.18558258193346     0.035684163314671
15.75                0.027471369499962    0.099221173032496    0.0003455072645053   0.18346014573057     0.18660552700211     0.033290441816801
15.8                 0.02444876637278     0.089878266769229    0.00026683082779041  0.17130526292223     0.18561009283631     0.030604796150332
15.85                0.021628584939168    0.080894384577434    0.00019795637336291  0.15874006659506     0.18279236879807     0.027717734768805
15.9                 0.019023403221551    0.072363097340999    0.000139252463843    0.14603382287884     0.17837883918902     0.024716177233902
15.95                0.016639039915549    0.06435299735743     9.0893365239116e-05  0.13342117195035     0.17261408380914     0.021680928433018
16                   0.01447561412498     0.056910038382496    5.2907249428593e-05  0.12110037268202     0.16574972294607     0.01868482719305
16.05                0.012528588567352    0.050060217527613    2.5224890580877e-05  0.10923319710447     0.15803489612551     0.015791543063603
16.1                 0.010789759865883    0.043812424802757    7.7278958250119e-06  0.097946164654028    0.14970843293055     0.013054967896817
16.15                0.00924816969336     0.038161315563165    2.9601011176671e-07  0.087332806946713    0.1409927608139      0.010519130237522
16.2                 0.0078909196175216   0.033090091055301    2.853523177464e-06   0.077456670057293    0.1320895020342      0.0082185498429615
16.25                0.0067038803048101   0.028573100996251    1.54152818137e-05    0.068354788666489    0.12317664068014     0.0061789459140819
16.3                 0.005672292178532    0.024578208456016    3.8133279892381e-05  0.060041401003836    0.11440709068897     0.0044182146770763
16.35                0.004781259704302    0.021068880462432    7.1345275807547e-05  0.052511711795631    0.1059084651512      0.0029475985675939
16.4                 0.0040161452674519   0.018005987296733    0.00011562739369528  0.045745549566331    0.097783833569754    0.0017729792351179
16.45                0.0033628712404786   0.015349309275937    0.00017185323050682  0.039710802404801    0.090113254227713    0.00089623880676701
16.5                 0.0028081404696485   0.013058762038964    0.00024126265435413  0.034366551071458    0.082955880381441    0.00031664740095247
16.55                0.0023395862078431   0.011095360246301    0.00032554429008469  0.0296658490238      0.076352458693476    3.2249037227892e-05
16.6                 0.0019458626553108   0.0094219455565492   0.0004269367091505   0.025558124994805    0.070328063466242    4.1232345437325e-05
16.65                0.0016166869018898   0.0080037082061996   0.0005483546538796   0.021991204988155    0.064894938524175    0.00034328655751527
16.7                 0.0013428423388946   0.0068085329610302   0.0006935483364826   0.018912967083836    0.060055348151782    0.00094095711611239
16.75                0.0011158099037957   0.0058054802984909   0.00086717631021651  0.016267895051316    0.055789809992128    0.0018410100532607
16.8                 0.00092777026970166  0.0049648818413687   0.0010746520325825   0.013997890974693    0.052052540793767    0.0030544825613394
16.85                0.00077202881076571  0.0042607239509887   0.0013222289203222   0.012049784264923    0.048791923768953    0.0045959121780588
16.9                 0.00064304078743629  0.0036712153561737   0.0016173690583342   0.010377944175195    0.045962925346924    0.0064837654043337
16.95                0.00053621394149575  0.0031781127881534   0.0019689681104539   0.0089432109862504   0.04352647319884     0.0087406589350504
