x[nm]                E_1[eV]              E_2[eV]              E_3[eV]              E_4[eV]              E_5[eV]              E_6[eV]              Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
8.9419704253995      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.51558877829        1.2727729305536      1.4238800345897      1.1315543040077      0.9930153697766      1.1249291917941
8.9973696017656      1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5223896677699      1.2598324085848      1.4254409751467      1.1139236477069      0.97620260018409     1.1171876106417
9.05                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5292982443145      1.246823815004       1.4270070538696      1.0965624102417      0.96029884327454     1.1099471813506
9.1                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5362619988986      1.2338488176851      1.4285659885621      1.0796080515797      0.94541876679078     1.1032575821396
9.15                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5436070962176      1.2203115879508      1.4301891181914      1.062307811372       0.93093447324731     1.0968399409394
9.2                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5513206150013      1.2062593073409      1.4318702752398      1.0447773604421      0.91702831475974     1.0907859378516
9.25                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.559383984724       1.1917507554474      1.4336018809188      1.0271486452243      0.90389523194618     1.0851924520277
9.3                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5677724037908      1.1768571568869      1.4353748494234      1.0095702211914      0.89174146419641     1.0801607668668
9.35                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5764542758913      1.1616629360487      1.4371785045391      0.99220732965054     0.88078285732831     1.075795576399
9.4                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5853906780575      1.1462663508001      1.4390005121188      0.97524167815586     0.87124274690291     1.0722037858933
9.45                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.5945348756454      1.1307799740668      1.4408268321936      0.95887088489173     0.86334940184181     1.0694931034066
9.5                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6038319010533      1.115330990334       1.4426416946822      0.94330754854278     0.85733302085026     1.0677704233862
9.55                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6132182144543      1.1000612727555      1.4444276027875      0.9287779075314      0.85342228352167     1.0671400085234
9.6                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6226214660787      1.0851272058392      1.4461653682224      0.91552005621627     0.85184046886876     1.0677014818146
9.65                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6319783487441      1.0706647111287      1.447838354037       0.90373321877204     0.85275029560379     1.0695234508335
9.7                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6412621271795      1.0567388993404      1.4494385062137      0.89351343149942     0.8561974458465      1.0726178948865
9.75                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6504691163505      1.0433716154376      1.4509629898997      0.88489609170609     0.86216162584809     1.0769651668264
9.8                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6595956617031      1.0305838282388      1.4524091042976      0.8779110464544      0.87060772383151     1.0825376650907
9.85                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.668638140614       1.0183955975255      1.4537742874502      0.87258248918296     0.88148601669831     1.0893000089484
9.9                  1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6775929638284      1.0068260425744      1.4550561207792      0.86892887591009     0.89473246275397     1.0972092631381
9.95                 1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6864565768852      0.99589331216591     1.4562523333702      0.86696286130948     0.91026907872827     1.1062152104714
10                   1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.6952254615273      0.98561455611476     1.4573608059956      0.86669125487941     0.92800439887134     1.1162606706703
10.05                1.4478054423839      1.412791422186       1.4067269055969      1.3561664814032      1.2837468270643      1.269939459991       1.7038961370987      0.97600589836761     1.4583795748691      0.86811499735729     0.94783401342249     1.1272818634141
