pathway,amplitude_scale,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,peak_shift_nm,model_normalized_amplitude,normalized_amplitude_change,normalized_amplitude_at_paper_nm,node_depth_change_at_paper_nm,local_normalized_RMSE,note
V_m1_n1_l1,0.95,P3,peak,1080.0,1160.0,0.0,0.15724911149956602,0.045640571318478984,0.13438881119951243,0.043517504672361054,0.492608790252166,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.95,Z2,minimum,1330.0,1250.0,0.0,0.2146184388720445,0.05136356882990106,0.36331660327402815,0.05371360357002136,0.3991026309634152,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,0.95,P4,peak,1520.0,1500.0,-3.0,1.0,0.0,0.528745593343761,-0.033766498900992925,0.3064388683482069,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.0,P1,peak,540.0,575.0,0.0,0.027656132817681464,0.0,0.018684634024775947,0.0,0.18233322581211692,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.0,Z1,minimum,605.0,550.0,0.0,0.020805620815258052,0.0,0.04064783904527008,0.0,0.04803291770578306,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.0,P2,peak,760.0,752.0,0.0,0.5298169782402152,0.0,0.3198138514659219,0.0,0.19391486600926822,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.0,P3,peak,1080.0,1160.0,0.0,0.11160854018108704,0.0,0.09087130652715138,0.0,0.535268929323567,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.0,Z2,minimum,1330.0,1250.0,0.0,0.16325487004214342,0.0,0.3096029997040068,0.0,0.3645474142729788,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.0,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.562512092244754,0.0,0.30120735313987446,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.05,P1,peak,540.0,575.0,0.0,0.012288557573300428,-0.015367575244381036,0.007710119382711965,-0.010974514642063983,0.19206984543185968,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.05,Z1,minimum,605.0,550.0,0.0,0.008754139320783037,-0.012051481494475016,0.019567388075441304,-0.021080450969828773,0.05611107849655763,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.05,P2,peak,760.0,753.0,1.0,0.5091419606618329,-0.020675017578382304,0.38279203011789503,0.06297817865197314,0.144748307506978,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.05,P3,peak,1080.0,1160.0,0.0,0.03323681279844621,-0.07837172738264084,0.02047026361847588,-0.07040104290867549,0.604591105289248,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.05,Z2,minimum,1330.0,1250.0,0.0,0.06458384544911268,-0.09867102459303075,0.16781404467971014,-0.14178895502429664,0.22176534940080828,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.05,P4,peak,1520.0,1505.0,2.0,1.0,0.0,0.7446086734638915,0.18209658121913752,0.1970301113712262,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.1,P1,peak,540.0,493.0,-82.0,0.0010374049286654555,-0.02661872788901601,0.0007753477151665477,-0.0179092863096094,0.1984311507909935,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.1,Z1,minimum,605.0,570.0,20.0,5.4523382420222225e-05,-0.02075109743283783,0.0026062517436008,-0.038041587301669275,0.06810158907994485,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.1,P2,peak,760.0,753.0,1.0,0.49267231221815555,-0.03714466602205968,0.42018488681946337,0.10037103535354147,0.10295327194450755,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.1,P3,peak,1080.0,950.0,-210.0,0.04588946651514995,-0.0657190736659371,0.029911097577914714,-0.06096020894923666,0.5952372623544903,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.1,Z2,minimum,1330.0,1280.0,30.0,0.0017201575661747988,-0.16153471247596862,0.048828896319020855,-0.2607741033849859,0.10884818983633508,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
V_m1_n1_l1,1.1,P4,peak,1520.0,1506.0,3.0,1.0,0.0,0.8511385503773565,0.28862645813260257,0.21011978061088118,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.9,P1,peak,540.0,575.0,0.0,0.027322772794073753,-0.00033336002360771083,0.01843588416002809,-0.00024874986474785615,0.1825510635690747,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.9,Z1,minimum,605.0,550.0,0.0,0.02053533132015373,-0.00027028949510432207,0.040217925732185696,-0.00042991331308438185,0.04810324015058418,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.9,P2,peak,760.0,752.0,0.0,0.532191624788908,0.0023746465486927937,0.32364966014147917,0.003835808675557273,0.19263987019899212,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.9,P3,peak,1080.0,1160.0,0.0,0.10945999650052751,-0.002148543680559528,0.08888258848434405,-0.0019887180428073276,0.537222710450029,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.9,Z2,minimum,1330.0,1250.0,0.0,0.1606798933855828,-0.002574976656560618,0.3063809672379532,-0.0032220324660535704,0.36193535177816705,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.9,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.5658721354991728,0.003360043254418854,0.29936187634854095,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.95,P1,peak,540.0,575.0,0.0,0.027519659219878468,-0.00013647359780299614,0.01858273979343726,-0.000101894231338686,0.18242244251131234,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.95,Z1,minimum,605.0,550.0,0.0,0.020694918616313555,-0.00011070219894449701,0.04047198828517267,-0.00017585076009740686,0.04806122638421206,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.95,P2,peak,760.0,752.0,0.0,0.5307953035005016,0.0009783252602864057,0.3213822427318292,0.0015683912659072985,0.19341707320614757,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.95,P3,peak,1080.0,1160.0,0.0,0.1107269371432934,-0.0008816030377936379,0.09005490811734707,-0.0008163984098043114,0.5360709476248107,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.95,Z2,minimum,1330.0,1250.0,0.0,0.16219918198036132,-0.0010556880617821063,0.30828521162714934,-0.0013177880768574513,0.3634829010936772,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
C_m2_n2_l2,0.95,P4,peak,1520.0,1503.0,0.0,1.0,0.0,0.5638590041161478,0.0013469118713937966,0.30047337662391127,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
