wavelength_nm,pathway,real,imag,magnitude
571.0,C_m1_n1_l1,21.59246771980593,0.22829395313184264,21.593674545104584
572.0,C_m1_n1_l1,21.79714349062587,0.2318654716762593,21.79837668148455
573.0,C_m1_n1_l1,22.004198899712133,0.23550266151517804,22.00545911181299
574.0,C_m1_n1_l1,22.21367122669178,0.2392069975672541,22.214959134674082
575.0,C_m1_n1_l1,22.425598526372113,0.24297999519682179,22.426914824471265
576.0,C_m1_n1_l1,22.640019649163747,0.24682321154384115,22.641365051875237
577.0,C_m1_n1_l1,22.856974262159987,0.25073824690524077,22.85834950492938
578.0,C_m1_n1_l1,23.076502870897805,0.25472674616995333,23.077908710837924
579.0,C_m1_n1_l1,23.298646841826084,0.2587904003100508,23.300084058462648
580.0,C_m1_n1_l1,23.523448425509127,0.26293094793051974,23.52491782155609
581.0,C_m1_n1_l1,23.75095078059317,0.2671501768803329,23.752453182759172
582.0,C_m1_n1_l1,23.981197998566106,0.27144992592762174,23.982734258393414
583.0,C_m1_n1_l1,24.214235129341827,0.2758320865019049,24.215806124079286
584.0,C_m1_n1_l1,24.450108207700904,0.28029860450645866,24.451714841212493
585.0,C_m1_n1_l1,24.688864280622706,0.2848514822041127,24.69050748433336
586.0,C_m1_n1_l1,24.93055143554383,0.2894927801798981,24.932232169424235
587.0,C_m1_n1_l1,25.175218829580462,0.29422461938417305,25.17693808317275
588.0,C_m1_n1_l1,25.422916719753516,0.29904918326004315,25.424675513239716
589.0,C_m1_n1_l1,25.673696494257797,0.3039687199591021,25.675495879573166
590.0,C_m1_n1_l1,25.92761070481765,0.3089855446497294,25.929451766810985
591.0,C_m1_n1_l1,26.184713100173813,0.3141020419224207,26.186596957817063
592.0,C_m1_n1_l1,26.44505866074918,0.3193206682968775,26.446986468398755
593.0,C_m1_n1_l1,26.70870363454174,0.3246439548358264,26.71067658325402
594.0,C_m1_n1_l1,26.97570557429745,0.3300745098708411,26.977724893201223
595.0,C_m1_n1_l1,27.246123376016076,0.3356150218457128,27.248190333744702
596.0,C_m1_n1_l1,27.520017318848232,0.34126826228325363,27.522133225034512
597.0,C_m1_n1_l1,27.797449106441707,0.3470370888817158,27.79961531327864
598.0,C_m1_n1_l1,28.07848190980143,0.3529244487474157,28.080699813672197
599.0,C_m1_n1_l1,28.363180411727413,0.3589333817704757,28.36545145490808
600.0,C_m1_n1_l1,28.65161085290076,0.3650670241510473,28.653936525339464
601.0,C_m1_n1_l1,28.94384107969025,0.37132861208377993,28.94622292086684
602.0,C_m1_n1_l1,29.239940593755485,0.37772148560876656,29.24238019462575
603.0,C_m1_n1_l1,29.539980603527525,0.3842490926376904,29.542479608556476
604.0,C_m1_n1_l1,29.844034077651155,0.3909149931644175,29.84659418694006
605.0,C_m1_n1_l1,30.15217580047787,0.39772286366982096,30.15479877198999
606.0,C_m1_n1_l1,30.46448242970345,0.4046765017312519,30.467170081593792
607.0,C_m1_n1_l1,30.78103255624852,0.4117798308476679,30.78378676930316
608.0,C_m1_n1_l1,31.101906766485847,0.4190369054921298,31.10472948667682
609.0,C_m1_n1_l1,31.427187706924837,0.42645191640411484,31.430080948086857
610.0,C_m1_n1_l1,31.756960151467567,0.4340291961348384,31.759925998103277
611.0,C_m1_n1_l1,32.09131107135895,0.4417732248596406,32.09435168157987
