state,shift_meV,Feature,feature_type,paper_wavelength_nm,model_wavelength_nm,model_normalized_amplitude,normalized_amplitude_at_paper_nm,local_normalized_RMSE,global_normalized_RMSE,note
hh1,-5.0,P1,peak,540.0,575.0,0.027692046272695184,0.018709267346320085,0.1823115882477587,0.26242580804757815,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-5.0,Z1,minimum,605.0,550.0,0.02083292285520081,0.04070027959947395,0.04802599869180889,0.26242580804757815,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-5.0,P2,peak,760.0,752.0,0.5298094789195911,0.31981759491652073,0.19431842107330768,0.26242580804757815,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-5.0,P3,peak,1080.0,1160.0,0.11177921276871601,0.09102775099309773,0.5351150984321367,0.26242580804757815,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-5.0,Z2,minimum,1330.0,1250.0,0.16346964895690125,0.3099313422850128,0.36494151918117107,0.26242580804757815,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,-5.0,P4,peak,1520.0,1503.0,1.0,0.5617119832345986,0.3009425878385794,0.26242580804757815,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,0.0,P1,peak,540.0,575.0,0.027656132817681464,0.018684634024775947,0.18233322581211692,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,0.0,Z1,minimum,605.0,550.0,0.020805620815258052,0.04064783904527008,0.04803291770578306,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,0.0,P2,peak,760.0,752.0,0.5298169782402152,0.3198138514659219,0.19391486600926822,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,0.0,P3,peak,1080.0,1160.0,0.11160854018108704,0.09087130652715138,0.535268929323567,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,0.0,Z2,minimum,1330.0,1250.0,0.16325487004214342,0.3096029997040068,0.3645474142729788,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,0.0,P4,peak,1520.0,1503.0,1.0,0.562512092244754,0.30120735313987446,0.2623911178693676,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,5.0,P1,peak,540.0,575.0,0.02761419260861003,0.018655956740265482,0.18235841646005563,0.26233238732054576,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,5.0,Z1,minimum,605.0,550.0,0.020773807700574496,0.040586481083364684,0.04804105977598369,0.26233238732054576,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,5.0,P2,peak,760.0,752.0,0.5298733208146849,0.319843770516497,0.19356279143308747,0.26233238732054576,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,5.0,P3,peak,1080.0,1160.0,0.11141394186496315,0.09069513655977074,0.5354421425408826,0.26233238732054576,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,5.0,Z2,minimum,1330.0,1250.0,0.163004930639785,0.3092047747527218,0.36405418337010886,0.26233238732054576,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,5.0,P4,peak,1520.0,1503.0,1.0,0.5631467497121153,0.30144137867774584,0.26233238732054576,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,10.0,P1,peak,540.0,575.0,0.027562860527618412,0.018620961023323727,0.18238915831823327,0.26223976438530444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,10.0,Z1,minimum,605.0,550.0,0.020734951089723383,0.04051126299312887,0.04805112921619858,0.26223976438530444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,10.0,P2,peak,760.0,752.0,0.5299901966162902,0.3198647306696696,0.1932913395131688,0.26223976438530444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
hh1,10.0,P3,peak,1080.0,1160.0,0.11118182875924996,0.09048817740265103,0.535645597773901,0.26223976438530444,DIAGNOSTIC PERTURBATION - NOT A PHYSICAL/FITTED MODEL
