wavelength_nm,real_chi2_pm_per_V,imag_chi2_pm_per_V,abs_chi2_pm_per_V
616.0,3.883819117241859,0.08081318974424338,3.884659792966428
617.0,3.9428103437756747,0.08300872387524891,3.943684046069595
618.0,4.003163744635421,0.08528509484405142,4.0040721164542035
619.0,4.064926244824002,0.08764625289457398,4.065871031095972
620.0,4.128147001244954,0.09009639498570474,4.129130056595108
621.0,4.192877540492619,0.09263998382491255,4.193900837665397
622.0,4.259171907221607,0.09528176866707265,4.260237546276741
623.0,4.3270868240753035,0.09802680807112578,4.32819704244004
624.0,4.396681864259676,0.1008804948314975,4.3978390477309866
625.0,4.468019637969326,0.10384858332902158,4.46922633277159
626.0,4.541165994008308,0.10693721957798283,4.542424920025485
627.0,4.616190238101838,0.11015297428251605,4.617504303418676
628.0,4.693165369568862,0.11350287925775132,4.694537686473529
629.0,4.77216833822255,0.11699446761972068,4.773602240843638
630.0,4.853280323590231,0.12063581820428401,4.854779387364776
631.0,4.936587038799487,0.12443560474050637,4.93815510199611
632.0,5.022179061768992,0.12840315037965813,5.0238202493220525
633.0,5.110152196676165,0.13254848826922566,5.111870946623819
634.0,5.200607869056593,0.13688242896436514,5.202408961918751
635.0,5.293653558329821,0.141416635589882,5.295542149812381
636.0,5.389403272053304,0.14616370780753768,5.391384929524038
637.0,5.48797806679139,0.15113727581036424,5.49005881004227
638.0,5.589506621165062,0.1563521057628545,5.5916929680575755
639.0,5.694125867435061,0.16182421833951696,5.696424885121744
640.0,5.801981688888959,0.16757102229209328,5.804401051419069
641.0,5.913229691373979,0.17361146530710364,5.915777744627741
642.0,6.028036058572575,0.17996620481207504,6.030721893631446
643.0,6.146578502093469,0.1866578018654553,6.149412038349262
644.0,6.269047319190423,0.19371094184006252,6.272039398731261
645.0,6.395646572979365,0.201152686305995,6.398809068074372
646.0,6.526595412468787,0.2090127613652973,6.529941348317927
647.0,6.662129552631261,0.21732388872421116,6.665673247966256
648.0,6.8025029382290025,0.22612216705668395,6.806260166864665
649.0,6.9479896192930966,0.23544751277541784,6.951977796359592
650.0,7.098885871206403,0.2453441712622237,7.103124268572685
651.0,7.255512598459986,0.2558613120192636,7.260022594827085
652.0,7.418218068602189,0.2670537242194997,7.423023440954198
653.0,7.587381032011732,0.27898263293292275,7.592508296630935
