wavelength_nm,real_chi2_pm_per_V,imag_chi2_pm_per_V,abs_chi2_pm_per_V
632.0,5.027747676074768,0.12929236297463353,5.0294098271466
633.0,5.116300229461586,0.13350862973506428,5.118041870891876
634.0,5.207379821805926,0.1379196684964374,5.209205932146443
635.0,5.3010976706508695,0.14253775915088138,5.303013626850664
636.0,5.397571886833694,0.1473761897677575,5.399583503831375
637.0,5.496928037143838,0.15244936023024092,5.4990416122241355
638.0,5.599299764731348,0.15777289881111758,5.601522127325731
639.0,5.7048294744752415,0.16336379360428344,5.7071680421994095
640.0,5.813669091589661,0.1692405410590918,5.816131933445366
641.0,5.9259809029976,0.175423314260808,5.9285768108272405
642.0,6.04193849247457,0.1819341540767487,6.044677061950084
643.0,6.161727782302752,0.18879718686266656,6.164619504962885
644.0,6.285548196233951,0.1960388731207439,6.28860456436516
645.0,6.41361396100499,0.20368829234856073,6.416847587502604
646.0,6.546155566566682,0.21177747035491634,6.549580322329201
647.0,6.683421408680204,0.22034175659105068,6.687052580599507
648.0,6.825679641734973,0.2294202606159371,6.82953411497273
649.0,6.9732202747133405,0.23905635876107997,6.977316743730165
650.0,7.126357549378305,0.24929828448664748,7.130716763147246
651.0,7.285432647255676,0.2601998189616518,7.2900776952983515
652.0,7.4508167811595385,0.2718211022338495,7.455773428560461
653.0,7.622914738305512,0.2842295902158685,7.628211819779893
654.0,7.802168956034334,0.29750118891799615,7.807838841568998
655.0,7.989064228561848,0.31172160532966214,7.995143376282617
656.0,8.184133164947806,0.3269879646681356,8.19066278091318
657.0,8.387962545906907,0.34341075716496955,8.394989375792782
658.0,8.601200761872628,0.3611161952424078,8.608778046418935
659.0,8.824566559145849,0.38024908537124413,8.832755194372867
660.0,9.058859378107853,0.40097635025566597,9.067729333509957
661.0,9.304971641569606,0.4234913793375701,9.314603705944114
662.0,9.563903448189416,0.44801944339830935,9.574391395172453
663.0,9.836780253628755,0.47482448876100525,9.848233549896536
664.0,10.124874292142978,0.5042177378974241,10.13742151431557
665.0,10.429630719859308,0.5365686806110168,10.443423907016589
666.0,10.752699771446169,0.5723192655343574,10.767920027403633
667.0,11.095976648252414,0.6120024298187892,11.112841434694683
668.0,11.461651448450912,0.6562665899666381,11.480424197863218
669.0,11.852272283131907,0.7059084464302048,11.873275243513827
670.0,12.27082590981601,0.7619175733018342,12.294457568250747
671.0,12.720841929614192,0.8255380156579509,12.747601045433097
672.0,13.206529103949032,0.8983549220151992,13.237048482927067
673.0,13.73295606865533,0.9824188466938093,13.768051030336736
674.0,14.30629430923639,1.0804281393422597,14.347033903450988
675.0,14.934149719090858,1.1960033989183236,14.981964222439117
676.0,15.626021893100551,1.3341124272215268,15.682870150968052
677.0,16.393949501101595,1.5017499649831836,16.462588897314912
678.0,17.25342727989151,1.7090662094565616,17.3378678103973
679.0,18.224712175659256,1.9713221933330327,18.331018658971196
680.0,19.334645290776933,2.3124475860795566,19.47244007202302
681.0,20.618967315344822,2.7718797783984677,20.804449780206937
682.0,22.124193340015733,3.4184977390068028,22.386738434573072
683.0,23.90371523913861,4.380418931513741,24.30176273955022
684.0,25.982624186811655,5.907718192909898,26.64578566828024
685.0,28.185579698955593,8.461108552598061,29.428171212377872
686.0,29.64102701877485,12.478899588966613,32.16074342547529
687.0,29.019853628597726,17.063037005584256,33.66450855840873
688.0,26.79431777061458,20.461290642626306,33.71349699385543
689.0,24.305434076321745,22.51495558664306,33.131214144774894
690.0,22.060414703619518,23.76102083902854,32.422954957998826
691.0,20.113097475625878,24.56424212195958,31.748050036030264
692.0,18.418725591376262,25.11348147800984,31.143802021538125
693.0,16.926203821501414,25.507553217555024,30.61260601375536
694.0,15.594332106663535,25.801726018356277,30.148171741902367
695.0,14.391948296912565,26.029681731451713,29.743444770599044
696.0,13.294899242153194,26.214517941853014,29.393116486394213
697.0,12.281030158570498,26.374012544225483,29.093164823351227
698.0,11.324885899961236,26.516686597446046,28.83379456045138
699.0,10.409348743003166,26.634002115677145,28.595884493251056
700.0,9.53656676647363,26.720267305540553,28.371090753986685
701.0,8.708585789468552,26.781706935688764,28.162018621569963
702.0,7.922030714395948,26.825190615909243,27.9705098669956
703.0,7.172198288066254,26.855207804381333,27.796449674371086
704.0,6.454732985158461,26.87464332423073,27.63892240508504
705.0,5.765906061500425,26.88548452630929,27.496817105339005
706.0,5.102562301147095,26.88919926193852,27.36905513504846
707.0,4.462017003185404,26.886934673689872,27.254666607463435
708.0,3.841962235630044,26.879628624590975,27.152810329981275
709.0,3.2403905971730538,26.868076836656996,27.062773030913736
710.0,2.655534266171335,26.852975957452678,26.98396153292436
711.0,2.085815695211483,26.834952526747415,26.91589315306438
712.0,1.5298067370778283,26.8145830048093,26.858186282297925
713.0,0.9861936110281891,26.79240756872337,26.81055167591704
714.0,0.45374558784717633,26.768938946972604,26.772784266961057
