requested_index,k_per_nm,kx_per_nm,ky_per_nm,kz_per_nm
516,0.47791441773974658,0,0.47791441773974658,0
517,0.47884060847180038,0,0.47884060847180038,0
518,0.47976679920385412,0,0.47976679920385412,0
519,0.48069298993590792,0,0.48069298993590792,0
520,0.48161918066796167,0,0.48161918066796167,0
521,0.48254537140001547,0,0.48254537140001547,0
522,0.48347156213206921,0,0.48347156213206921,0
523,0.48439775286412301,0,0.48439775286412301,0
524,0.48532394359617675,0,0.48532394359617675,0
525,0.48625013432823055,0,0.48625013432823055,0
526,0.4871763250602843,0,0.4871763250602843,0
527,0.4881025157923381,0,0.4881025157923381,0
528,0.48902870652439184,0,0.48902870652439184,0
529,0.48995489725644564,0,0.48995489725644564,0
530,0.49088108798849939,0,0.49088108798849939,0
531,0.49180727872055319,0,0.49180727872055319,0
532,0.49273346945260693,0,0.49273346945260693,0
533,0.49365966018466073,0,0.49365966018466073,0
534,0.49458585091671448,0,0.49458585091671448,0
535,0.49551204164876828,0,0.49551204164876828,0
536,0.49643823238082202,0,0.49643823238082202,0
537,0.49736442311287582,0,0.49736442311287582,0
538,0.49829061384492956,0,0.49829061384492956,0
539,0.49921680457698336,0,0.49921680457698336,0
540,0.50014299530903716,0,0.50014299530903716,0
541,0.50106918604109085,0,0.50106918604109085,0
542,0.50199537677314465,0,0.50199537677314465,0
543,0.50292156750519845,0,0.50292156750519845,0
544,0.50384775823725225,0,0.50384775823725225,0
545,0.50477394896930594,0,0.50477394896930594,0
546,0.50570013970135974,0,0.50570013970135974,0
547,0.50662633043341354,0,0.50662633043341354,0
548,0.50755252116546734,0,0.50755252116546734,0
549,0.50847871189752103,0,0.50847871189752103,0
550,0.50940490262957483,0,0.50940490262957483,0
551,0.51033109336162863,0,0.51033109336162863,0
552,0.51125728409368243,0,0.51125728409368243,0
553,0.51218347482573612,0,0.51218347482573612,0
554,0.51310966555778992,0,0.51310966555778992,0
555,0.51403585628984372,0,0.51403585628984372,0
556,0.51496204702189752,0,0.51496204702189752,0
557,0.51588823775395121,0,0.51588823775395121,0
558,0.51681442848600501,0,0.51681442848600501,0
559,0.51774061921805881,0,0.51774061921805881,0
560,0.51866680995011261,0,0.51866680995011261,0
561,0.51959300068216629,0,0.51959300068216629,0
562,0.52051919141422009,0,0.52051919141422009,0
563,0.52144538214627389,0,0.52144538214627389,0
564,0.52237157287832769,0,0.52237157287832769,0
565,0.52329776361038138,0,0.52329776361038138,0
566,0.52422395434243518,0,0.52422395434243518,0
567,0.52515014507448898,0,0.52515014507448898,0
568,0.52607633580654278,0,0.52607633580654278,0
569,0.52700252653859647,0,0.52700252653859647,0
570,0.52792871727065027,0,0.52792871727065027,0
571,0.52885490800270407,0,0.52885490800270407,0
572,0.52978109873475787,0,0.52978109873475787,0
573,0.53070728946681156,0,0.53070728946681156,0
574,0.53163348019886536,0,0.53163348019886536,0
575,0.53255967093091916,0,0.53255967093091916,0
576,0.53348586166297296,0,0.53348586166297296,0
577,0.53441205239502665,0,0.53441205239502665,0
578,0.53533824312708045,0,0.53533824312708045,0
579,0.53626443385913425,0,0.53626443385913425,0
580,0.53719062459118805,0,0.53719062459118805,0
581,0.53811681532324174,0,0.53811681532324174,0
582,0.53904300605529554,0,0.53904300605529554,0
583,0.53996919678734934,0,0.53996919678734934,0
584,0.54089538751940314,0,0.54089538751940314,0
585,0.54182157825145683,0,0.54182157825145683,0
586,0.54274776898351063,0,0.54274776898351063,0
587,0.54367395971556443,0,0.54367395971556443,0
588,0.54460015044761823,0,0.54460015044761823,0
589,0.54552634117967191,0,0.54552634117967191,0
590,0.54645253191172571,0,0.54645253191172571,0
591,0.54737872264377951,0,0.54737872264377951,0
592,0.54830491337583331,0,0.54830491337583331,0
593,0.549231104107887,0,0.549231104107887,0
594,0.5501572948399408,0,0.5501572948399408,0
595,0.5510834855719946,0,0.5510834855719946,0
596,0.5520096763040484,0,0.5520096763040484,0
597,0.55293586703610209,0,0.55293586703610209,0
598,0.55386205776815589,0,0.55386205776815589,0
599,0.55478824850020969,0,0.55478824850020969,0
600,0.55571443923226349,0,0.55571443923226349,0
601,0.55664062996431729,0,0.55664062996431729,0
602,0.55756682069637098,0,0.55756682069637098,0
603,0.55849301142842478,0,0.55849301142842478,0
604,0.55941920216047858,0,0.55941920216047858,0
605,0.56034539289253238,0,0.56034539289253238,0
606,0.56127158362458607,0,0.56127158362458607,0
607,0.56219777435663987,0,0.56219777435663987,0
608,0.56312396508869367,0,0.56312396508869367,0
609,0.56405015582074747,0,0.56405015582074747,0
610,0.56497634655280116,0,0.56497634655280116,0
611,0.56590253728485496,0,0.56590253728485496,0
612,0.56682872801690876,0,0.56682872801690876,0
613,0.56775491874896256,0,0.56775491874896256,0
614,0.56868110948101624,0,0.56868110948101624,0
615,0.56960730021307004,0,0.56960730021307004,0
616,0.57053349094512384,0,0.57053349094512384,0
617,0.57145968167717764,0,0.57145968167717764,0
618,0.57238587240923133,0,0.57238587240923133,0
619,0.57331206314128513,0,0.57331206314128513,0
620,0.57423825387333893,0,0.57423825387333893,0
621,0.57516444460539273,0,0.57516444460539273,0
622,0.57609063533744642,0,0.57609063533744642,0
623,0.57701682606950022,0,0.57701682606950022,0
624,0.57794301680155402,0,0.57794301680155402,0
625,0.57886920753360782,0,0.57886920753360782,0
626,0.57979539826566151,0,0.57979539826566151,0
627,0.58072158899771531,0,0.58072158899771531,0
628,0.58164777972976911,0,0.58164777972976911,0
629,0.58257397046182291,0,0.58257397046182291,0
630,0.5835001611938766,0,0.5835001611938766,0
631,0.5844263519259304,0,0.5844263519259304,0
632,0.5853525426579842,0,0.5853525426579842,0
633,0.586278733390038,0,0.586278733390038,0
634,0.58720492412209169,0,0.58720492412209169,0
635,0.58813111485414549,0,0.58813111485414549,0
636,0.58905730558619929,0,0.58905730558619929,0
637,0.58998349631825309,0,0.58998349631825309,0
638,0.59090968705030678,0,0.59090968705030678,0
639,0.59183587778236058,0,0.59183587778236058,0
640,0.59276206851441438,0,0.59276206851441438,0
641,0.59368825924646818,0,0.59368825924646818,0
642,0.59461444997852186,0,0.59461444997852186,0
643,0.59554064071057566,0,0.59554064071057566,0
644,0.59646683144262946,0,0.59646683144262946,0
645,0.59739302217468326,0,0.59739302217468326,0
646,0.59831921290673695,0,0.59831921290673695,0
647,0.59924540363879075,0,0.59924540363879075,0
648,0.60017159437084455,0,0.60017159437084455,0
649,0.60109778510289835,0,0.60109778510289835,0
650,0.60202397583495204,0,0.60202397583495204,0
651,0.60295016656700584,0,0.60295016656700584,0
652,0.60387635729905964,0,0.60387635729905964,0
653,0.60480254803111344,0,0.60480254803111344,0
654,0.60572873876316713,0,0.60572873876316713,0
655,0.60665492949522093,0,0.60665492949522093,0
656,0.60758112022727473,0,0.60758112022727473,0
657,0.60850731095932853,0,0.60850731095932853,0
658,0.60943350169138222,0,0.60943350169138222,0
659,0.61035969242343602,0,0.61035969242343602,0
660,0.61128588315548982,0,0.61128588315548982,0
661,0.61221207388754362,0,0.61221207388754362,0
662,0.61313826461959731,0,0.61313826461959731,0
663,0.61406445535165111,0,0.61406445535165111,0
664,0.61499064608370491,0,0.61499064608370491,0
665,0.61591683681575871,0,0.61591683681575871,0
666,0.61684302754781239,0,0.61684302754781239,0
667,0.61776921827986619,0,0.61776921827986619,0
668,0.61869540901191999,0,0.61869540901191999,0
669,0.61962159974397379,0,0.61962159974397379,0
670,0.62054779047602748,0,0.62054779047602748,0
671,0.62147398120808128,0,0.62147398120808128,0
672,0.62240017194013508,0,0.62240017194013508,0
673,0.62332636267218888,0,0.62332636267218888,0
674,0.62425255340424257,0,0.62425255340424257,0
675,0.62517874413629637,0,0.62517874413629637,0
676,0.62610493486835017,0,0.62610493486835017,0
677,0.62703112560040397,0,0.62703112560040397,0
678,0.62795731633245766,0,0.62795731633245766,0
679,0.62888350706451146,0,0.62888350706451146,0
680,0.62980969779656526,0,0.62980969779656526,0
681,0.63073588852861906,0,0.63073588852861906,0
682,0.63166207926067275,0,0.63166207926067275,0
683,0.63258826999272655,0,0.63258826999272655,0
684,0.63351446072478035,0,0.63351446072478035,0
685,0.63444065145683415,0,0.63444065145683415,0
686,0.63536684218888795,0,0.63536684218888795,0
687,0.63629303292094164,0,0.63629303292094164,0
688,0.63721922365299544,0,0.63721922365299544,0
689,0.63814541438504924,0,0.63814541438504924,0
690,0.63907160511710304,0,0.63907160511710304,0
691,0.63999779584915673,0,0.63999779584915673,0
692,0.64092398658121053,0,0.64092398658121053,0
693,0.64185017731326433,0,0.64185017731326433,0
694,0.64277636804531812,0,0.64277636804531812,0
695,0.64370255877737181,0,0.64370255877737181,0
696,0.64462874950942561,0,0.64462874950942561,0
