wavelength_nm,photon_energy_eV,chi2_raw_real_pm_per_V,chi2_raw_imag_pm_per_V,chi2_raw_abs_pm_per_V,chi2_scaled_real_pm_per_V,chi2_scaled_imag_pm_per_V,chi2_scaled_abs_pm_per_V
1.564000000000000000e+03,7.927378414322250322e-01,2.100892783478776238e+01,8.244159722825171732e-01,2.102509715703293836e+01,8.293992264815601629e+02,3.254663803347157369e+01,8.300375657375346918e+02
1.565000000000000000e+03,7.922312996805110918e-01,2.079288518004864983e+01,8.483618006398473410e-01,2.081018481069958170e+01,8.208702043374153163e+02,3.349198144524451948e+01,8.215531663806539200e+02
1.566000000000000000e+03,7.917254048531289223e-01,2.058157157013567584e+01,8.708078808443401320e-01,2.059998530732383415e+01,8.125278773997868029e+02,3.437811717313838500e+01,8.132548226061577452e+02
1.567000000000000000e+03,7.912201557115506878e-01,2.037517668091505740e+01,8.927487315045218308e-01,2.039472542291530033e+01,8.043797337717301161e+02,3.524430723809587818e+01,8.051514871720555675e+02
1.568000000000000000e+03,7.907155510204081361e-01,2.017254585208115003e+01,9.142509495443265077e-01,2.019325285715649798e+01,7.963801892915080316e+02,3.609318078129123819e+01,7.971976690852081902e+02
1.569000000000000000e+03,7.902115895474823848e-01,1.997380929579786724e+01,9.344698581053113573e-01,1.999565682093510688e+01,7.885343845293047025e+02,3.689139129696611263e+01,7.893968902502944047e+02
1.570000000000000000e+03,7.897082700636942620e-01,1.977949152167891711e+01,9.539734974988122174e-01,1.980248343744032269e+01,7.808630262946876428e+02,3.766136411774753157e+01,7.817707107466405887e+02
1.571000000000000000e+03,7.892055913430935377e-01,1.958877958508618278e+01,9.732227414271304999e-01,1.961294083347829087e+01,7.733340208197438415e+02,3.842129380811781658e+01,7.742878686736100917e+02
1.572000000000000000e+03,7.887035521628498191e-01,1.940135410824162321e+01,9.915479612293917056e-01,1.942667518112150660e+01,7.659347595751785320e+02,3.914474448816311991e+01,7.669343954645208896e+02
1.573000000000000000e+03,7.882021513032421156e-01,1.921774833795027959e+01,1.009016687827119618e+00,1.924421902434869835e+01,7.586862943010469280e+02,3.983438217180459162e+01,7.597313151129576454e+02
1.574000000000000000e+03,7.877013875476492899e-01,1.903761321022598807e+01,1.026245984119791954e+00,1.906525367159044748e+01,7.515748445035330860e+02,4.051456752587591836e+01,7.526660461800563553e+02
1.575000000000000000e+03,7.872012596825396225e-01,1.886035030325576045e+01,1.042883491242644789e+00,1.888916143024422567e+01,7.445767854364004279e+02,4.117138997996736549e+01,7.457142031393032084e+02
1.576000000000000000e+03,7.867017664974618185e-01,1.868634898337172956e+01,1.058633616203982664e+00,1.871631222922172810e+01,7.377074886663092457e+02,4.179317999051187371e+01,7.388903901987574727e+02
1.577000000000000000e+03,7.862029067850347941e-01,1.851561313158269328e+01,1.074100321551169523e+00,1.854674152349122807e+01,7.309671074093456582e+02,4.240378104317166930e+01,7.321960070644629468e+02
1.578000000000000000e+03,7.857046793409377949e-01,1.834746421664817717e+01,1.089189327480035274e+00,1.837976541124183427e+01,7.243288543258415757e+02,4.299947112046604047e+01,7.256040543751295218e+02
1.579000000000000000e+03,7.852070829639011817e-01,1.818212642041705962e+01,1.103459992824491254e+00,1.821557973614324411e+01,7.178015797604451791e+02,4.356285440642651707e+01,7.191222637289339445e+02
1.580000000000000000e+03,7.847101164556961050e-01,1.801976848730632241e+01,1.117396474928971539e+00,1.805437983477421326e+01,7.113919454757193535e+02,4.411304466688284975e+01,7.127583467049062165e+02
1.581000000000000000e+03,7.842137786211258454e-01,1.785979523385157819e+01,1.131059201891640331e+00,1.789557433314983825e+01,7.050764545703052590e+02,4.465242750752939571e+01,7.064889567939096651e+02
1.582000000000000000e+03,7.837180682680151556e-01,1.770227185961498506e+01,1.144027730376035557e+00,1.773920033258506024e+01,6.988576810197455416e+02,4.516440449075037122e+01,7.003155586971494131e+02
1.583000000000000000e+03,7.832229842072014891e-01,1.754741740346957357e+01,1.156614074735843767e+00,1.758549441015133397e+01,6.927442721321410772e+02,4.566129344949911939e+01,6.942474921030475343e+02
1.584000000000000000e+03,7.827285252525252313e-01,1.739477749997611511e+01,1.168980521087872315e+00,1.743401272605816743e+01,6.867182902789377295e+02,4.614950118286638769e+01,6.882672349190063414e+02
1.585000000000000000e+03,7.822346902208201502e-01,1.724428562834749101e+01,1.180763671015037541e+00,1.728466342393801725e+01,6.807771093247216641e+02,4.661468129638576841e+01,6.823711608009879228e+02
