wavelength_nm,C_m1_n1_l1_real,C_m1_n1_l1_imag,C_m1_n1_l1_magnitude,C_m1_n1_l2_real,C_m1_n1_l2_imag,C_m1_n1_l2_magnitude,V_m1_n1_l1_real,V_m1_n1_l1_imag,V_m1_n1_l1_magnitude,V_m1_n1_l2_real,V_m1_n1_l2_imag,V_m1_n1_l2_magnitude,C_m1_n2_l1_real,C_m1_n2_l1_imag,C_m1_n2_l1_magnitude,C_m1_n2_l2_real,C_m1_n2_l2_imag,C_m1_n2_l2_magnitude,V_m1_n2_l1_real,V_m1_n2_l1_imag,V_m1_n2_l1_magnitude,V_m1_n2_l2_real,V_m1_n2_l2_imag,V_m1_n2_l2_magnitude,C_m2_n1_l1_real,C_m2_n1_l1_imag,C_m2_n1_l1_magnitude,C_m2_n1_l2_real,C_m2_n1_l2_imag,C_m2_n1_l2_magnitude,V_m2_n1_l1_real,V_m2_n1_l1_imag,V_m2_n1_l1_magnitude,V_m2_n1_l2_real,V_m2_n1_l2_imag,V_m2_n1_l2_magnitude,C_m2_n2_l1_real,C_m2_n2_l1_imag,C_m2_n2_l1_magnitude,C_m2_n2_l2_real,C_m2_n2_l2_imag,C_m2_n2_l2_magnitude,V_m2_n2_l1_real,V_m2_n2_l1_imag,V_m2_n2_l1_magnitude,V_m2_n2_l2_real,V_m2_n2_l2_imag,V_m2_n2_l2_magnitude
1564.0,332.7876553614297,-707.822283572949,782.1508861360331,-2.1446233593583974,4.2383526884483524,4.750057143359759,-330.87493831934313,703.754032474247,777.6554269286574,-0.5711235621901896,1.1920333816617799,1.32178882817371,-5.197561475825629,0.32973766078984573,5.208010389767848,7.104971918552061,-0.43744579635304753,7.11842572400389,-4.816830315267696,0.29656727673445765,4.825951350325818,2.4097365024666217,-0.14740904731762264,2.4142409653038275,0.11376650933560556,-0.16601191370595372,0.20125301026002432,0.20911298752461796,-0.290129653877091,0.35763592885826173,-0.8464777296735988,1.250461449234077,1.5100259543643475,-0.11381674026913197,0.16608521237223647,0.20134186880582475,0.2663878952947369,-0.009665598045205894,0.26656319052924615,107.6231452955928,-3.7815741725519074,107.6895617343612,1.8676050464006193,-0.06617446396633171,1.8687770517165203,-73.41751940603065,2.5796848292821926,73.46282685517428
1565.0,335.78401355051415,-708.0228138651166,783.611644062012,-2.1622494604516587,4.23896091182744,4.7585830182129225,-333.85407475972335,703.9534102065132,779.1077890606989,-0.5761324707065185,1.1923652238946212,1.324259585940637,-5.136453762838379,0.317995585596109,5.146287832043128,7.023476722041036,-0.42193492590350096,7.03613916482253,-4.761580479293254,0.2860516502331789,4.7701650084025085,2.382234376487307,-0.14218110739821016,2.3864735682212888,0.11483315281396367,-0.16596340902357667,0.20181800246737688,0.21094602352740985,-0.29000420896224777,0.35860935020973117,-0.8545446055671146,1.2500856905146867,1.5142525273326892,-0.11488385469889727,0.1660366862737548,0.20190711047223328,0.26460170758291185,-0.009503800452620963,0.26477232838579645,106.9192151985409,-3.7186907247801737,106.9838643879462,1.8553150149568318,-0.06507353813735432,1.8564558626829732,-72.93731785255575,2.536787488432146,72.981419733287
1566.0,338.807904676104,-708.2209196484794,785.090865631966,-2.18003537584462,4.239554259852858,4.767218744946629,-336.8605858894026,704.1503773649845,780.5785087158124,-0.5811878764193552,1.1926933874081622,1.3267617962784413,-5.07754011297267,0.30704391408160314,5.086815267337813,6.944888787589089,-0.4074671751311101,6.956831877427395,-4.708301627607157,0.2762432088609866,4.716398469910067,2.3557128252029513,-0.13730487231873378,2.359710902375148,0.11591617462607672,-0.16591198801902932,0.2023940397056436,0.21280714134310943,-0.28987370500731313,0.35960206376117054,-0.8627343547286869,1.2496875316796572,1.5185616529020867,-0.11596735469388657,0.16598524256546937,0.20248340204623044,0.2628484453671172,-0.009347214901498173,0.26301459210151285,106.22814951002012,-3.657829292114794,106.29110717013648,1.8432498792607994,-0.06400800056484558,1.8443609032755115,-72.46589204114261,2.495269510105858,72.50884000759217
1567.0,341.85935881147776,-708.4168103720152,786.5889640877595,-2.1979812137797956,4.24013399245208,4.775966675980531,-339.8945016088111,704.3451421948181,782.0679967607297,-0.5862898354272843,1.1930182253699742,1.329296151047717,-5.020681969655847,0.29680613330483185,5.029447417082187,6.869024890273375,-0.3939416033630214,6.880311979122413,-4.656869542496376,0.26707351968125287,4.664521647580311,2.33011004641926,-0.13274630136949409,2.3338882597397945,0.11701614930750807,-0.16585748946008358,0.20298149178868197,0.2146973320133517,-0.2897378630306128,0.3606147163486225,-0.8710512912348475,1.2492657613322886,1.5229561038976263,-0.11706781504333585,0.16593071994396308,0.20307111350495569,0.2611270449144782,-0.00919559401346294,0.26128890626092094,105.54953414295257,-3.5988939784970726,105.61087157893724,1.8314023985182692,-0.06297617341867762,1.8324848549761412,-72.00295949309199,2.455065476676565,72.04480218765693
1568.0,344.93937722204157,-708.6099881521571,788.1061408638625,-2.2160928933296216,4.240697139307669,4.784828099231811,-342.95681742852156,704.5372096740633,783.5764534721646,-0.5914400390602947,1.193338899712114,1.3318629994747064,-4.965753015943976,0.2872152185921319,4.9740522310433795,6.79571797840384,-0.38126978529545197,6.806405034317339,-4.607170970924288,0.25848263457753484,4.614416282446306,2.305369693766965,-0.1284755749874631,2.3089468158248145,0.11813367938097791,-0.1657997403612929,0.20358074591660144,0.21661763487648716,-0.28959638370731355,0.3616479851953232,-0.8794999395123843,1.2488190797439227,1.5274387835637622,-0.11818583853599524,0.16587294534741234,0.20367063221947826,0.25943649223252674,-0.00904870581210179,0.2595942460433048,104.88297433970544,-3.541794855971438,104.94275876469561,1.8197656699235387,-0.06197648326673843,1.8208207429372003,-71.54825091571514,2.416114041791633,71.5890341893301
1569.0,348.04829902178017,-708.8007848594422,789.6430656121256,-2.234372368259964,4.241245693508595,4.79380693319504,-346.04787051344164,704.72690976581,785.1045446531027,-0.5966390640025826,1.1936559696289746,1.3344634676621032,-4.91263782679126,0.278212218415751,4.920509369536467,6.724815393189088,-0.36937394457050066,6.734952055018691,-4.559102417549506,0.2504178249081365,4.565974588271104,2.281440276075949,-0.12446646520158877,2.2848329554392555,0.11926940029177845,-0.16573855348996558,0.2041922083697286,0.21856914614928918,-0.2894489430331656,0.3627025810101799,-0.8880850714898565,1.248346080088168,1.5320127381567812,-0.11932206089772289,0.16581173146045733,0.20428236464950836,0.25777582004058647,-0.008906332543906806,0.2579296341194231,104.22809349623677,-3.486447507927106,104.28638832602175,1.8083331081003675,-0.06100745308621395,1.8093619149258122,-71.10150940019872,2.3783576187846975,71.14127651335319
1570.0,351.18688057911214,-708.9886353985838,791.1997915920059,-2.252824088098264,4.241776283628094,4.802903539762749,-349.168412884716,704.9136806226929,786.6523232568906,-0.6018881894059204,1.1939684838999154,1.3370976527885312,-4.861230693708678,0.26974508325864277,4.868708891215161,6.656177316112843,-0.3581854091335239,6.665807771819656,-4.512569092121539,0.24283253431246882,4.519098079361768,2.25827463357772,-0.12069581462306028,2.26149768965792,0.12042398276457107,-0.16567372864945523,0.20481630791881547,0.22055302299880142,-0.28929519458328956,0.36377925389292504,-0.8968117243152565,1.2478452581262454,1.5366811826457236,-0.12047715314932275,0.1657468779980594,0.20490673975511142,0.25614410496674767,-0.008768269605757412,0.2562941377813693,103.58453207377897,-3.4327726136048495,103.64139719610336,1.7970984260733045,-0.0600676949965189,1.7981020218489672,-70.66248967918524,2.341742097237751,70.7012814856346
1571.0,354.35577536774014,-709.1738459827733,792.7771183393669,-2.271451882994369,4.242290749942232,4.812122656770512,-352.3190942601684,705.0978266979232,788.2205842240102,-0.6071885214721218,1.1942769584036492,1.339766902853393,-4.811434597564296,0.26176769113591997,4.818550114999462,6.589675411987458,-0.3476433259518086,6.598839134077365,-4.467483989536158,0.23568550735193006,4.473696553761514,2.235829480127371,-0.11714310292389674,2.238896150063524,0.12159813353293562,-0.16560505059620342,0.20545349561802237,0.22257048477275523,-0.28913476589383624,0.36487879294426356,-0.9056852058191245,1.2473149965334924,1.5414474991438976,-0.12165182233641657,0.1656781696216241,0.20554420878960009,0.2545404649506834,-0.00863432456789074,0.2546868662849613,102.95194659039782,-3.3806955695898404,103.00743861142442,1.7860556176355213,-0.05915590363904839,1.7870349997195791,-70.23095743884275,2.306216584774056,70.26881255373844
1572.0,357.55553464111534,-709.3559272807655,794.375095229482,-2.2902589711657995,4.2427861752471125,4.821464578722263,-355.5004627248879,705.2788614727164,789.8093766459476,-0.6125409942103074,1.1945805694970435,1.3424713056926143,-4.763160308813287,0.25423903257159386,4.769940629938409,6.525191640323904,-0.3376935860329022,6.533924004838189,-4.4237670840012076,0.228940060723876,4.429687208471587,2.2140650022130264,-0.11379008425349219,2.2169871486544492,0.12279259914337698,-0.16553228648372936,0.2061042461302472,0.22462281959355718,-0.28896725402296985,0.3660020286552184,-0.9147111231345745,1.2467535456699008,1.546315246780741,-0.12284681533512923,0.16560537338186304,0.2061952466254487,0.25296405683454576,-0.008504316282601204,0.2531069683861466,102.33000868553772,-3.3301461445108433,102.38418115571383,1.77519894099267,-0.058270850137657586,1.7761550529380206,-69.80668868072381,2.2717331715035387,69.84364363469308
1573.0,360.7870551450011,-709.5350297271964,795.9945085050371,-2.309250633092101,4.2432634690048685,4.830934004292287,-358.7134098705375,705.4569345170763,791.4194822464119,-0.6179471236246229,1.1948795706580844,1.3452121899432792,-4.716325597497511,0.24712252560213585,4.7227954311265945,6.46261721169052,-0.3282879209318506,6.470950021740881,-4.3813446214979,0.2225634707368414,4.386993867198244,2.1929445068817426,-0.11062048250088517,2.195732793718657,0.12400816945006654,-0.16545518523898572,0.20676906057924502,0.22671139040606425,-0.2887922244866801,0.36714983789158334,-0.9238954089807303,1.2461590189078688,1.551288183137193,-0.1240629223483734,0.16552823809487344,0.2068603546076716,0.251414074125914,-0.008378074070030668,0.251553630054733,101.71840425133631,-3.2810581636000693,101.7713078726573,1.7645229035741081,-0.05741137658136232,1.7654566387760897,-69.38946912917227,2.2382467148382803,69.42555850970761
1574.0,364.0507952276041,-709.710840322479,797.6355423231153,-2.3284295267644426,4.243720769469367,4.840531998689211,-361.9583914109397,705.6317346303999,793.0510841240318,-0.6234076875608656,1.1951734351248773,1.347989868262438,-4.670854537967997,0.24038543738432344,4.677036163358444,6.401851669185823,-0.31938313985713884,6.4098135998079,-4.340148497063399,0.21652645610494786,4.345546304293057,2.172434111876005,-0.10761973398252266,2.1750981535519163,0.12524568003584963,-0.165373475802522,0.20744846797855548,0.22883763914779642,-0.2886092082130775,0.3683231463757289,-0.9332443398565673,1.2455293794017057,1.5563702749754373,-0.1253009793279269,0.16544649258152486,0.2075400619833822,0.2498897449183476,-0.008255436973390949,0.250026072350422,101.1168326251028,-3.233369220147711,101.16851544154858,1.7540222479134824,-0.05657639097739397,1.754934452961561,-68.97909368045428,2.2057146426548253,69.01435026182388
1575.0,367.347765736896,-709.8832889068314,799.2988582883559,-2.347801609972513,4.244157668187976,4.850262540546472,-365.23641238415735,705.8031920561538,794.7048400808353,-0.6289243943301573,1.1954620448651314,1.350805461380978,-4.626676895506653,0.2339983936554173,4.632590457146886,6.342802078087445,-0.310940482644706,6.350419055899991,-4.300115705411661,0.21080273929530438,4.305279651175105,2.1525024722659762,-0.10477476921317216,2.1550509612013387,0.12650601592435212,-0.16528686438176682,0.20814302679217722,0.23100309316784873,-0.28841769677879253,0.36952293145121223,-0.9427645639576869,1.244862419428418,1.561565709907688,-0.12656187168817676,0.16535984291952838,0.20823492746315547,0.24839032995646834,-0.008136253076815805,0.2485235494475588,100.52500583788915,-3.187020411216349,100.57551341061678,1.7436919385100138,-0.05576486262853477,1.7445834162712854,-68.57536589015487,2.1740967730058878,68.60982075291416
1576.0,370.67848087429843,-710.0522550329578,800.9848569484109,-2.3673698695776455,4.2445734555796175,4.860127973540941,-368.5479840362079,705.9711870393191,796.3811483623016,-0.6344981161148259,1.1957451972689859,1.3536596456070886,-4.583727583909905,0.22793496094880022,4.589391344167467,6.285382309231488,-0.302925068689711,6.292677837808068,-4.261187855099004,0.20536867293016836,4.266133873692239,2.133120538703505,-0.10207382704373996,2.1355613544934937,0.12779011599147394,-0.1651950322848631,0.20885332756916114,0.23320937285958904,-0.2882171386622392,0.3707502267136343,-0.9524631343554182,1.244155744105612,1.5668789161569365,-0.12784653871956142,0.16526797027631623,0.2089455418567854,0.24691512083375516,-0.008020378879790756,0.2470453467963388,99.94264791456784,-3.14195609527137,99.99202348327533,1.7335271495903188,-0.054975817893744,1.7343986620497094,-68.17809749570988,2.1433551487825593,68.21178013677941
1577.0,374.0439304722404,-710.2174776389606,802.6940434978758,-2.3871401325599737,4.244966583246147,4.870131343747817,-371.89409051039974,706.1354600184675,798.0805112593905,-0.6401305260481875,1.1960224528174157,1.3565532787259469,-4.541946184693702,0.2221712893455493,4.547376741206203,6.229512403785195,-0.29530542572038415,6.23650784360715,-4.2233107378704124,0.20020292031820736,4.228053310675667,2.1142613431355,-0.09950629572983119,2.116601646500116,0.12909897711417237,-0.1650976335514978,0.2095799954581311,0.23545819882883573,-0.288006935146028,0.37200612641182124,-0.962347540192458,1.2434067535829465,1.572314581427698,-0.1291559777391861,0.16517052853882522,0.20967253058891622,0.24546343831232184,-0.00790767872276611,0.24559077940934493,99.36949422125517,-3.098123669638093,99.41777885298201,1.723523253698001,-0.05420833629553866,1.7243755245774264,-67.78710797123684,2.1134538859017367,67.82004640540991
1578.0,377.4448064391117,-710.378951087617,804.4270234497357,-2.4071164424111124,4.245337028940308,4.880276227491396,-375.2754197383369,706.2960053887771,799.8035308048649,-0.6458227958252951,1.1962938021155247,1.3594873830189154,-4.501276519930291,0.21668580582070562,4.506488993365003,6.175118008860914,-0.2880530853029173,6.181832819100732,-4.186433946032882,0.1952861812262089,4.19098626543614,2.0958998084165246,-0.09706257650845641,2.098146122337261,0.13043365878776095,-0.16499429175460742,0.2103236925702061,0.2377513998730718,-0.2877864347777272,0.3732917896012184,-0.972425741403473,1.2426126189930105,1.5778776706147923,-0.13049124871015938,0.1650671411137886,0.21041655606300583,0.2440346307549554,-0.00779802425913912,0.24415919026334756,98.80529085630806,-3.0554733659208835,98.85252358280736,1.7136758110450854,-0.05346154694152017,1.7145095282215295,-67.40222411208937,2.084359033746736,67.43444496574345
1579.0,380.88200356399363,-710.5363323479264,806.1842098586185,-2.4273040526297702,4.245682755650615,4.890565102883501,-378.69286136624703,706.4524820908379,801.5506176792961,-0.6515764388012038,1.196558667590079,1.3624626602537788,-4.461666271870827,0.21145895005676657,4.4666744686745234,6.122129874929409,-0.28114223435836794,6.128581823019352,-4.150510531725746,0.19060095562424992,4.154884643194226,2.078012578769973,-0.0947339660671973,2.080170858812577,0.13179528857551281,-0.16488459647301357,0.21108512085121303,0.2400909224047449,-0.2875549272622456,0.37460844519839187,-0.9827062096991216,1.241770255929397,1.583573447331122,-0.13185347969360361,0.1649573973988162,0.21117832053480895,0.24262807266057979,-0.007691293969300537,0.2427499488072238,98.2497940814643,-3.013958061717103,98.29601202616476,1.7039805595653306,-0.05273462523089025,1.704796377305753,-67.0232796467974,2.0560384467237784,67.0548082445041
1580.0,384.3564266510838,-710.6896006575001,807.966318104107,-2.447708272902002,4.246003652102039,4.9010022243309335,-382.1473149979107,706.6048694815944,803.3224831505797,-0.6573929854233926,1.1968170142624988,1.3654803194891105,-4.423066643475581,0.2064729460485523,4.427883197429253,6.070483407268849,-0.274549413886978,6.076688751169677,-4.115496702824565,0.1861313394352275,4.119703628476182,2.0605778684785583,-0.09251255493593273,2.0626535639521273,0.13318506803604063,-0.16476809952379962,0.21186502535446833,0.242478840699265,-0.2873116369410183,0.37595739773089587,-0.9931979731421847,1.240876296120821,1.5894074984497435,-0.13324387277865168,0.16484084901310705,0.21195856938660318,0.24124316329509382,-0.0075873727128909964,0.24136244956767328,97.70276979000643,-2.973533107132812,97.7480082854797,1.6944334056148396,-0.05202678981984715,1.6952319466440167,-66.65011487426291,2.0284616659158154,66.68097531892086
1581.0,387.8689036228978,-710.838453894387,809.7737918286757,-2.468333951286828,4.246297926954179,4.911590229195694,-385.63960379731043,706.7528671755603,805.1195683113297,-0.6632738367650723,1.1970683333926158,1.3685411127724423,-4.385432054794584,0.2017116039913281,4.390068550535926,6.0201182647703115,-0.2682532576353381,6.0260919120150405,-4.08135155095053,0.1818628473637286,4.08540139737793,2.04357532655068,-0.09039113935072644,2.045573433871256,0.13460427912914444,-0.16464431058172635,0.21266419766102754,0.24491736796827923,-0.28705571520893364,0.37734003334740657,-1.0039106643209907,1.2399270544948024,1.5953857597476448,-0.13466371049112244,0.16471700541493023,0.21275809454894776,0.2398793254102722,-0.007486151315811349,0.23999611084517702,97.16399300910817,-2.9341561647617143,97.20828570586579,1.6850304152703548,-0.05133729982245207,1.6858122726861506,-66.28257632427463,2.00159980992062,66.31279157132782
