z_nm,x_al,in_grade_window
10.550000,0.0000000000,False
10.600000,0.0000000000,False
10.650000,0.0000000000,False
10.700000,0.0000000000,False
10.750000,0.0000000000,False
10.800000,0.0000000000,False
10.850000,0.0000000000,False
10.900000,0.0000000000,False
10.950000,0.0000000000,False
11.000000,0.0000000000,False
11.050000,0.0000000000,False
11.100000,0.0000000000,False
11.150000,0.0000000000,False
11.200000,0.0000000000,False
11.250000,0.0000000000,False
11.300000,0.0000000000,False
11.350000,0.0000000000,False
11.400000,0.0000000000,False
11.450000,0.0000000000,False
11.500000,0.0000000000,False
11.550000,0.0000000000,False
11.600000,0.0000000000,False
11.650000,0.0000000000,False
11.700000,0.0000000000,False
11.750000,0.0000000000,False
11.800000,0.0000000000,False
11.850000,0.0000000000,False
11.900000,0.0000000000,False
11.950000,0.0000000000,False
12.000000,0.0000000000,False
12.050000,0.0000000000,False
12.100000,0.0000000000,False
12.150000,0.0000000000,False
12.200000,0.0000000000,False
12.250000,0.0000000000,False
12.300000,0.0000000000,False
12.350000,0.0000000000,False
12.400000,0.0000000000,False
12.450000,0.0000000000,False
12.500000,0.0000000000,False
12.550000,0.0000000000,False
12.600000,0.0000000000,False
12.650000,0.0000000000,False
12.700000,0.0000000000,False
12.750000,0.0000000000,False
12.800000,0.0000000000,False
12.850000,0.0000000000,False
12.900000,0.0000000000,False
12.950000,0.0000000000,False
13.000000,0.0000000000,False
13.050000,0.0000000000,False
13.100000,0.0000000000,False
13.150000,0.0000000000,False
13.200000,0.0000000000,False
13.250000,0.0000000000,False
13.300000,0.0000000000,False
13.350000,0.0000000000,False
13.400000,0.0000000000,False
13.450000,0.0000000000,False
13.500000,0.0000000000,False
13.550000,0.0000000000,False
13.600000,0.0000000000,False
13.650000,0.0000000000,False
13.700000,0.0000000000,False
13.750000,0.0000000000,False
13.800000,0.0000000000,False
13.850000,0.0000000000,False
13.900000,0.0000000000,False
13.950000,0.0000000000,False
14.000000,0.0000000000,False
14.050000,0.0000000000,False
14.100000,0.0000000000,False
14.150000,0.0000000000,False
14.200000,0.0000000000,False
14.250000,0.0000000000,False
14.300000,0.0000000000,False
14.350000,0.0000000000,False
14.400000,0.0000000000,False
14.450000,0.0000000000,False
14.500000,0.0000000000,False
14.550000,0.0000000000,False
14.600000,0.0000000000,False
14.650000,0.0000000000,False
14.700000,0.0000000000,False
14.750000,0.0000000000,False
14.800000,0.0000000000,False
14.850000,0.0000000000,False
14.900000,0.0000000000,False
14.950000,0.0000000000,False
15.000000,0.0000000000,False
15.050000,0.0000000000,False
15.100000,0.0000000000,False
15.150000,0.0000000000,False
15.200000,0.0000000000,False
15.250000,0.0000000000,False
15.300000,0.0000000000,False
15.350000,0.0000000000,False
15.400000,0.0000000000,False
15.450000,0.0000000000,False
15.500000,0.0000000000,False
15.550000,0.0000000000,False
15.600000,0.0000000000,False
15.650000,0.0000000000,False
15.700000,0.0000000000,True
15.750000,0.0275000000,True
15.800000,0.0550000000,True
15.850000,0.0825000000,True
15.900000,0.1100000000,True
15.950000,0.1375000000,True
16.000000,0.1650000000,True
16.050000,0.1925000000,True
16.100000,0.2200000000,True
16.150000,0.2475000000,True
16.200000,0.2750000000,True
16.250000,0.3025000000,True
16.300000,0.3300000000,True
16.350000,0.3575000000,True
16.400000,0.3850000000,True
16.450000,0.4125000000,True
16.500000,0.4400000000,True
16.550000,0.4675000000,True
16.600000,0.4950000000,True
16.650000,0.5225000000,True
16.700000,0.5500000000,True
16.750000,0.5500000000,False
16.800000,0.5500000000,False
16.850000,0.5500000000,False
16.900000,0.5500000000,False
16.950000,0.5500000000,False
17.000000,0.5500000000,False
17.050000,0.5500000000,False
17.100000,0.5500000000,False
17.150000,0.5500000000,False
17.200000,0.5500000000,False
17.250000,0.5500000000,False
17.300000,0.5500000000,False
17.350000,0.5500000000,False
17.400000,0.5500000000,False
17.450000,0.5500000000,False
17.500000,0.5500000000,True
17.550000,0.5225000000,True
17.600000,0.4950000000,True
17.650000,0.4675000000,True
17.700000,0.4400000000,True
17.750000,0.4125000000,True
17.800000,0.3850000000,True
17.850000,0.3575000000,True
17.900000,0.3300000000,True
17.950000,0.3025000000,True
18.000000,0.2750000000,True
18.050000,0.2475000000,True
18.100000,0.2200000000,True
18.150000,0.1925000000,True
18.200000,0.1650000000,True
18.250000,0.1375000000,True
18.300000,0.1100000000,True
18.350000,0.0825000000,True
18.400000,0.0550000000,True
18.450000,0.0275000000,True
18.500000,0.0000000000,True
18.550000,0.0000000000,False
18.600000,0.0000000000,False
18.650000,0.0000000000,False
18.700000,0.0000000000,False
18.750000,0.0000000000,False
18.800000,0.0000000000,False
18.850000,0.0000000000,False
18.900000,0.0000000000,False
18.950000,0.0000000000,False
19.000000,0.0000000000,False
19.050000,0.0000000000,False
19.100000,0.0000000000,False
19.150000,0.0000000000,False
19.200000,0.0000000000,False
19.250000,0.0000000000,False
19.300000,0.0000000000,False
19.350000,0.0000000000,False
19.400000,0.0000000000,False
19.450000,0.0000000000,False
19.500000,0.0000000000,False
19.550000,0.0000000000,False
19.600000,0.0000000000,False
19.650000,0.0000000000,False
19.700000,0.0000000000,False
19.750000,0.0000000000,False
19.800000,0.0000000000,False
19.850000,0.0000000000,False
19.900000,0.0000000000,False
19.950000,0.0000000000,False
20.000000,0.0000000000,False
20.050000,0.0000000000,False
