x[nm]                 E_14[eV]              Psi^2_14_lh1[nm^-1/2]
17.55                 3.0911484520155       3.0931923052253
17.6                  3.0911484520155       3.0934040951007
17.65                 3.0911484520155       3.0936155448936
17.7                  3.0911484520155       3.0938200222016
17.75                 3.0911484520155       3.0940129860531
17.8                  3.0911484520155       3.0941906652846
17.85                 3.0911484520155       3.0943495709817
17.9                  3.0911484520155       3.0944863271828
17.95                 3.0911484520155       3.0945976427647
18                    3.0911484520155       3.0946803618145
18.05                 3.0911484520155       3.0947315709643
18.1                  3.0911484520155       3.0947487572839
18.15                 3.0911484520155       3.0947300150952
18.2                  3.0911484520155       3.0946742999154
18.25                 3.0911484520155       3.0945817244956
18.3                  3.0911484520155       3.0944538863157
18.35                 3.0911484520155       3.0942942086991
18.4                  3.0911484520155       3.0941082707397
18.45                 3.0911484520155       3.0939040989262
18.5                  3.0911484520155       3.0936924054045
18.55                 3.0911484520155       3.0934662289352
18.6                  3.0911484520155       3.0932208186314
18.65                 3.0911484520155       3.0929690741242
18.7                  3.0911484520155       3.0927200020629
18.75                 3.0911484520155       3.0924799161632
18.8                  3.0911484520155       3.0922532865156
18.85                 3.0911484520155       3.0920433239773
18.9                  3.0911484520155       3.091852374965
18.95                 3.0911484520155       3.0916821847973
19                    3.0911484520155       3.0915340717342
19.05                 3.0911484520155       3.0914090411829
19.1                  3.0911484520155       3.0913078602168
19.15                 3.0911484520155       3.0912311059762
19.2                  3.0911484520155       3.0911791969958
19.25                 3.0911484520155       3.0911524134386
19.3                  3.0911484520155       3.0911509101634
19.35                 3.0911484520155       3.0911747251839
19.4                  3.0911484520155       3.0912237851624
19.45                 3.0911484520155       3.0912979089733
19.5                  3.0911484520155       3.0913968099421
19.55                 3.0911484520155       3.0915200970647
19.6                  3.0911484520155       3.0916672752609
19.65                 3.0911484520155       3.0918377444827
19.7                  3.0911484520155       3.0920307972408
19.75                 3.0911484520155       3.0922456137773
19.8                  3.0911484520155       3.0924812536515
19.85                 3.0911484520155       3.0927366418297
19.9                  3.0911484520155       3.0930105463751
19.95                 3.0911484520155       3.0933015433449
20                    3.0911484520155       3.0936079622884
20.05                 3.0911484520155       3.09392780245
20.1                  3.0911484520155       3.0942586049425
20.15                 3.0911484520155       3.0945972591009
20.2                  3.0911484520155       3.0949397111633
20.25                 3.0911484520155       3.0952805294484
20.3                  3.0911484520155       3.0956122617897
20.35                 3.0911484520155       3.0959244989622
20.4                  3.0911484520155       3.0962025371484
20.45                 3.0911484520155       3.0964538481817
20.5                  3.0911484520155       3.0966881148079
20.55                 3.0911484520155       3.0968942305238
20.6                  3.0911484520155       3.0970647164195
20.65                 3.0911484520155       3.0971950986732
20.7                  3.0911484520155       3.0972833374495
20.75                 3.0911484520155       3.0973293042409
20.8                  3.0911484520155       3.0973343151046
20.85                 3.0911484520155       3.0973007269593
20.9                  3.0911484520155       3.0972316004066
20.95                 3.0911484520155       3.0971304288147
21.002630398234       3.0911484520155       3.0969933594184
21.058029574601       3.0911484520155       3.0968198957577
21.116343188881       3.0911484520155       3.0966104020845
21.177724563722       3.0911484520155       3.0963662911599
21.242335087763       3.0911484520155       3.0960905487703
21.310344639971       3.0911484520155       3.095789812133
21.3819320363         3.0911484520155       3.0954852921321
21.457285499847       3.0911484520155       3.0952094052189
21.536603155744       3.0911484520155       3.0949461796987
21.620093552081       3.0911484520155       3.0947048430449
21.707976208241       3.0911484520155       3.0944883278541
21.800482192072       3.0911484520155       3.0942981941029
21.897854727434       3.0911484520155       3.0941358495016
22.000349833698       3.0911484520155       3.0940028644198
22.108236998893       3.0911484520155       3.0939010910995
22.221799888265       3.0911484520155       3.0938327609411
22.34133709011        3.0911484520155       3.0937991699555
22.467162900849       3.0911484520155       3.0938192178829
22.599608151396       3.0911484520155       3.0937199373995
22.739021077007       3.0911484520155       3.0950058998326
22.885768232885       3.0911484520155       3.0911591564196
