model,wavelength_nm,k_per_nm,F_real,F_imag,cumulative_real_pm_per_V,cumulative_imag_pm_per_V,cumulative_magnitude_pm_per_V
demo21,600.0,0.263233155425809,1.0372034324772827,0.016910691140241803,0.5891321972693988,0.00894223062304317,0.589200058849272
demo21,600.0,0.2690827811019381,1.0468496818291797,0.01719067398326942,0.6184133106032711,0.009421376394143954,0.6184850726286432
demo21,600.0,0.2749324067780672,1.0568735636434883,0.017483923574011927,0.6486204170132591,0.009919284492901782,0.6486962598715251
demo21,600.0,0.2807820324541963,1.0672902404189046,0.01779115369636241,0.6797769660163572,0.010436708665471906,0.6798570794028489
demo21,600.0,0.2866316581303254,1.0781158282538952,0.018113131752377658,0.7119075893670068,0.010974450088101297,0.7119921729577362
demo21,600.0,0.29248128380645444,1.0893674680155954,0.018450683551290967,0.7450381699388877,0.011533360909542704,0.7451274341210078
demo21,600.0,0.29833090948258356,1.1010634031416227,0.01880469861393922,0.7791959159850433,0.012114348123892182,0.7792900826510225
demo21,600.0,0.30418053515871263,1.113223064799282,0.019176136056871053,0.8144094412749231,0.01271837780997404,0.8145087446871578
demo21,600.0,0.31003016083484175,1.1258671652187369,0.019566031129593764,0.8507088516621579,0.013346479777998212,0.8508135393955669
demo21,600.0,0.3158797865109708,1.1390178001223323,0.019975502489095076,0.8881258386991856,0.013999752669484538,0.888236172670275
demo21,600.0,0.3217294121870999,1.152698561293374,0.02040576030820912,0.9266937809852823,0.014679369562496943,0.9268100385772431
demo21,600.0,0.327579037863229,1.166934660466858,0.020858115328903,0.9664478540142802,0.015386584141186812,0.9665703293089135
demo21,600.0,0.33342866353935807,1.1817530658853288,0.021333988988537875,1.0074251493787398,0.016122737496664145,1.0075541545074203
demo21,600.0,0.3392782892154872,1.1971826530483725,0.02183492476706634,1.049664804290204,0.016889265635480342,1.0498006709177214
demo21,600.0,0.34512791489161626,1.2132543713989703,0.02236260092654225,1.0932081424923348,0.01768770778273636,1.0933512234493308
demo21,600.0,0.3509775405677453,1.2300014289392767,0.022918844841929235,1.1380988277775586,0.018519715579287367,1.1382494988594507
demo21,600.0,0.35682716624387445,1.2474594970582182,0.023505649154836376,1.1843830314709147,0.019387063287012906,1.1845416934237174
demo21,600.0,0.3626767919200035,1.2656669381917625,0.0241251900205278,1.2321096154204418,0.02029165913303986,1.2322766961368217
demo21,600.0,0.36852641759613264,1.2846650593323865,0.024779847764596123,1.2813303322353062,0.021235557943600467,1.281506289187617
demo21,600.0,0.3743760432722617,1.304498394868514,0.025472230320633317,1.332100044745571,0.022220975241433096,1.3322853676866053
demo21,600.0,0.38022566894839077,1.3252150227808435,0.02620519988599008,1.3844769669263892,0.023250303007964074,1.3846721808932454
demo21,600.0,0.3860752946245199,1.3468669188667612,0.026981903311689773,1.4385229288409,0.024326127343764832,1.4387285975028599
demo21,600.0,0.39192492030064896,1.3695103544267662,0.027805806837733087,1.494303668518027,0.025451248298968103,1.4945203979158028
demo21,600.0,0.3977745459767781,1.3932063437523947,0.02868073590013117,1.551889154103042,0.026628702190686505,1.5521175968344072
demo21,600.0,0.40362417165290715,1.4180211488338235,0.02961092087572527,1.6113539401114805,0.02786178677853381,1.611594800027378
demo21,600.0,0.4094737973290362,1.4440268499952404,0.030601049801127184,1.672777562194615,0.029154089733997732,1.6730315996806446
demo21,600.0,0.41532342300516534,1.4713019927133435,0.031656329310447553,1.7362449755038898,0.03050952091700779,1.7365130134349953
demo21,600.0,0.4211730486812944,1.4999323227379864,0.03278255529246665,1.8018470425431545,0.03193234906653011,1.8021299730148264
demo21,600.0,0.4270226743574235,1.5300116238872263,0.033986195083805223,1.8696810773464687,0.033427243625102736,1.869979869304433
demo21,600.0,0.4328723000335526,1.5616426756243875,0.03527448340630003,1.9398514539468545,0.03499932255456981,1.9401671618597724
demo21,600.0,0.43872192570968166,1.5949383508598078,0.0366555347446363,2.01247028844657,0.0366542071678077,2.012804062193666
demo21,600.0,0.4445715513858108,1.6300228785041417,0.03813847547102517,2.0876582056104085,0.038398085206514054,2.088011301789336
demo21,600.0,0.45042117706193985,1.6670333003253068,0.039733599792283025,2.165545202840948,0.04023778364784366,2.1659189977421436
demo21,600.0,0.45627080273806897,1.706121157874156,0.04145255456715334,2.2462716267347607,0.04218085303531807,2.2466676312789158
demo21,600.0,0.46212042841419804,1.747454452965449,0.043308559279295306,2.329989280258007,0.04423566551822591,2.3304091572556667
demo21,600.0,0.4679700540903271,1.7912199348480264,0.045316669035801865,2.416862682041727,0.046411529269845285,2.4173082662116343
demo21,600.0,0.4738196797664562,1.8376257793205206,0.047494090502502195,2.507070503539152,0.048718822566095964,2.5075438248190767
demo21,600.0,0.4796693054425853,1.886904740371775,0.04986056333497957,2.600807215013033,0.05116915157952473,2.6013105258190947
demo21,600.0,0.4855189311187144,1.9393178744152113,0.052438823122458886,2.6982849777943643,0.05377553692799747,2.6988207850397603
