solver_case_id,case_id,quantity,row_band,row_state,column_band,column_state,value,absolute_value,unit,source
Solve_00,Solve_00,z,heavy_hole,3,heavy_hole,2,1.441643942058061,1.441643942058061,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,3,heavy_hole,3,70.02564708251897,70.02564708251897,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,3,heavy_hole,4,0.4851327407808408,0.4851327407808408,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,3,heavy_hole,5,0.4072270206149513,0.4072270206149513,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,3,heavy_hole,6,-0.6170720541569742,0.6170720541569742,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,4,heavy_hole,1,0.0003981199850873196,0.0003981199850873196,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,4,heavy_hole,2,-1.545178511115953,1.545178511115953,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,4,heavy_hole,3,0.4851327407808399,0.4851327407808399,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,4,heavy_hole,4,63.55995340431154,63.55995340431154,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,4,heavy_hole,5,1.5625055501040013,1.5625055501040013,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,4,heavy_hole,6,0.6787094125983604,0.6787094125983604,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,5,heavy_hole,1,-0.10444079418245611,0.10444079418245611,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,5,heavy_hole,2,0.08009739259491333,0.08009739259491333,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,5,heavy_hole,3,0.4072270206149513,0.4072270206149513,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,5,heavy_hole,4,1.5625055501040013,1.5625055501040013,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,5,heavy_hole,5,65.35039620190383,65.35039620190383,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,5,heavy_hole,6,-3.0246705534853966,3.0246705534853966,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,6,heavy_hole,1,-0.05737253943536924,0.05737253943536924,nm,python_trapezoidal_envelope_integral
Solve_00,Solve_00,z,heavy_hole,6,heavy_hole,2,-0.11434374675704184,0.11434374675704184,nm,python_trapezoidal_envelope_integral
