x[nm]                Psi_1[nm^-1/2]       Psi_2[nm^-1/2]       Psi_3[nm^-1/2]       Psi_4[nm^-1/2]       Psi_5[nm^-1/2]       Psi_6[nm^-1/2]      
13.1                 0.44752970738586     -0.025591935027318   -0.13966492905948    -0.37609536738108    -0.070260325973493   0.25060596386266
13.15                0.44650195909631     -0.021475220792744   -0.15291785978535    -0.36883792084033    -0.057904860700882   0.26576785645807
13.2                 0.44535837684347     -0.017341618611502   -0.16600667044564    -0.36075547259054    -0.04537608505629    0.27988977009452
13.25                0.44409925730167     -0.013194379116211   -0.17891731339108    -0.3518661011243     -0.032711497908401   0.29291644416511
13.3                 0.44272492711854     -0.0090367636637652  -0.19163593219199    -0.34218968982735    -0.019949004612359   0.30479690385626
13.35                0.44123574283027     -0.0048720417706324  -0.20414887650987    -0.3317478825042     -0.0071268035583135  0.31548465961778
13.4                 0.43963209076915     -0.00070348854172995 -0.21644271674765    -0.32056403496617    0.0057167281571096   0.32493788908161
13.45                0.43791438696329     0.0034656179050923   -0.2285042584631     -0.30866316279005    0.0185431495942      0.33311960071737
13.5                 0.43608307702876     0.0076319990169382   -0.24032055652986    -0.29607188536429    0.031314071024642    0.33999777858429
13.55                0.43413863605392     0.011792378384094    -0.25187892903087    -0.28281836634778    0.043991268832719    0.34554550761315
13.6                 0.4320815684762      0.01594348431657     -0.26316697086935    -0.26893225067458    0.056536799919334    0.34974107892786
13.65                0.42991240795126     0.020082052416937    -0.2741725670826     -0.2544445982453     0.068913115266441    0.35256807479475
13.7                 0.42763171721449     0.024204828147414    -0.28488390584448    -0.23938781445358    0.08108317232199     0.35401543286693
13.75                0.42524008793508     0.028308569389222    -0.29528949114255    -0.22379557770301    0.093010545868999    0.3540774894725
13.8                 0.42273814056249     0.032390048992154    -0.3053781551162     -0.20770276407668    0.10465953704694     0.35275400177712
13.85                0.42012652416548     0.036446057312381    -0.31513907004266    -0.19114536932771    0.11599528019911     0.35005014873422
13.9                 0.41740591626376     0.040473404736496    -0.3245617599579     -0.17416042836546    0.12698384722625     0.34597651081922
13.95                0.41457702265223     0.044468924189795    -0.33363611190005    -0.15678593241732    0.13759234913395     0.34054902862696
14                   0.41164057721781     0.048429473626844    -0.34235238676317    -0.13906074405148    0.1477890344701      0.33378894049437
14.05                0.40859734174914     0.052351938502358    -0.35070122974982    -0.12102451025073    0.15754338435757     0.32572269939251
14.1                 0.40544810573889     0.056233234220456    -0.35867368041118    -0.10271757373165    0.16682620383784     0.3163818694132
14.15                0.40219368617896     0.06007030856036     -0.36626118226387    -0.084180882707706   0.17560970925201     0.30580300225523
14.2                 0.39883492734856     0.063860144076641    -0.37345559197326    -0.065455899297929   0.1838676113979      0.29402749419355
14.25                0.39537270059515     0.067599760472115    -0.38024918809338    -0.046584506786114   0.19157519421411     0.28110142409101
14.3                 0.39180790410838     0.071286216941522    -0.38663467935398    -0.027608915938008   0.19870938875566     0.26707537308679
14.35                0.38814146268714     0.074916614484156    -0.39260521248596    -0.0085715705859672  0.20524884223984     0.2520042266667
14.4                 0.38437432749956     0.078488098183616    -0.39815437957667    0.010484947307678    0.21117398195541     0.23594695989031
14.45                0.38050747583631     0.081997859452886    -0.40327622494722    0.029518012896234    0.21646707384423     0.218966406615
14.5                 0.37654191085706     0.085443138242992    -0.4079652515445     0.048485053790173    0.22111227557952     0.20112901362012
14.55                0.37247866133021     0.08882122521348     -0.41221642684089    0.067343645281326    0.22509568398234     0.18250458059342
14.6                 0.36831878136602     0.09212946386302     -0.41602518823547    0.086051605236754    0.22840537663401     0.16316598699719
14.65                0.36406335014315     0.095365252618458    -0.41938744795085    0.10456708845003     0.2310314475602      0.14318890688285
14.7                 0.35971347162867     0.098526046880674    -0.4222995974204     0.1228486802389      0.23296603687964     0.12265151277005
14.75                0.3552702742917      0.10160936102564     -0.42475851116118    0.14085548907997     0.23420335432896     0.10163416974896
14.8                 0.35073491081061     0.10461277035907     -0.42676155012839    0.15854723807319     0.23473969659301     0.080219121002808
14.85                0.34610855777404     0.10753391302323     -0.4283065645477     0.17588435503163     0.23457345838899     0.058490165981228
14.9                 0.34139241537562     0.11037049185423     -0.42939189622258    0.1928280609949      0.23370513727108     0.036532332483759
14.95                0.33658770710262     0.11312027618854     -0.4300163803139     0.20934045696838     0.23213733214122     0.01443154393668
15                   0.33169567941856     0.11578110361713     -0.43017934659012    0.22538460869415     0.2298747354706      -0.0077257168348425
15.05                0.32671760143983     0.118350881686       -0.42988062014667    0.24092462926405     0.22692411925498     -0.029852746023591
15.1                 0.32165476460646     0.12082758954165     -0.4291205215936     0.25592575939004     0.22329431474596     -0.05186295812187
15.15                0.31650848234707     0.1232092795203      -0.42789986671151    0.27035444515239     0.21899618601888     -0.073670224740154
15.2                 0.31128008973816     0.12549407867944     -0.42621996557602    0.2841784130517      0.21404259745645     -0.095189211636981
